scan_type	control_name	alpha	control_PC1	control_PC2	control_PC3	control_norm	control_cosine_to_measured_correction	PC3_negative_pull_recovery	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	latent_variance_trace	covariance_eigen_min	covariance_eigen_max	covariance_anisotropy	mean_radial_distance_before	mean_radial_distance_after	radial_distance_reduction	fraction_particles_moved_closer	modules	n_modules
module_specific	M12	0.35	-0.0054925410188670695	0.015167433289535345	-0.07224621212474722	0.07402522682039153	0.9269903681153807	0.03767711287856276	1.1583122874894423	0.9088157382185593	0.9723629169165019	0.8487798699346262	0.24481260578115635	0.626540784454078	0.24533735677207763	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.0978819525832337	1.0224014859114376	0.5285826573934534	0.03374192641412864	0.32350109146095474	9.587511023552844	2.163377528533326	2.0978819525832337	0.06549557595009237	1.0	M12	1
module_specific	M12	0.4	-0.006277189735848079	0.01733420947375468	-0.08256709957113968	0.08460025922330461	0.9269903681153807	0.0430595575755003	1.1526872183905317	0.9050937054268744	1.0204234086932975	0.8487798699346262	0.2447555515992932	0.6267541552679973	0.24528036673224776	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.0885711104438243	1.0224014859114376	0.5285826573934536	0.03374192641412865	0.32350109146095474	9.58751102355284	2.163377528533326	2.0885711104438243	0.07480641808950184	1.0	M12	1
module_specific	M12	0.45	-0.007061838452829089	0.019500985657974017	-0.09288798701753215	0.0951752916262177	0.9269903681153807	0.04844200227243784	1.1470670624421482	0.9013477548983074	1.0133594979048135	0.8487798699346262	0.24469872838632223	0.6269665851205377	0.24522360811623448	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.0792721281647477	1.0224014859114376	0.5285826573934536	0.033741926414128584	0.3235010914609545	9.587511023552853	2.163377528533326	2.0792721281647477	0.08410540036857839	1.0	M12	1
module_specific	M12	0.5	-0.0078464871698101	0.02166776184219335	-0.1032088744639246	0.10575032402913077	0.9269903681153807	0.05382444696937538	1.141451892216794	0.8975781234022807	0.9945772130288943	0.8487798699346262	0.24464213630318543	0.6271780733583259	0.2451670810847685	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.069985159174558	1.0224014859114376	0.5285826573934534	0.033741926414128626	0.3235010914609547	9.587511023552848	2.163377528533326	2.069985159174558	0.09339236935876816	1.0	M12	1
module_specific	M12	0.55	-0.00863113588679111	0.023834538026412687	-0.11352976191031706	0.11632535643204385	0.9269903681153807	0.05920689166631292	1.135841781657032	0.8937850558958728	1.005293846612678	0.8487798699346262	0.24458579888282697	0.627388492551084	0.2451107856233795	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4	0.875	0.875	2.0607103593444864	1.0224014859114376	0.5285826573934534	0.03374192641412867	0.3235010914609547	9.587511023552835	2.163377528533326	2.0607103593444864	0.10266716918883967	1.0	M12	1
module_specific	M12	0.6	-0.009415784603772119	0.02600131421063202	-0.12385064935670952	0.1269003888349569	0.9269903681153807	0.06458933636325045	1.130236806106236	0.8900591260737569	1.0775907459956726	0.8487798699346262	0.24452969614110082	0.6275979503856007	0.24505472159022226	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4	0.875	0.875	2.0514478870336963	1.0224014859114376	0.5285826573934536	0.0337419264141286	0.32350109146095457	9.587511023552851	2.163377528533326	2.0514478870336963	0.1119296414996298	1.0	M12	1
module_specific	M12	0.65	-0.010200433320753129	0.028168090394851356	-0.13417153680310198	0.13747542123787002	0.9269903681153807	0.06997178106018799	1.1246370423401097	0.8862256485744149	1.0070089130134658	0.8487798699346262	0.24447382410957136	0.6278064685591238	0.24499888913889714	1.5666635350021403	1.9104332695957345	0.06666666666666667	0.4222222222222222	0.875	0.875	2.0421979031354764	1.0224014859114376	0.5285826573934536	0.0337419264141286	0.32350109146095457	9.587511023552851	2.163377528533326	2.0421979031354764	0.12117962539784966	1.0	M12	1
module_specific	M12	0.7	-0.010985082037734139	0.03033486657907069	-0.14449242424949443	0.14805045364078306	0.9269903681153807	0.07535422575712553	1.1190425685990133	0.8823694808665246	0.9983701677354859	0.8487798699346262	0.24441818294645395	0.6280140464694097	0.2449432884277646	1.5666635350021403	1.9104332695957345	0.08888888888888889	0.4222222222222222	0.875	0.875	2.0329605711243866	1.0224014859114376	0.5285826573934536	0.03374192641412867	0.3235010914609549	9.587511023552842	2.163377528533326	2.0329605711243866	0.13041695740893955	1.0	M12	1
module_specific	M12	0.75	-0.011769730754715149	0.032501642763290026	-0.1548133116958869	0.15862548604369617	0.9269903681153807	0.08073667045406308	1.1134534646210983	0.8784909000876782	0.9726337643377075	0.8487798699346262	0.2443627728094543	0.628220683526775	0.2448879196146715	1.5666635350021403	1.9104332695957345	0.08888888888888889	0.4444444444444444	0.875	0.875	2.023736057104372	1.0224014859114376	0.5285826573934536	0.0337419264141286	0.3235010914609547	9.587511023552855	2.163377528533326	2.023736057104372	0.13964147142895422	1.0	M12	1
module_specific	M12	0.8	-0.012554379471696159	0.03466841894750936	-0.16513419914227936	0.16920051844660922	0.9269903681153807	0.0861191151510006	1.1078698116762893	0.8745901917403427	0.9529918711778356	0.8487798699346262	0.2443075938557657	0.6284263791541009	0.24483278285694857	1.5666635350021403	1.9104332695957345	0.08888888888888889	0.4444444444444444	0.875	0.875	2.0145245298578773	1.0224014859114376	0.5285826573934536	0.03374192641412868	0.32350109146095457	9.587511023552828	2.163377528533326	2.0145245298578773	0.14885299867544877	1.0	M12	1
