from_stage	to_stage	from_sample_id	to_sample_id	from_tau	to_tau	delta_tau	sample_coupling_weight	n_particle_couplings
MII oocyte	zygote/PN	GSM2146953	GSM2481578	0.0	0.16666666666666666	0.16666666666666666	0.0009638006076204664	9
MII oocyte	zygote/PN	GSM2146953	GSM2986327	0.0	0.16666666666666666	0.16666666666666666	0.000477563498348444	9
MII oocyte	zygote/PN	GSM2146953	GSM2986328	0.0	0.16666666666666666	0.16666666666666666	0.0011679310317007565	9
MII oocyte	zygote/PN	GSM2146953	GSM2986329	0.0	0.16666666666666666	0.16666666666666666	0.0006492262299980164	9
MII oocyte	zygote/PN	GSM2146953	GSM2986330	0.0	0.16666666666666666	0.16666666666666666	0.0007134788984104835	9
MII oocyte	zygote/PN	GSM2146953	GSM2986331	0.0	0.16666666666666666	0.16666666666666666	0.0008073668591282219	9
MII oocyte	zygote/PN	GSM2146953	GSM2986332	0.0	0.16666666666666666	0.16666666666666666	0.0013291599173699859	9
MII oocyte	zygote/PN	GSM2146953	GSM2986333	0.0	0.16666666666666666	0.16666666666666666	0.0004358174713104047	9
MII oocyte	zygote/PN	GSM2146953	GSM2986334	0.0	0.16666666666666666	0.16666666666666666	0.00010370525197971654	9
MII oocyte	zygote/PN	GSM2146953	GSM2986335	0.0	0.16666666666666666	0.16666666666666666	0.0004105753586731903	9
MII oocyte	zygote/PN	GSM2146953	GSM2986336	0.0	0.16666666666666666	0.16666666666666666	0.0021263838729377992	9
MII oocyte	zygote/PN	GSM2146954	GSM2481554	0.0	0.16666666666666666	0.16666666666666666	0.0005076207148936702	9
MII oocyte	zygote/PN	GSM2146954	GSM2481555	0.0	0.16666666666666666	0.16666666666666666	0.001524485943503523	9
MII oocyte	zygote/PN	GSM2146954	GSM2481558	0.0	0.16666666666666666	0.16666666666666666	0.0018703713261365976	9
MII oocyte	zygote/PN	GSM2146954	GSM2481559	0.0	0.16666666666666666	0.16666666666666666	0.000292920719513556	9
MII oocyte	zygote/PN	GSM2146954	GSM2481560	0.0	0.16666666666666666	0.16666666666666666	0.001561275592519367	9
MII oocyte	zygote/PN	GSM2146954	GSM2481561	0.0	0.16666666666666666	0.16666666666666666	0.00031613027829559905	9
MII oocyte	zygote/PN	GSM2146954	GSM2481562	0.0	0.16666666666666666	0.16666666666666666	0.00046023252169767744	9
MII oocyte	zygote/PN	GSM2146954	GSM2481563	0.0	0.16666666666666666	0.16666666666666666	0.0015697373683014049	9
MII oocyte	zygote/PN	GSM2146954	GSM2481564	0.0	0.16666666666666666	0.16666666666666666	0.0007385824585533345	9
MII oocyte	zygote/PN	GSM2146954	GSM2481565	0.0	0.16666666666666666	0.16666666666666666	0.0005050549713116509	9
MII oocyte	zygote/PN	GSM2146954	GSM2481566	0.0	0.16666666666666666	0.16666666666666666	0.0006034430060949356	9
MII oocyte	zygote/PN	GSM2146954	GSM2481567	0.0	0.16666666666666666	0.16666666666666666	0.000579237445411956	9
MII oocyte	zygote/PN	GSM2146954	GSM2481571	0.0	0.16666666666666666	0.16666666666666666	0.0018299231424478931	9
MII oocyte	zygote/PN	GSM2146954	GSM2481572	0.0	0.16666666666666666	0.16666666666666666	0.0005374658330550631	9
MII oocyte	zygote/PN	GSM2146954	GSM2481573	0.0	0.16666666666666666	0.16666666666666666	0.0008569213240934639	9
MII oocyte	zygote/PN	GSM2146954	GSM2481574	0.0	0.16666666666666666	0.16666666666666666	0.0008296969798148036	9
MII oocyte	zygote/PN	GSM2146954	GSM2481575	0.0	0.16666666666666666	0.16666666666666666	0.0007102638863456397	9
MII oocyte	zygote/PN	GSM2146954	GSM2481576	0.0	0.16666666666666666	0.16666666666666666	0.0018837632715988774	9
MII oocyte	zygote/PN	GSM2146954	GSM2481577	0.0	0.16666666666666666	0.16666666666666666	0.0013975601314927919	9
MII oocyte	zygote/PN	GSM2146954	GSM2481578	0.0	0.16666666666666666	0.16666666666666666	0.0011619295144085398	9
MII oocyte	zygote/PN	GSM2146954	GSM2986327	0.0	0.16666666666666666	0.16666666666666666	0.0005914576414244398	9
MII oocyte	zygote/PN	GSM2146954	GSM2986328	0.0	0.16666666666666666	0.16666666666666666	0.0008689206810581289	9
MII oocyte	zygote/PN	GSM2146954	GSM2986329	0.0	0.16666666666666666	0.16666666666666666	0.0008088894355866005	9
MII oocyte	zygote/PN	GSM2146954	GSM2986330	0.0	0.16666666666666666	0.16666666666666666	0.000882516501388152	9
MII oocyte	zygote/PN	GSM2146954	GSM2986331	0.0	0.16666666666666666	0.16666666666666666	0.0009576798919432695	9
MII oocyte	zygote/PN	GSM2146954	GSM2986332	0.0	0.16666666666666666	0.16666666666666666	0.0009859294613641812	9
MII oocyte	zygote/PN	GSM2146954	GSM2986333	0.0	0.16666666666666666	0.16666666666666666	0.0005331939622548116	9
MII oocyte	zygote/PN	GSM2146954	GSM2986334	0.0	0.16666666666666666	0.16666666666666666	6.71897362934396e-05	9
MII oocyte	zygote/PN	GSM2146954	GSM2986335	0.0	0.16666666666666666	0.16666666666666666	0.0005206644169000142	9
MII oocyte	zygote/PN	GSM2146954	GSM2986336	0.0	0.16666666666666666	0.16666666666666666	0.001824719620074424	9
MII oocyte	zygote/PN	GSM2481556	GSM2481554	0.0	0.16666666666666666	0.16666666666666666	0.0018073045635501376	9
MII oocyte	zygote/PN	GSM2481556	GSM2481555	0.0	0.16666666666666666	0.16666666666666666	0.00047735065154829245	9
MII oocyte	zygote/PN	GSM2481556	GSM2481558	0.0	0.16666666666666666	0.16666666666666666	9.191028297687077e-05	9
MII oocyte	zygote/PN	GSM2481556	GSM2481559	0.0	0.16666666666666666	0.16666666666666666	0.0020343116186937594	9
MII oocyte	zygote/PN	GSM2481556	GSM2481560	0.0	0.16666666666666666	0.16666666666666666	3.0087662078330225e-05	9
MII oocyte	zygote/PN	GSM2481556	GSM2481561	0.0	0.16666666666666666	0.16666666666666666	0.0020468722028419407	9
MII oocyte	zygote/PN	GSM2481556	GSM2481562	0.0	0.16666666666666666	0.16666666666666666	0.001815581215092497	9
MII oocyte	zygote/PN	GSM2481556	GSM2481563	0.0	0.16666666666666666	0.16666666666666666	3.0756244789568114e-05	9
MII oocyte	zygote/PN	GSM2481556	GSM2481564	0.0	0.16666666666666666	0.16666666666666666	0.0013942462876493835	9
MII oocyte	zygote/PN	GSM2481556	GSM2481565	0.0	0.16666666666666666	0.16666666666666666	2.0142952320241523e-06	9
MII oocyte	zygote/PN	GSM2481556	GSM2481566	0.0	0.16666666666666666	0.16666666666666666	0.001661153575786265	9
MII oocyte	zygote/PN	GSM2481556	GSM2481567	0.0	0.16666666666666666	0.16666666666666666	0.001654521498684641	9
