cluster_name	selection_frequency_top10	selection_frequency_top25	selection_frequency_top50	selection_frequency_top100	mean_rank	rank_std	residual_contribution_mean	residual_contribution_q025	residual_contribution_q975	module_id	basin_residual_rank	abs_latent_residual_delta_beta
cluster_5923	0.0	0.902	1.0	1.0	21.228	3.122181288778711	0.0770415861625382	0.06413862379407878	0.09565362202353	M09	20	0.0774541554875099
cluster_5928	0.0	0.0	0.0	1.0	66.894	8.009916603810542	0.023361129598573997	0.013644088166878532	0.03540867787250175	M04	63	0.023666865505104412
cluster_5966	0.0	0.0	0.0	0.0	131.922	10.29853950810494	-0.004740117918140672	-0.006687904519291468	-0.0026983174665822906	M02	135	0.004766905141351932
cluster_5977	0.0	0.0	0.986	1.0	39.02	3.7767181520467963	0.045859017127836695	0.034249770137064435	0.062326684109850504	M06	38	0.04621324834127211
cluster_6020	0.0	0.0	0.0	0.51	102.128	21.532106631725576	-0.011430423674555448	-0.01966131722980018	-0.0027365245083480465	M06	100	0.011444463148376317
cluster_6087	0.0	0.804	1.0	1.0	23.094	3.5379604293999645	-0.07394742166540708	-0.09095054546952966	-0.056850077360257344	M10	22	0.07473464492067426
cluster_6114	0.0	0.076	0.992	1.0	32.578	5.448294779102882	-0.05788143862885119	-0.07759287454164145	-0.037218498790065654	M01	33	0.05900512375137873
cluster_6143	0.0	0.0	0.53	0.948	56.142	19.82851068537422	0.03192476839932203	0.007929090196565642	0.06039194507346003	M08	49	0.03248292470823936
cluster_6163	0.0	0.0	0.0	0.32	116.07	26.666553958095193	-0.0006426438511769187	-0.02118020559836044	0.020894426798002463	M08	155	0.00018083828924028627
cluster_6171	0.0	0.0	0.096	0.786	78.47	25.937176022073032	0.02085739762106658	0.001510215229833091	0.044150814684705234	M04	70	0.021250280367365745
cluster_6262	1.0	1.0	1.0	1.0	1.992	0.8461300136503846	-0.18966673038031273	-0.21779303096401822	-0.1602888857386685	M10	2	0.1912454605053165
cluster_6275	0.0	0.0	0.0	0.138	126.722	21.56285500577325	-0.004353438294105288	-0.0144222515276393	0.007611351516928801	M06	140	0.004303317856818155
cluster_6400	0.0	0.0	0.002	0.402	107.384	28.27628943125316	0.007689451229636303	-0.014905106610650878	0.036007467126357336	M04	117	0.007936545118927506
cluster_6406	0.0	0.0	0.008	0.98	71.26	12.938021487074433	0.021666366655227014	0.010345003434197348	0.03781940558315933	M02	69	0.021592150581891487
cluster_6410	0.0	0.0	0.0	0.064	131.006	18.393965423475127	0.0005621133273555621	-0.010676389234400483	0.015843582996938145	M06	154	0.0005424621144622049
cluster_6442	0.0	0.0	0.0	0.862	94.342	5.682696191069952	-0.013190413006479931	-0.015489248068185005	-0.010626506572440134	M02	93	0.013198134685181622
cluster_6495	0.0	0.74	1.0	1.0	23.122	2.9371952607887684	0.0741387645410226	0.061823327535234326	0.09132965835770056	M09	23	0.07461082849874705
