feature_set	panel_model	included_modules	n_modules	alpha	validation_status	PC1_control	PC2_control	PC3_control	direction_cosine_to_measured_correction	PC3_negative_pull_recovered	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.7	leave_one_module_out	-0.0031792341333471003	-0.6890448670284266	-0.43228417700074784	0.506486465059991	0.22544046606001586	1.0418703023362366	0.7769602543899918	0.9651253294338522	0.8487798699346262	0.24366636083883775	0.6335059325281561	0.24417495608587086	1.5666635350021403	1.9104332695957345	0.26666666666666666	0.5333333333333333	0.875	0.875	1.8893217205761061	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.75	leave_one_module_out	-0.003272741019622015	-0.7093108925292627	-0.44499841750076985	0.506486465059991	0.23207106800295751	1.0401435126428467	0.7730232812935903	0.9367046734317658	0.8487798699346262	0.2436429963821878	0.6336742132407274	0.24415067333271967	1.5666635350021403	1.9104332695957345	0.26666666666666666	0.5111111111111111	0.875	0.875	1.8858337230081825	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.8	leave_one_module_out	-0.0033662479058969297	-0.7295769180300988	-0.4577126580007918	0.5064864650599908	0.23870166994589911	1.0385975681300006	0.7691575243536467	0.9357357207610708	0.8487798699346262	0.24362080394758925	0.6338382262198069	0.24412759321790342	1.5666635350021403	1.9104332695957345	0.26666666666666666	0.5111111111111111	0.875	0.875	1.8826394175972287	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.85	leave_one_module_out	-0.0034597547921718444	-0.7498429435309348	-0.4704268985008138	0.5064864650599908	0.24533227188884077	1.0372332774202035	0.7653764348397396	0.8546415737904729	0.8487798699346262	0.24359981422416552	0.6339976343336542	0.24410570371445459	1.5666635350021403	1.9104332695957345	0.26666666666666666	0.5111111111111111	0.875	0.875	1.879740894981161	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.9	leave_one_module_out	-0.003553261678446759	-0.7701089690317708	-0.4831411390008358	0.506486465059991	0.2519628738317824	1.0360513581285038	0.76168380046575	0.9216064676040494	0.8487798699346263	0.24357990724425432	0.6341531208474923	0.2440849005465805	1.5666635350021403	1.9104332695957345	0.26666666666666666	0.5111111111111111	0.875	0.875	1.8771401422227085	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.95	leave_one_module_out	-0.003646768564721674	-0.790374994532607	-0.4958553795008578	0.506486465059991	0.258593475774724	1.0350524350011114	0.7581571107945129	0.9559776256414847	0.8487798699346262	0.24356103518978475	0.6343047867995631	0.24406512880933787	1.5666635350021403	1.9104332695957345	0.26666666666666666	0.5111111111111111	0.875	0.875	1.8748390374041433	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	2.0	leave_one_module_out	-0.0037402754509965885	-0.8106410200334431	-0.5085696200008798	0.5064864650599908	0.2652240777176657	1.0342370382815043	0.7546797707084499	0.8729576351577415	0.8487798699346262	0.24354326260993206	0.6344523625017445	0.2440464508287123	1.5666635350021403	1.9104332695957345	0.26666666666666666	0.5111111111111111	0.875	0.875	1.8728393442869902	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	2.05	leave_one_module_out	-0.003833782337271503	-0.8309070455342791	-0.5212838605009017	0.5064864650599908	0.2718546796606073	1.0336056023138704	0.7511742533382242	0.8444450424923386	0.8487798699346262	0.24352662293999183	0.6345958879595178	0.24402893369919718	1.5666635350021403	1.9104332695957345	0.26666666666666666	0.5111111111111111	0.875	0.875	1.8711427070797586	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	2.1	leave_one_module_out	-0.003927289223546418	-0.8511730710351153	-0.5339981010009238	0.506486465059991	0.278485281603549	1.0331584643924154	0.7478729356664873	0.9430335231587698	0.8487798699346262	0.243511137034421	0.6347346572629662	0.24401253715015764	1.5666635350021403	1.9104332695957345	0.26666666666666666	0.5111111111111111	0.875	0.875	1.8697506453587298	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	2.15	leave_one_module_out	-0.004020796109821333	-0.8714390965359513	-0.5467123415009457	0.5064864650599908	0.2851158835464906	1.0328958638635954	0.7447793198957393	0.890130724456062	0.8487798699346262	0.24349643745445698	0.63487018135981	0.24399689685213305	1.5666635350021403	1.9104332695957345	0.28888888888888886	0.5111111111111111	0.875	0.875	1.868664549187481	1.0224014859114376
