sample_id	PC1	PC2	PC3
GSM2481561	2.323218679809365	0.53175271916817	-5.474147436416288
GSM2481562	3.019626750642155	0.8990322375777541	-5.4169376740985715
GSM2481563	-0.4096504950535151	7.731036449681613	-3.409192934103669
GSM2481564	2.8964193629843686	-0.37451241440379424	-4.841072571922238
GSM2481565	-0.14334588192086867	6.707327255949439	-5.031498098171708
GSM2481566	1.7353333979936045	0.7123208391887819	-5.494780620244102
GSM2481567	1.5019457552960347	2.764950046609736	-6.068902269309103
GSM2481570	6.317830321385693	-2.3156642542677925	-0.017762412084462054
GSM2481571	-2.0369137815720277	7.242882171598381	-5.415512252726318
GSM2481572	1.4075594261060576	2.145702760919911	-5.409807715210415
GSM2481573	3.1226829198129358	0.028094562177486446	-4.730818058452888
GSM2481574	-1.7434664053878557	4.493008543784876	-6.213633229061402
GSM2481575	1.2088013541550906	2.804704505564026	-5.836996741205717
GSM2481576	0.5988702425094221	5.096443948302379	-5.629704184842372
GSM2481577	-2.2222895272041217	9.721738021815234	-3.65488503372792
GSM2481578	3.771609276630283	0.8586599388755937	-4.237099465856568
GSM2481581	7.085710450904186	-2.569604700042812	0.32900261899445976
GSM2481586	6.937932127055777	-2.4576322931491683	0.5954473395385209
GSM2481587	6.903456704926258	-2.325126802240219	0.615286445610892
GSM2481588	7.2165931633363	-2.3562257964715987	0.8722966271853266
GSM2481589	6.389435678794603	-3.1249641861147808	-0.21476766573406839
GSM2481590	7.719420079845243	-1.1474487775721718	1.6065947036350479
GSM2481591	6.677951274944045	-1.874587790919857	0.1925691105943138
GSM2481592	-4.723599970587177	-0.33053666910933555	0.17431965026725865
GSM2481593	-3.9752219026493076	-1.0054893201541195	-1.9458815943764631
GSM2481594	-3.803768044514517	-1.445957608353912	-0.0795521340724018
GSM2481595	-4.464525697923082	0.13638675403447892	-0.7263892415261605
GSM2481614	5.972736372186167	-2.055849398437376	0.8582860588789216
GSM2481615	7.211777229150409	-1.2220119387188135	0.5209807028547646
GSM2481618	-1.691962656933661	-0.9786035999616334	2.177321110280134
GSM2481619	-1.3411969240297472	-1.167152537702736	2.502256733849765
GSM2481620	-1.6687197934158067	-1.694017206596219	2.6502311778634358
GSM2481621	-2.7134085619458332	-1.0720531385677128	3.308961734496249
GSM2481622	-1.6462759560588145	-1.4137027972242298	2.6398287270373304
GSM2481623	-1.9345496242842886	-1.886095245509791	2.871698429113674
GSM2481624	-2.39997414318375	-0.6131492645568162	3.030637743670697
GSM2481626	-3.161434778254026	-2.242211494143551	2.923036270077648
GSM2481627	-2.408540953434351	-1.6606927250513532	2.392806997524631
GSM2481628	-1.6455163181179597	1.7219498702563545	3.2923449656299297
GSM2481629	-2.5933018366505625	1.0396934402792561	3.9229728821879286
GSM2481630	-1.1263962796755174	-0.6145525918632567	1.0073449628891917
GSM2481631	-3.2606635646693127	1.668775482855151	3.59323853113349
GSM2481632	-1.7979336649982767	-1.225961434451911	2.6317000988467605
GSM2481633	-3.9101228839056072	0.08339475410852171	3.6560121510176495
GSM2481634	-1.1514854500797498	0.05150688592989364	2.591098096131934
GSM2481635	-0.5377255485269188	-0.40726032874384854	1.049705665446348
GSM2481636	-1.1330395083733833	-0.4319901394352647	3.0712383685298947
GSM2481637	-2.5995773421454857	0.28824570363480917	2.1669730493038486
GSM2481638	-2.9751855461617702	0.9952806997233785	3.239052190813129
GSM2481639	-2.3962020781484608	0.9421519544373902	2.9895133143068
