sample_id	M00	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15
GSM2481587	0.0390625	0.9634353741496599	0.004166666666666667	0.975	0.0	0.0625	0.02882933533233383	0.7088477366255144	0.0238095238095238	0.08333333333333333	0.9484126984126985	0.3477777777777778	0.125	0.015873015873015872	0.31427123264332557	0.0
GSM2481588	0.006465517241379306	0.9723639455782314	0.019988344988344987	0.9	0.0	0.0625	0.004604840436924391	0.7907706093189965	0.0238095238095238	0.21666666666666667	0.9484126984126985	0.14166666666666664	0.125	0.015873015873015872	0.3280763267740011	0.0
GSM2481589	0.01171875	0.9343537414965986	0.004166666666666667	0.9333333333333332	0.0027027027027027003	0.16666666666666666	0.020289855072463767	0.7083333333333333	0.0238095238095238	0.08333333333333333	0.9484126984126985	0.05	0.125	0.015873015873015872	0.2744806201550387	0.0
GSM2481590	0.0	0.8966965574108431	0.07727777777777778	0.975	0.05245963912630578	0.0625	0.04006211180124224	0.6521164021164022	0.09523809523809523	0.16666666666666666	0.9484126984126985	0.2857142857142857	0.125	0.015873015873015872	0.5543034330011073	0.0
GSM2481591	0.0	0.9019995877138733	0.0875	0.975	0.18	0.0625	0.022488755622188904	0.6509259259259259	0.0238095238095238	0.1111111111111111	0.9484126984126985	0.12777777777777777	0.125	0.10714285714285714	0.276922480620155	0.0
GSM2481592	0.11678654100529098	0.3174015505700697	0.011745090658134132	0.5027777777777778	0.05684772223496137	0.0	0.016341677462872073	0.03444340699242659	0.16071428571428573	0.03333333333333333	0.5	0.0	0.0	0.4811688311688312	0.11384615384615385	0.8333333333333334
GSM2481593	0.10429717936730558	0.2971503170644868	0.006363636363636364	0.46409090909090905	0.07756616605452248	0.0	0.028488134846662225	0.07201336675020882	0.07142857142857141	0.11607142857142856	0.5555555555555555	0.025862068965517224	0.0	0.19047619047619047	0.03636363636363636	0.7000000000000001
GSM2481594	0.0627218755541881	0.37852035977035975	0.013066748066748065	0.3277777777777778	0.10844294637887311	0.0	0.028661135137377496	0.005291005291005289	0.06547619047619048	0.17341482047364398	0.7111111111111111	0.019230769230769225	0.0357142857142857	0.1173469387755102	0.00434782608695652	0.5
GSM2481595	0.1790448343079922	0.37647768562848916	0.024220200658879903	0.5277777777777778	0.09367806213394445	0.09615384615384615	0.0535666233821268	0.032357626443647945	0.44322344322344326	0.08062423687423682	0.5777777777777778	0.0	0.0	0.3139453275783416	0.056885456885456875	0.5925925925925926
GSM2481614	0.0625	0.9149993330665599	0.004166666666666667	0.975	0.2	0.0625	0.07033248081841433	0.6944444444444444	0.0238095238095238	0.08333333333333333	0.9484126984126985	0.12777777777777777	0.125	0.015873015873015872	0.25045727915495347	0.0
GSM2481615	0.027777777777777776	0.9039115646258503	0.04861111111111111	0.975	0.09	0.0625	0.04974143363101057	0.7916666666666666	0.16666666666666666	0.08333333333333333	0.9484126984126985	0.35	0.125	0.0238095238095238	0.3717906124882868	0.0
GSM2481618	0.0	0.7026194524361193	0.0	0.7847619047619048	0.2106227106227106	0.08333333333333333	0.03140096618357488	0.0	0.39183673469387753	0.43977591036414565	0.16666666666666666	0.0	0.3958333333333333	0.0	0.0	0.21666666666666667
GSM2481619	0.004464285714285712	0.681231998790601	0.07373737373737373	0.6133333333333333	0.06076429331037623	0.08333333333333333	0.020703933747412005	0.16813639035861255	0.4646658663465386	0.1064425770308123	0.16666666666666666	0.0	0.3958333333333333	0.011091753774680599	0.0	0.21666666666666667
GSM2481620	0.004464285714285712	0.6116327870861263	0.0	0.7847619047619048	0.026666227633363192	0.08333333333333333	0.05797101449275362	0.015873015873015865	0.37044817927170864	0.265172735760971	0.16666666666666666	0.0	0.3958333333333333	0.0	0.2	0.21666666666666667
GSM2481621	0.14285714285714285	0.5947235304378162	0.01587301587301587	0.7847619047619048	0.07631096973202234	0.08333333333333333	0.043478260869565216	0.05305702527924749	0.4646658663465386	0.5396825396825397	0.16666666666666666	0.0	0.3958333333333333	0.011091753774680599	0.0	0.3333333333333333
GSM2481622	0.004464285714285712	0.6319421073954467	0.0	0.7847619047619048	0.06284943127048388	0.08333333333333333	0.021739130434782608	0.1992063492063492	0.4646658663465386	0.38095238095238093	0.3333333333333333	0.0	0.3958333333333333	0.011091753774680599	0.0	0.21666666666666667
GSM2481623	0.0	0.6452323087661435	0.0	0.7847619047619048	0.12739940614940615	0.08333333333333333	0.014492753623188404	0.04512051734273956	0.4646658663465386	0.13095238095238093	0.16666666666666666	0.0625	0.3958333333333333	0.011091753774680599	0.0	0.21666666666666667
GSM2481624	0.0	0.6127742382275775	0.016666666666666666	0.8416666666666666	0.15688828397638463	0.08333333333333333	0.0072463768115942	0.12301587301587302	0.5357142857142857	0.1587301587301587	0.16666666666666666	0.0	0.3958333333333333	0.22537746806039488	0.0	0.21666666666666667
GSM2481626	0.004464285714285712	0.47536535081869	0.0	0.7714285714285715	0.05966539221147512	0.08333333333333333	0.0	0.15623162845385066	0.4075230092036814	0.265172735760971	0.16666666666666666	0.0	0.3958333333333333	0.15394889663182346	0.0	0.0
GSM2481627	0.004464285714285712	0.6082161257747282	0.0	0.7847619047619048	0.09070929070929068	0.08333333333333333	0.018633540372670804	0.05702527924750145	0.555142056822729	0.265172735760971	0.16666666666666666	0.0	0.3958333333333333	0.011091753774680599	0.05454545454545454	0.21666666666666667
GSM2481628	0.20379432777345663	0.7522943107075852	0.009672785773794133	0.8666666666666666	0.25240048840048834	0.08333333333333333	0.08774101685077361	0.12522045855379188	0.733147804576376	0.2175536881419234	0.16666666666666666	0.0	0.2708333333333333	0.011091753774680599	0.0	0.3333333333333333
GSM2481629	0.097267316017316	0.6661655837241861	0.03428571428571428	0.6411721611721612	0.12453762084909623	0.08333333333333333	0.08743961352657005	0.18518518518518517	0.42282913165266106	0.5647759103641457	0.16666666666666666	0.0	0.5625	0.0	0.0	0.21666666666666667
GSM2481630	0.09940476190476188	0.5999527588813303	0.019731800766283523	0.8666666666666666	0.23700828157349893	0.08333333333333333	0.015136876006441221	0.33961352657004834	0.3942577030812324	0.265172735760971	0.29365079365079366	0.0	0.3125	0.08885017421602788	0.02857142857142856	0.21666666666666667
GSM2481631	0.017549261083743835	0.6205991456411625	0.0006666666666666666	0.7314285714285715	0.45348813688393896	0.16666666666666666	0.07427771748919998	0.11211398139502712	0.5592236894757903	0.6936026936026934	0.16666666666666666	0.005813953488372075	0.47916666666666663	0.0	0.03125	0.3333333333333333
GSM2481632	0.09615384615384613	0.6832940013612283	0.012420083472715044	0.76	0.052991452991452984	0.08333333333333333	0.018166907594795948	0.18736826257151462	0.5642857142857143	0.38095238095238093	0.0	0.0	0.3333333333333333	0.10632984901277584	0.02857142857142856	0.4166666666666667
GSM2481633	0.023848684210526314	0.554280694734034	0.018279090717420888	0.5976190476190476	0.20699534995942176	0.08333333333333333	0.0910991182730313	0.0529100529100529	0.6904761904761905	0.30158730158730157	0.16666666666666666	0.0	0.5	0.0	0.01818181818181818	0.0
GSM2481634	0.014756944444444444	0.6382155268544268	0.06666666666666667	0.7847619047619048	0.2571897860593512	0.08333333333333333	0.04452531359729021	0.31589390142021717	0.45811051693404636	0.1540616246498599	0.16666666666666666	0.019230769230769225	0.3958333333333333	0.2719672131147541	0.0	0.21666666666666667
GSM2481635	0.004464285714285712	0.7163218963862187	0.01944444444444444	0.7883333333333333	0.07722036417688591	0.25	0.02053140096618357	0.2334656084656085	0.5194277711084433	0.265172735760971	0.5	0.0	0.3958333333333333	0.011091753774680599	0.0051282051282051195	0.21666666666666667
GSM2481636	0.12809065934065933	0.6099106309190342	0.05694444444444444	0.7847619047619048	0.07173382173382171	0.08333333333333333	0.04448938321536906	0.1441077441077441	0.4299719887955182	0.22072829131652658	0.5	0.0	0.2708333333333333	0.025377468060394887	0.02666666666666666	0.21666666666666667
GSM2481637	0.10300925925925926	0.6239177097914724	0.006666666666666667	0.9047619047619048	0.18188859751359748	0.25	0.060041407867494824	0.115993265993266	0.5541216486594637	0.265172735760971	0.16666666666666666	0.0	0.3958333333333333	0.16071428571428573	0.0	0.21666666666666667
GSM2481638	0.13365384615384615	0.6286602041135433	0.0	0.7111111111111111	0.14076436666059305	0.25	0.08541280738077076	0.11728395061728396	0.369047619047619	0.7428062133944486	0.16666666666666666	0.0	0.5833333333333333	0.10292848846855815	0.05416666666666666	0.3333333333333333
GSM2481639	0.125	0.633344328362885	0.018333333333333333	0.7733333333333333	0.09747557997557996	0.08333333333333333	0.08485297343392245	0.12316017316017315	0.5609243697478992	0.48739495798319327	0.16666666666666666	0.0	0.3958333333333333	0.15394889663182346	0.07272727272727272	0.3333333333333333
GSM2481640	0.06175595238095238	0.46657733800590945	0.015789473684210523	0.5714285714285714	0.2164289436850412	0.08333333333333333	0.02811870888457092	0.082010582010582	0.4479991996798719	0.5238095238095238	0.5	0.0357142857142857	0.5208333333333333	0.011091753774680599	0.01666666666666666	0.1111111111111111
GSM2481641	0.04183035714285714	0.5722508235483194	0.016666666666666666	0.868095238095238	0.2156476539333682	0.08333333333333333	0.015738236166510978	0.2263374485596708	0.49166030048382986	0.12169312169312167	0.16666666666666666	0.06000712250712247	0.3333333333333333	0.0	0.13739130434782607	0.039215686274509796
GSM2481642	0.14195661794346004	0.5963690384890443	0.0	0.8380952380952381	0.24780952380952379	0.25	0.015085140290265513	0.04454804454804454	0.4466386554621849	0.1064425770308123	0.16666666666666666	0.0	0.3958333333333333	0.025974025974025972	0.008	0.4666666666666666
GSM2481643	0.24198369565217392	0.6478678246693073	0.00021929824561403333	0.7380952380952381	0.28241121623474563	0.08333333333333333	0.1154881859680036	0.1373015873015873	0.41228491396558614	0.5	0.16666666666666666	0.0	0.4583333333333333	0.15394889663182346	0.12	0.21666666666666667
GSM2481644	0.04375	0.43262871244237705	0.08333333333333333	0.8017857142857142	0.11111111111111112	0.08333333333333333	0.12284665817274512	0.17057461873638344	0.11904761904761904	0.0	0.5620915032679739	0.0	0.2857142857142857	0.42857142857142855	0.25	0.16666666666666666
GSM2481645	0.04375	0.4638768638768639	0.08333333333333333	0.8017857142857142	0.11111111111111112	0.08333333333333333	0.12556404947709296	0.17057461873638344	0.11904761904761904	0.037037037037037035	0.5620915032679739	0.0	0.2857142857142857	0.44642857142857145	0.05	0.16666666666666666
GSM2481646	0.04375	0.5002024085875016	0.08333333333333333	0.8017857142857142	0.06800766283524905	0.08333333333333333	0.1201292668683973	0.17057461873638344	0.08333333333333333	0.0	0.5620915032679739	0.0	0.2857142857142857	0.4761904761904762	0.18333333333333332	0.0
GSM2481647	0.04375	0.4334790525784315	0.08333333333333333	0.8017857142857142	0.1	0.08333333333333333	0.1042131178000743	0.16710239651416123	0.07142857142857142	0.0	0.5620915032679739	0.0	0.2857142857142857	0.44642857142857145	0.05	0.16666666666666666
GSM2481648	0.04375	0.39233491376348517	0.08888888888888889	0.8017857142857142	0.13968253968253969	0.08333333333333333	0.12284665817274512	0.17057461873638344	0.2619047619047619	0.0	0.5620915032679739	0.0	0.2857142857142857	0.44642857142857145	0.05	0.16666666666666666
GSM2481649	0.04375	0.3929461727598374	0.07777777777777778	0.8017857142857142	0.14444444444444443	0.08333333333333333	0.12043119923554704	0.16710239651416123	0.11904761904761904	0.0	0.5620915032679739	0.0	0.2857142857142857	0.44642857142857145	0.05	0.16666666666666666
GSM2481650	0.04375	0.41886268206143984	0.08529411764705881	0.7779761904761905	0.15944444444444444	0.16666666666666666	0.1807347242129851	0.24022331154684096	0.11904761904761904	0.0	0.5620915032679739	0.0	0.2857142857142857	0.2857142857142857	0.0	0.3333333333333333
GSM2481651	0.09791666666666667	0.497514258228544	0.09149184149184149	0.8255952380952379	0.2270576735092864	0.16666666666666666	0.175552104899931	0.12175925925925925	0.3248299319727891	0.25	0.5620915032679739	0.1125	0.2857142857142857	0.4642857142857143	0.1	0.16666666666666666
GSM2986307	0.40327329389231387	0.7102924783220936	0.35294963354330117	0.9647058823529411	0.5850591865429573	0.40277777777777773	0.5316295584904601	0.6015086463837952	0.753968253968254	0.6190476190476191	0.6190476190476191	0.6127087399696378	0.6071428571428571	0.5617745158067738	0.6177471197067559	0.5277777777777778
GSM2986308	0.10714285714285715	0.9563492063492065	0.0452991452991453	1.0	0.06944444444444443	0.0625	0.01669165417291354	0.7777777777777778	0.0238095238095238	0.13095238095238093	0.9484126984126985	0.1361111111111111	0.125	0.015873015873015872	0.22247619047619044	0.0
GSM2986309	0.03544372294372294	0.9492063492063492	0.04833333333333333	0.975	0.01934197407776669	0.0	0.05427920509442248	0.6658496732026143	0.05952380952380952	0.08333333333333333	0.5555555555555555	0.3055555555555556	0.125	0.009966777408637871	0.2797163925127623	0.0
GSM2986310	0.098125	0.9654195011337869	0.025437937937937936	0.975	0.05897435897435897	0.0625	0.010326086956521738	0.7242063492063492	0.05238095238095237	0.08333333333333333	0.9484126984126985	0.12777777777777777	0.125	0.08163265306122448	0.4075592469545958	0.0
GSM2986311	0.11626984126984126	0.9050453514739228	0.0	0.975	0.05714285714285714	0.0625	0.07082427536231883	0.6194444444444445	0.0238095238095238	0.08333333333333333	0.9484126984126985	0.35	0.125	0.06802721088435373	0.39956395348837204	0.0
GSM2986312	0.00930567664438632	0.9337919247300912	0.0736111111111111	1.0	0.01395348837209302	0.0625	0.04496444318300526	0.6895424836601307	0.0	0.0	0.9484126984126985	0.06944444444444442	0.0	0.021978021978021973	0.27111111111111114	0.0
GSM2986313	0.07512019230769229	0.9459183673469388	0.01159722222222222	0.975	0.00546875	0.11805555555555554	0.05595463137996219	0.6944444444444444	0.0	0.14285714285714282	0.9484126984126985	0.3977272727272727	0.125	0.0	0.24966607036374472	0.0
GSM2986314	0.03125	0.8874227852060363	0.01663003663003663	0.9405405405405405	0.004061132237927799	0.08333333333333333	0.026420252406096686	0.6444738389182834	0.0238095238095238	0.08333333333333333	0.9444444444444445	0.31570512820512814	0.125	0.0	0.3190705128205128	0.0
GSM2986315	0.1113095238095238	0.7977791835357626	0.1545886797822343	0.9428571428571428	0.4132453196602581	0.16666666666666666	0.19609394960547122	0.59619775201967	0.22278911564625847	0.85	0.9484126984126985	0.5815217391304348	0.625	0.23492063492063492	0.5392807908936941	0.15555555555555556
GSM2986316	0.034527972027972025	0.9527310924369748	0.07925925925925927	0.975	0.015082824760244109	0.0625	0.03954658257506832	0.8611111111111112	0.047619047619047616	0.08333333333333333	0.6150793650793651	0.05	0.125	0.09801587301587301	0.2000324000324	0.0
GSM2986317	0.06169093851132686	0.9654195011337869	0.014166666666666666	0.975	0.0	0.16666666666666666	0.044789510006901304	0.7194444444444444	0.0238095238095238	0.16666666666666666	0.6666666666666666	0.17777777777777776	0.375	0.031746031746031744	0.392	0.0
GSM2986318	0.09375	0.959467120181406	0.020833333333333332	0.975	0.0	0.0625	0.08951406649616367	0.8055555555555556	0.0238095238095238	0.1574074074074074	0.9484126984126985	0.3	0.125	0.03571428571428571	0.25773643410852703	0.0
GSM2986319	0.0	0.8916099773242631	0.06194444444444445	0.975	0.0	0.0625	0.0375	0.7790404040404041	0.0238095238095238	0.19999999999999998	0.9484126984126985	0.20277777777777778	0.125	0.015873015873015872	0.6162081949058693	0.16666666666666666
GSM2986320	0.0	0.9654195011337869	0.04861111111111111	0.975	0.04	0.0625	0.027923538230884556	0.7777777777777779	0.034798534798534786	0.08333333333333333	0.9484126984126985	0.1366013071895425	0.125	0.015873015873015872	0.3254572791549535	0.0
GSM2986321	0.0615079365079365	0.8809523809523809	0.07083333333333333	0.975	0.0656236908253037	0.0625	0.043478260869565216	0.8194444444444444	0.0238095238095238	0.4166666666666667	0.9484126984126985	0.35	0.375	0.015873015873015872	0.36	0.0
GSM2986322	0.0625	0.9031746031746033	0.02285353535353535	0.975	0.018367346938775512	0.0625	0.043478260869565216	0.7638888888888888	0.08095238095238096	0.15	0.9484126984126985	0.25277777777777777	0.125	0.15873015873015875	0.12533333333333332	0.0
GSM2986323	0.0	0.9563492063492065	0.06765873015873015	0.975	0.05301204819277109	0.22916666666666666	0.11379310344827584	0.8888888888888888	0.0238095238095238	0.08333333333333333	0.9484126984126985	0.17777777777777776	0.125	0.015873015873015872	0.4230763267740011	0.0
GSM2986324	0.075	0.9586167800453514	0.05787037037037037	1.0	0.02222222222222222	0.0625	0.008234893542239866	0.7396723646723646	0.0238095238095238	0.0	0.9484126984126985	0.4875	0.125	0.03628117913832198	0.41520146520146517	0.0
GSM2986325	0.0625	0.8928571428571429	0.016388888888888887	0.975	0.025980392156862743	0.0625	0.0007496251874062956	0.8277777777777778	0.0238095238095238	0.0	0.9484126984126985	0.12152777777777778	0.125	0.014285714285714287	0.514	0.0
GSM2986326	0.03869047619047619	0.9396258503401361	0.004166666666666667	0.975	0.0	0.0625	0.039880059970014994	0.7083333333333334	0.0238095238095238	0.08333333333333333	0.9484126984126985	0.1611111111111111	0.125	0.15873015873015875	0.4718272425249169	0.0
GSM2986327	0.04112554112554112	0.7782169925027068	0.006666666666666667	0.7222222222222222	0.02	0.611111111111111	0.009733939000648926	0.20226004335593376	0.287202380952381	0.0	1.0	0.13835227272727274	0.0	0.0	0.00303030303030302	0.09999999999999999
