control_name	module_id	control_type	n_DMRs	cosine_to_full	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
remove_module_M09	M09	remove_module_keep_remainder	153	0.9998002237851543	0.06157205410909798	0.10409296500654908	0.2061145214138091	0.8487798699346262	0.23851809463670354	0.6519736423879288	0.2389986177016401	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6725929767693862	1.0224014859114376
only_module_M13	M13	only_module	7	0.7324488714958786	1.1688038289433311	0.9162544236881862	1.1125731174543438	0.8487798699346262	0.24491863901422242	0.6260708699945845	0.24544340967646983	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.115976704944756	1.0224014859114376
remove_module_M13	M13	remove_module_keep_remainder	149	0.9997278588935521	0.0400488952379084	0.09681498387170384	0.18716187424330694	0.8487798699346262	0.23844973439017716	0.6522111708094632	0.2389289793373366	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6684703720623537	1.0224014859114376
only_module_M04	M04	only_module	10	0.9803841747374502	1.1796125301711307	0.9226462226669623	0.9224371854084241	0.8487798699346262	0.24504040620851275	0.6257509862740201	0.24556491004439526	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.133397916965508	1.0224014859114376
remove_module_M04	M04	remove_module_keep_remainder	146	0.9999951827079797	0.018577074512183864	0.10504280228539364	0.18618202183034227	0.8487798699346262	0.23837771304806177	0.6523101168004827	0.23885693867067115	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6629921639076668	1.0224014859114376
only_module_M15	M15	only_module	3	0.8116934316913266	1.1812688669235636	0.9233266169320377	1.0552241346179123	0.8487798699346262	0.24505528108340785	0.6257333648711846	0.24557968196797056	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.135659262994628	1.0224014859114376
remove_module_M15	M15	remove_module_keep_remainder	153	0.9999488025894404	0.020464781200397797	0.10937237377470599	0.19797230242492234	0.8487798699346262	0.23837323585969689	0.6523079523598572	0.23885236107819063	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6619768662439818	1.0224014859114376
only_module_M14	M14	only_module	5	0.6939247265061788	1.1890793341907262	0.9288643683265428	1.0184154843387603	0.8487798699346262	0.2451266271368117	0.6253323567560037	0.24565108281504539	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.1490681042702184	1.0224014859114376
remove_module_M14	M14	remove_module_keep_remainder	151	0.9999706808653367	0.012645530197986811	0.10098104853121637	0.19300324062191204	0.8487798699346262	0.23838260888503127	0.652369507081241	0.23886110590551762	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6640264072971592	1.0224014859114376
only_module_M11	M11	only_module	4	0.8791849180145778	1.1928283167610534	0.9310418174047637	1.0244348923974502	0.8487798699346262	0.24516594364399305	0.6252148679652851	0.24569030962246668	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.1550623115320358	1.0224014859114376
remove_module_M11	M11	remove_module_keep_remainder	152	0.999997425521813	0.005680570201855118	0.1037794370547781	0.17890640169119854	0.8487798699346262	0.2383665887610284	0.6523952706903503	0.23884498574268692	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6628729073563353	1.0224014859114376
