train_protocol	rollout_mode	start_stage	target_stage	start_tau	target_tau	n_predicted_particles	n_observed_samples	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_threshold_morula_q90	pred_basin_occupancy	observed_basin_occupancy	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
full_all_transitions	deterministic	2-cell	2-cell	0.3333333333333333	0.3333333333333333	20	20	0.0	0.0	0.0	0.0	0.09895639633962156	0.8818711690117954	0.111486271507989	1.5666635350021403	0.0	0.0	3.895913884170207	3.895913884170207
full_all_transitions	stochastic_residual	2-cell	2-cell	0.3333333333333333	0.3333333333333333	400	20	3.3351378076690726e-15	0.0	0.09934942945892451	0.14879708809369327	0.09895639633962156	0.8818711690117955	0.111486271507989	1.5666635350021403	0.0	0.0	3.8959138841702075	3.895913884170207
full_all_transitions	deterministic	2-cell	4-cell	0.3333333333333333	0.5	20	25	1.189504675791767	0.4469822240813528	1.0033587738322118	1.5877203887994589	0.12884166598830615	0.8038323467248827	0.13192075946023382	1.5666635350021403	0.0	0.0	2.531436512527064	4.246478430257651
full_all_transitions	stochastic_residual	2-cell	4-cell	0.3333333333333333	0.5	400	25	1.1242342864433734	0.11876697290675309	3.051538084301742	37.33008995655568	0.13560450675770971	0.7956744104870151	0.1996041483086549	1.5666635350021403	0.01	0.0	7.445107289661289	4.246478430257651
full_all_transitions	deterministic	2-cell	8-cell	0.3333333333333333	0.6666666666666666	20	45	1.028195592873459	0.5015954224971495	1.075426001842907	1.7541539080675375	0.11234266663736299	0.9328098694554977	0.11267600227508555	1.5666635350021403	0.0	0.37777777777777777	1.9708128854825628	1.9475723812798929
full_all_transitions	stochastic_residual	2-cell	8-cell	0.3333333333333333	0.6666666666666666	400	45	1.0530474307063937	0.12081531750721264	3.3399181276533465	41.99787484264855	0.1167843463954106	0.9194861303542363	0.19549622671292768	1.5666635350021403	0.0125	0.37777777777777777	8.096869653411257	1.9475723812798929
full_all_transitions	deterministic	2-cell	morula	0.3333333333333333	0.8333333333333334	20	8	1.0371159464678967	1.162053034906988	1.0134438736524347	1.1304822978751077	0.2442126852884723	0.6380535176134614	0.24423146689127498	1.5666635350021403	0.0	0.875	1.7987058407864187	1.0224014859114376
full_all_transitions	stochastic_residual	2-cell	morula	0.3333333333333333	0.8333333333333334	400	8	1.090191416326659	0.11375265475567087	3.7326105961862264	46.53297271062969	0.24520321202463227	0.6238978820316843	0.29242389184482787	1.5666635350021403	0.01	0.875	8.278266892123352	1.0224014859114376
full_all_transitions	deterministic	2-cell	blastocyst	0.3333333333333333	1.0	20	5	0.9960055751150243	1.063882154228668	0.8661593435628356	1.1447620800232283	0.15373986930855713	0.6744580373754898	0.15374446557004315	1.5666635350021403	0.0	0.0	1.7213968209563042	3.397489915056115
full_all_transitions	stochastic_residual	2-cell	blastocyst	0.3333333333333333	1.0	400	5	0.8657718208696679	0.10290541799669617	3.6855573497450327	44.28206282648464	0.1559346328873418	0.6681020804683984	0.22162491087087724	1.5666635350021403	0.015	0.0	8.197408763959539	3.397489915056115
full_all_transitions	deterministic	4-cell	4-cell	0.5	0.5	25	25	0.0	0.0	0.0	0.0	0.10923907471806982	0.8351006911534042	0.11467669279215184	1.5666635350021403	0.0	0.0	4.246478430257651	4.246478430257651
full_all_transitions	stochastic_residual	4-cell	4-cell	0.5	0.5	500	25	8.75153442921609e-15	0.0	0.05689937731551262	0.06755436318122511	0.10923907471806991	0.835100691153404	0.11467669279215183	1.5666635350021403	0.0	0.0	4.24647843025765	4.246478430257651
full_all_transitions	deterministic	4-cell	8-cell	0.5	0.6666666666666666	25	45	1.2325234270370489	0.5185124816591301	1.0912141952550303	1.6601063589932687	0.11638658742158282	0.929185679683179	0.11771823892979698	1.5666635350021403	0.0	0.37777777777777777	2.1464949725673836	1.9475723812798929
full_all_transitions	stochastic_residual	4-cell	8-cell	0.5	0.6666666666666666	500	45	1.2349130866586675	0.12790961101357934	3.1529842563153707	40.618848023983446	0.11646372070602289	0.9257557876044331	0.1848794543844209	1.5666635350021403	0.016	0.37777777777777777	7.667017046572102	1.9475723812798929
