cluster_name	k27ac_8cell_ov	k27ac_8cell_score	k27ac_blast_ov	k27ac_blast_score	k27me3_8cell_ov	k27me3_8cell_score	k4me3_8cell_ov	k4me3_8cell_score	k27me3_blast_ov	k27me3_blast_score	k4me3_blast_ov	k4me3_blast_score	acc_morula_mean	acc_8-cell_mean	acc_2-cell_mean	acc_4-cell_mean	basin_residual_rank	observed_minus_strict_pred_delta_beta	latent_residual_delta_beta	module_id	curvature	is_inverted_u	is_u_shape	meth_2_cell	meth_4_cell	meth_8_cell	meth_morula	meth_blastocyst
cluster_5679	0		0		0		0		1		0		0.4111815006	0.5991790972000001	-0.8884289442000001	0.16279749240000002	31	0.01191051782286745	-0.06131858774405247	M01	-0.1424011946475125	False	False	0.38907635467980295	0.3525291005291005	0.5709321386858208	0.5	0.2866666666666667
cluster_1387	0		1		0		0		1		0		0.010608259799999995	0.4092252642	-0.5262749218	0.06114958399999997	32	-0.0011402334070978461	0.05917032505379138	M12	-0.002380952380952261	False	False	0.0125	0.0	0.2833333333333333	0.14285714285714285	0.0
cluster_6114	0		0		0		0		0		0		-0.664971657	1.037215059	-0.957681439	-0.5615354579999999	33	-0.19884179631592366	-0.05900512375137872	M01	0.2283451969489899	False	False	0.4380275923240976	0.2979237760361513	0.5232050531171626	0.2272727272727273	0.15968559837728194
cluster_1764	1		1		0		0		0		0		0.7542013409999999	0.2118068876363636	-0.7293692982727272	0.06172132063636365	34	0.35044523581868364	-0.056940770422262976	M15	-0.4529411764705883	False	False	0.11049783549783547	0.045	0.047058823529411764	0.5	0.5
cluster_5661	0		0		0		0		0		0		0.4111815006	0.5991790972000001	-0.8884289442000001	0.16279749240000002	35	0.16847657816768324	0.051670412114539495	M01	-0.2594444444444448	True	False	0.903125	0.09	0.7822222222222219	0.7916666666666667	0.5416666666666667
cluster_6975	0		0		0		0		0		0		1.34243392	-0.239100842	-0.565317166	-0.37392420159999995	36	0.1711368283058644	-0.04996564627518983	M03	-0.8351851851851853	True	False	0.9166666666666669	0.928	0.7148148148148149	1.0	0.45
cluster_3348	0		0		0		0		0		0		0.1430032778095238	0.24356474695238103	0.07250288952380951	0.06314191257142858	37	0.8828949967479023	0.04738931923287908	M02	-1.9743589743589745	True	False	0.0	0.02666666666666666	0.02564102564102564	1.0	0.0
cluster_5977	0		0		0		0		1		0		0.4598605983636362	0.3431352132727273	-0.4596705543636363	-0.005768947818181835	38	0.8549572312818791	0.04621324834127211	M06	-1.8871272600832825	True	False	0.05455090718248612	0.04063403263403264	0.06802425506823308	1.0	0.04484848484848485
cluster_4909	0		0		0		0		0		0						39	-0.3182889463960755	0.0455104341629634	M15	1.1855555555555553	False	True	0.11555555555555555	0.01	0.6099999999999998	0.0	0.5755555555555556
cluster_1718	0		0		0		0		1		0		0.5087951024	0.11171229820000002	-0.4391275144	0.5002590464	40	0.5260137442757669	0.04482086841341994	M00	-1.1316756135309396	True	False	0.1248967650566488	0.02735128947752537	0.1469208776971304	0.7	0.1214035087719298
cluster_6532	0		0		0		0		0		0		0.2810479545000001	0.7564254166250001	-0.331077949	-0.1243301028125	41	-0.15080890837579172	0.043380022403272996	M09	0.2147136786120274	False	False	0.34361354225484664	0.12337373737373734	0.3156073437703985	0.09375	0.08660633484162898
cluster_2365	1		1		0		0		0		1		0.8863012990000001	0.064804778	-0.4412426055	0.6075846085000001	42	-0.2011247685869612	-0.04206595171579531	M07	0.316970173635781	False	False	0.2228811116774672	0.1096485119816553	0.3740033816558312	0.046875	0.03671679197994987
cluster_1758	0		0		0		0		0		0		0.7568651953999999	0.18533283600000003	-0.6846945283999999	0.1398096753	43	-0.07335387384340786	0.04146978517954862	M01	0.10962962962962974	False	False	0.44940476190476186	0.02	0.9762962962962964	0.5	0.13333333333333333
cluster_6604	0		0		0		0		1		0		0.2810479545000001	0.7564254166250001	-0.331077949	-0.1243301028125	44	0.018876363642905125	0.04068701600287178	M03	-0.16542531542531547	False	False	0.6816468253968253	0.8173492063492064	0.9893365893365892	0.8898809523809523	0.625
cluster_3519	0		0		0		1		1		0		0.39122289480000016	0.4376009891999999	-0.08293553019999997	0.4174638367999999	45	-0.10638923526560973	-0.039615500939224814	M01	0.3027283127314556	False	True	0.3836506200567865	0.3472186134140639	0.5114529343630538	0.33035714285714285	0.4519896640826874
cluster_916	1		1		0		0		0		1		-0.131902419	0.15655223699999998	0.38869553966666665	-0.022744095333333325	46	0.9090601814082284	0.03477969827616953	M02	-2.0	True	False	0.05	0.006666666666666665	0.0	1.0	0.0
cluster_3684	0		0		0		0		0		0		0.48492230299999994	0.3155706590000001	-0.8890914325	0.397281352	47	-0.0536562606326222	0.03303168106417983	M02	0.0822222222222222	False	False	0.026785714285714284	0.016	0.08222222222222222	0.0	0.0
cluster_1556	0		1		0		0		0		0		0.08728189229411766	0.4117367467647058	-0.1623174658823529	-0.17327206820588234	48	-0.03488354502458838	-0.03260139379560621	M00	0.1333333333333333	False	True	0.0625	0.0	0.03333333333333333	0.0	0.1
