cluster_name	module_id	branch	basin_residual_rank	abs_latent_residual_delta_beta	dmr_geometry_score	signed_duality	rebound_symmetry_score	curvature	public_accessibility_morula_max	public_accessibility_morula_minus_8cell	overlap_public_chromatin	joint_reset_geometry_access_score
cluster_242	M01	closure	21	0.0773625907521746	-0.0707719580344504	-1	0.0707719580344504	0.1969483537904591	1.5410953	-0.4107934199999998	True	0.12198098956889854
cluster_1715	M06	other	60	0.0242076987155792	0.5791158504987112	1	0.5791158504987112	0.072177599341093	1.368367221	0.3170685039999998	True	0.115907631026143
cluster_7052	M08	other	104	0.0107305322500505	0.2128253968301971	1	0.2128253968301971	-0.2526719576719577	2.3353779	0.1584980959999997	True	0.11272575040672132
cluster_6871	M02	access	128	0.0064412208159518	0.9121706150619819	1	0.9121706150619819	0.068021879586185	1.056105408	1.787382464	True	0.10060111408824417
cluster_3133	M14	other	73	0.0204314138955557	0.4600802171347715	1	0.4600802171347715	-0.0886116639588507	1.6203702169999998	-0.1691175260000001	True	0.09487686073125133
cluster_1126	M00	other	91	0.0135334574224416	0.8617110203624331	1	0.8617110203624331	0.2314825871869215	0.87326331	-1.086810263	True	0.0467124745033937
cluster_5002	M01	closure	28	0.0620667827294791	0.9793364388184792	1	0.9793364388184792	0.7828876706025484	-0.344442992	-0.6410962659999999	True	0.04559970303719826
cluster_4028	M02	access	134	0.0049639717947311	0.36212325687759916	1	0.36212325687759916	0.0778356146777199	1.976177952	0.2110322649999998	True	0.0360372184425077
cluster_634	M13	other	77	0.0191270264069371	0.08333333333583323	1	0.08333333333583323	0.4333333333333333	2.204821917	-0.1227490239999999	True	0.029950737548738966
cluster_916	M02	access	46	0.0347796982761695	0.999999999999	1	0.999999999999	-2.0	0.127892323	-0.1101172189999999	True	0.027635932378058465
cluster_3336	M02	access	147	0.0024505685203961	0.416666666716665	1	0.416666666716665	0.0283333333333333	1.897721177	-0.160795279	True	0.025828085653539185
cluster_5240	M06	other	50	0.0306570107148617	0.0	0	0.0	0.0644444444444444	2.0854897340000003	0.0285430280000005	True	0.012587819373934531
cluster_4420	M06	other	118	0.0078800653460011	0.3006145318667916	1	0.3006145318667916	0.0865303831970498	1.962360609	0.2102827370000002	True	0.007258559836159084
cluster_2355	M11	other	131	0.0058218859076673	0.7537300699241697	1	0.7537300699241697	-0.0716668538180167	1.136797144	0.971484322	True	0.006611307890836526
cluster_126	M06	other	90	0.0135635274944179	0.5981111531222092	1	0.5981111531222092	0.0541478857033691	1.262357688	-0.957680106	True	0.0010457024782996038
cluster_293	M00	other	102	0.0113203313595498	0.17460317461317396	1	0.17460317461317396	0.1174603174603174	2.02578997	0.07390125	True	-0.03566602529090649
cluster_5679	M01	closure	31	0.0613185877440524	-0.3324944000944727	-1	0.3324944000944727	-0.1424011946475125	1.968560645	-0.0477150830000001	True	-0.03819108299158924
cluster_483	M11	other	80	0.0182694894255372	0.0	0	0.0	0.0296296296296296	2.204821917	0.0167681859999997	True	-0.04082179819745346
cluster_3303	M02	access	116	0.0085939111069334	0.2476158161245242	1	0.2476158161245242	-0.0259742411632732	1.897721177	-0.160795279	True	-0.053347501315980685
cluster_4449	M13	other	78	0.0189100674522665	0.08771929824956132	1	0.08771929824956132	0.2755555555555555	1.962360609	0.2102827370000002	True	-0.06554900117736324
cluster_6532	M09	other	41	0.043380022403273	-0.0321993630543594	-1	0.0321993630543594	0.2147136786120274	1.6336397880000002	-0.1748919879999997	True	-0.08904429216584014
cluster_2637	M06	other	153	0.0010649187275356	0.8983131639528531	1	0.8983131639528531	0.1401264675774478	0.682382495	-1.021247132	True	-0.10356263511612866
cluster_7612	M04	other	146	0.0024722167083421	0.4663255593453429	1	0.4663255593453429	0.1959455252326979	1.471174505	-0.6304901869999999	True	-0.1067886184465579
cluster_652	M00	other	151	0.0014656449645791	0.07777777778277749	1	0.07777777778277749	0.2155555555555555	2.204821917	-0.1227490239999999	True	-0.1185728381261153
cluster_1007	M00	other	94	0.0125476901199886	0.6510416666765106	1	0.6510416666765106	0.1677248677248676	0.87326331	-0.1612901419999999	True	-0.12254631848757913
cluster_5928	M04	other	63	0.0236668655051044	0.0	0	0.0	0.2243019943019942	1.851899126	0.955531667	True	-0.13804504576288182
cluster_5400	M02	access	125	0.0069035186180976	0.8032567774445482	1	0.8032567774445482	0.035682737163072	0.643446293	1.019941704	True	-0.1441967139037266
cluster_4551	M00	other	105	0.0105117013064552	0.05925925926725921	1	0.05925925926725921	0.1324074074074074	1.962360609	-0.0663216559999999	True	-0.15593153068089927
cluster_4404	M01	closure	15	0.0972246935380607	-0.33188756021836	-1	0.33188756021836	0.1545118474367889	0.939345698	-0.8127321739999999	True	-0.15652334488802852
cluster_1586	M00	other	81	0.0172386176409699	0.052910052917195756	1	0.052910052917195756	0.1474074074074073	1.7926254430000002	-0.549831993	True	-0.17380257012614767
cluster_3362	M02	access	124	0.0069950097435394	0.0957666336204157	1	0.0957666336204157	0.0460082439886601	1.897721177	-0.160795279	True	-0.18260509745583797
cluster_5064	M07	other	56	0.0265140525538444	0.3479917531873893	1	0.3479917531873893	0.1091332662041238	1.017316803	-0.4415011579999999	True	-0.18267428550837006
cluster_4538	M01	closure	96	0.0121196315524591	0.0	0	1.4814814814814814e-12	-0.675	1.962360609	-0.0663216559999999	True	-0.18814242433660833
cluster_1333	M04	other	62	0.023856994352479	0.2839227837079594	1	0.2839227837079594	0.0790317036730353	1.171450196	0.1686113409999998	True	-0.19168912517218803
cluster_4899	M00	other	121	0.0073274438649349	0.4333333333408328	1	0.4333333333408328	0.191111111111111			False	-0.20082251216482583
cluster_5659	M07	other	110	0.0094636497262664	0.0	0	0.0	0.0666666666666666	1.968560645	-0.0477150830000001	True	-0.20735607775920128
cluster_3227	M00	other	79	0.0182982290311602	0.4938594199074987	1	0.4938594199074987	0.2016578483245149	0.842057872	-0.5964704379999999	True	-0.2083436010067896
cluster_7504	M00	other	138	0.0044878001320038	0.7424615001215612	1	0.7424615001215612	0.1723113195730415	0.640024036	-1.245742351	True	-0.211821693736896
cluster_2776	M14	other	68	0.0224303631697264	0.8720947342276972	1	0.8720947342276972	-0.1871079120220997	-0.007005847	-1.784658427	True	-0.22513216504487688
cluster_1851	M02	access	130	0.0059938138733272	0.0	0	0.0	0.0083333333333333	1.962699209	0.6874580880000003	True	-0.2380474661456493
cluster_5307	M02	access	148	0.002172344139453	0.18518518520185168	1	0.18518518520185168	0.0711111111111111	1.644779131	-0.4121675749999998	True	-0.2548567751468253
cluster_3369	M02	access	126	0.0067836463293485	0.0	0	0.0	0.0	1.897721177	-0.160795279	True	-0.2576132492848562
cluster_1921	M08	other	149	0.0020292941244891	0.0	0	5e-12	0.2	1.962699209	0.2026982190000001	True	-0.2704328614428077
cluster_5580	M02	access	156	1.225816881403917e-05	0.0	0	0.0	0.0	1.968560645	0.998365287	True	-0.28456266798643537
cluster_5966	M02	access	135	0.0047669051413519	0.0	0	0.0	0.0111111111111111	1.851899126	0.955531667	True	-0.2924351677089602
cluster_1564	M02	access	123	0.0071050622888113	0.0	0	0.0	0.0074074074074074	1.7926254430000002	-0.549831993	True	-0.29706891462745216
cluster_2365	M07	other	42	0.0420659517157953	-0.0310526649158387	-1	0.0310526649158387	0.316970173635781	1.136797144	0.971484322	True	-0.2978413527385256
cluster_2727	M02	access	111	0.0090489299184929	0.0	0	0.0	0.0011111111111111	1.690836355	-0.0127932719999999	True	-0.321947076023155
cluster_1976	M01	closure	119	0.0077316862708786	0.10833333333483328	1	0.10833333333483328	-0.7388888888888889	1.479341098	-0.2806598919999998	True	-0.33449420701156574
cluster_5336	M06	other	115	0.0085940936800676	0.0	0	0.0	0.0833333333333333	1.644779131	-0.4121675749999998	True	-0.3441042602290991
cluster_2004	M11	other	82	0.0160837424277074	0.0	0	0.0	0.0034211134211134	1.479341098	-0.3248065959999999	True	-0.34916560164903804
cluster_5252	M15	other	139	0.0044561738151872	0.022222222223222197	1	0.022222222223222197	1.022222222222222	1.644779131	-0.4121675749999998	True	-0.3609014656946215
cluster_6604	M03	other	44	0.0406870160028717	-0.37547296648797746	-1	0.37547296648797746	-0.1654253154253154	1.6336397880000002	-0.1748919879999997	True	-0.37371926047820264
