cluster_name	x_morula	x_blast	is_mzero	is_remeth	acc_morula	module_id	k27me3_blast_ov	k27me3_8cell_ov	k4me3_blast_ov	k27ac_blast_ov	k4me3_8cell_ov
cluster_5923	0.013888888888888888	0.11861471861471863	1	1	0.07055736325	M09	0	0	0	0	0
cluster_5928	0.0	0.0	1	0	0.07055736325	M04	0	0	0	0	0
cluster_5966	0.0	0.0	1	0	0.35704966155555545	M02	1	0	0	0	0
cluster_5977	1.0	0.04484848484848485	0	0	0.4598605983636362	M06	1	0	0	0	0
cluster_6020	0.0	0.029118773946360157	1	0	0.22297081885714284	M06	1	0	0	0	1
cluster_6087	1.0	0.6666666666666666	0	0		M10	1	0	0	0	0
cluster_6114	0.2272727272727273	0.15968559837728194	0	0	-0.664971657	M01	0	0	0	0	0
cluster_6143	0.0	0.2	1	1	-0.664971657	M08	0	0	0	0	0
cluster_6163	0.0	0.016666666666666666	1	0	-0.41662308366666667	M08	0	0	0	0	0
cluster_6171	0.15833333333333333	0.1323529411764706	0	0	-0.41662308366666667	M04	0	0	0	0	0
cluster_618	0.0	0.04444444444444444	1	0	0.18568472110638296	M02	0	0	0	1	1
cluster_6262	0.0	0.2333333333333333	1	1	-0.41662308366666667	M10	0	0	1	0	0
cluster_6275	0.0	0.025	1	0	-0.41662308366666667	M06	0	0	0	1	0
cluster_634	0.0	0.4	1	1	0.18568472110638296	M13	1	0	0	0	0
cluster_6400	0.05	0.1010127103472968	0	0	0.08897375539999999	M04	1	0	0	0	0
cluster_6406	0.0	0.0	1	0	0.08897375539999999	M02	1	0	0	0	1
cluster_6410	0.017857142857142856	0.06333333333333332	1	1	0.08897375539999999	M06	1	0	0	0	1
cluster_643	0.875	0.3742703059652212	0	0	0.18568472110638296	M13	0	0	0	0	0
cluster_6442	0.0	0.0	1	0	0.3996295670000001	M02	0	0	0	0	0
cluster_6495	0.0	0.0568452380952381	1	1	0.19087516559999998	M09	0	0	0	1	0
cluster_6498	1.0	0.028571428571428567	0	0	0.19087516559999998	M12	0	0	0	0	0
cluster_6518	0.5	0.11190476190476192	0	0	0.19087516559999998	M04	1	0	0	0	0
cluster_652	0.0	0.2	1	1	0.18568472110638296	M00	0	0	0	1	0
cluster_6532	0.09375	0.08660633484162898	0	0	0.2810479545000001	M09	0	0	0	0	0
cluster_6604	0.8898809523809523	0.625	0	0	0.2810479545000001	M03	1	0	0	0	0
cluster_6651	0.5178571428571428	0.3557338086749852	0	0	0.2759873700588236	M01	1	0	0	0	0
cluster_6655	0.5	0.3432688737124221	0	0	0.2759873700588236	M01	1	0	0	0	1
cluster_67	0.0	0.0	1	0	-0.0317472865	M02	1	0	0	0	0
cluster_6871	0.0	0.03557312252964427	1	0	1.056105408	M02	1	0	0	0	0
cluster_6892	0.0	0.0	1	0	1.056105408	M05	0	0	0	0	0
cluster_6960	0.03125	0.2895238095238095	0	0	1.6387179753333332	M01	0	0	0	0	0
cluster_6975	1.0	0.45	0	0	1.34243392	M03	0	0	0	0	0
cluster_7000	0.16666666666666666	0.05	0	0	0.9356224585999998	M02	0	0	1	1	0
cluster_7042	0.125	0.015384615384615384	0	0	0.9119015956363636	M05	0	0	0	1	0
cluster_7052	0.3333333333333333	0.125	0	0	0.9119015956363636	M08	1	0	0	0	0
cluster_7072	0.0	0.3344129554655871	1	1	0.9119015956363636	M01	1	0	0	0	0
cluster_7095	0.27884615384615385	0.0	0	0	0.7327324244615383	M06	0	0	0	1	1
cluster_7341	1.0	0.7111111111111109	0	0		M03	0	0	0	0	0
cluster_7425	0.7247474747474747	0.3864864864864865	0	0	0.33573697	M01	1	0	0	0	0
cluster_7504	0.0125	0.11138959931798806	1	1	-0.07645641433333332	M00	0	0	0	0	0
cluster_7612	0.01619644723092999	0.1498267478042759	1	1	0.03081375180000001	M04	1	0	0	0	0
cluster_7683	0.0	0.0	1	0	-0.7102907340000001	M06	1	0	0	0	0
cluster_832	0.6666666666666666	0.461244019138756	0	0	-0.0903630925	M01	0	0	0	0	1
cluster_840	0.0	0.25	1	1	-0.0903630925	M13	0	0	0	0	0
cluster_883	0.0	0.0125	1	0	-0.0903630925	M02	1	0	0	0	0
cluster_900	0.0	0.0	1	0	-0.0903630925	M02	1	0	0	0	0
cluster_915	0.3333333333333333	0.03268817204301076	0	0	-0.131902419	M07	0	0	0	1	0
cluster_916	1.0	0.0	0	0	-0.131902419	M02	0	0	1	1	0
cluster_950	0.11904761904761905	0.2590909090909091	0	0	-0.10241533300000001	M03	0	0	0	0	0
