cluster_name	module_id	branch	beta_8cell	beta_morula	beta_blastocyst	entry_change	exit_change	curvature	rebound_ratio	is_u_shape	is_inverted_u	basin_residual_rank
cluster_5977	M06	other	0.068024255068233	1.0	0.0448484848484848	0.931975744931767	-0.9551515151515152	-1.8871272600832822	1.024867353409954	False	True	38
cluster_6020	M06	other	0.0142376142376142	0.0	0.0291187739463601	-0.0142376142376142	0.0291187739463601	0.0433563881839743	2.0452003726429333	True	False	100
cluster_6087	M10	access	0.5088888888888888	1.0	0.6666666666666666	0.49111111111111116	-0.33333333333333337	-0.8244444444444444	0.6787330316728262	False	True	22
cluster_6114	M01	closure	0.5232050531171626	0.2272727272727273	0.1596855983772819	-0.2959323258444353	-0.06758712889544538	0.22834519694898991	0.22838711081109123	False	False	33
cluster_6143	M08	other	0.8037037037037039	0.0	0.2	-0.8037037037037039	0.2	1.003703703703704	0.24884792626697144	True	False	49
cluster_6163	M08	other	0.3610440242019189	0.0	0.0166666666666666	-0.3610440242019189	0.0166666666666666	0.3777106908685855	0.046162422168492596	True	False	155
cluster_6171	M04	other	0.2763552645736553	0.1583333333333333	0.1323529411764706	-0.11802193124032198	-0.02598039215686271	0.09204153908345927	0.22013190161869187	False	False	70
cluster_618	M02	access	0.0222222222222222	0.0	0.0444444444444444	-0.0222222222222222	0.0444444444444444	0.0666666666666666	1.9999999999100002	True	False	95
cluster_6262	M10	access	0.076094276094276	0.0	0.2333333333333333	-0.076094276094276	0.2333333333333333	0.30942760942760933	3.066371681375635	True	False	2
cluster_6275	M06	other	0.0401058201058201	0.0	0.025	-0.0401058201058201	0.025	0.06510582010582011	0.623350923467307	True	False	140
cluster_634	M13	other	0.0333333333333333	0.0	0.4	-0.0333333333333333	0.4	0.43333333333333335	11.999999999640014	True	False	77
cluster_6400	M04	other	0.1022695664759132	0.05	0.1010127103472968	-0.0522695664759132	0.05101271034729679	0.10328227682320999	0.9759543418028626	True	False	117
cluster_6406	M02	access	0.0222222222222222	0.0	0.0	-0.0222222222222222	0.0	0.0222222222222222	0.0	False	False	69
cluster_6410	M06	other	0.0183472983472983	0.0178571428571428	0.0633333333333333	-0.0004901554901554986	0.045476190476190496	0.045966345966345995	92.77911050018916	True	False	154
cluster_643	M13	other	0.1819783508871383	0.875	0.3742703059652212	0.6930216491128617	-0.5007296940347787	-1.1937513431476405	0.7225310993892344	False	True	29
cluster_6442	M02	access	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	False	93
cluster_6495	M09	other	0.2437020495844024	0.0	0.056845238095238	-0.2437020495844024	0.056845238095238	0.3005472876796404	0.23325711947004893	True	False	23
cluster_6498	M12	closure	0.5	1.0	0.0285714285714285	0.5	-0.9714285714285715	-1.4714285714285715	1.9428571428532575	False	True	10
cluster_6518	M04	other	0.1315096089521376	0.5	0.1119047619047619	0.3684903910478624	-0.3880952380952381	-0.7565856291431006	1.0532031432097129	False	True	59
cluster_652	M00	other	0.0155555555555555	0.0	0.2	-0.0155555555555555	0.2	0.2155555555555555	12.857142856316374	True	False	151
cluster_6532	M09	other	0.3156073437703985	0.09375	0.0866063348416289	-0.2218573437703985	-0.007143665158371101	0.2147136786120274	0.03219936305435949	False	False	41
cluster_6604	M03	other	0.9893365893365892	0.8898809523809523	0.625	-0.09945563695563686	-0.26488095238095233	-0.16542531542531547	2.6633075860390063	False	False	44
cluster_6651	M01	closure	0.6546166341780376	0.5178571428571428	0.3557338086749851	-0.13675949132089482	-0.16212333418215769	-0.025363842861262864	1.185463126654685	False	False	19
cluster_6655	M01	closure	0.5552155194879653	0.5	0.3432688737124221	-0.055215519487965325	-0.1567311262875779	-0.10151560679961258	2.8385339436840797	False	False	14
cluster_67	M02	access	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	False	150
cluster_6871	M02	access	0.0324487570565408	0.0	0.0355731225296442	-0.0324487570565408	0.0355731225296442	0.068021879586185	1.096286137141186	True	False	128
cluster_6892	M05	closure	0.0444444444444444	0.0	0.0	-0.0444444444444444	0.0	0.0444444444444444	0.0	False	False	3
cluster_6960	M01	closure	0.4382098765432097	0.03125	0.2895238095238095	-0.4069598765432097	0.2582738095238095	0.6652336860670192	0.6346419497592711	True	False	12
cluster_6975	M03	other	0.7148148148148149	1.0	0.45	0.2851851851851851	-0.55	-0.8351851851851853	1.928571428564667	False	True	36
cluster_7000	M02	access	0.0143874643874643	0.1666666666666666	0.05	0.1522792022792023	-0.1166666666666666	-0.2689458689458689	0.7661365762344444	False	True	142
cluster_7042	M05	closure	0.0111111111111111	0.125	0.0153846153846153	0.1138888888888889	-0.1096153846153847	-0.2235042735042736	0.9624765478339511	False	True	8
cluster_7052	M08	other	0.2889947089947089	0.3333333333333333	0.125	0.0443386243386244	-0.20833333333333331	-0.2526719576719577	4.698687350729343	False	True	104
cluster_7072	M01	closure	0.6232234198027038	0.0	0.3344129554655871	-0.6232234198027038	0.3344129554655871	0.9576363752682908	0.5365859896133507	True	False	24
cluster_7095	M06	other	0.0267118807118807	0.2788461538461538	0.0	0.2521342731342731	-0.2788461538461538	-0.5309804269804269	1.1059430769911611	False	True	101
cluster_7341	M03	other	0.9666666666666668	1.0	0.711111111111111	0.033333333333333215	-0.288888888888889	-0.3222222222222222	8.6666666664067	False	True	122
cluster_7425	M01	closure	0.8268384326355341	0.7247474747474747	0.3864864864864865	-0.10209095788805944	-0.3382609882609882	-0.23617003037292877	3.313329556850381	False	False	61
cluster_7504	M00	other	0.0859217202550535	0.0125	0.111389599317988	-0.0734217202550535	0.098889599317988	0.1723113195730415	1.3468711843459527	True	False	138
