cluster_name	x_morula	x_blast	x_blast_pred_meth_only	c_diag_blast	module_id	is_remeth_dmr	is_demeth_dmr	acc_morula	n_cpg	width
cluster_618	0.0	0.04444444444444444	0.0688	-0.02435555555555556	M02	0	0	0.18568472110638296	2	58
cluster_6262	0.0	0.2333333333333333	0.0688	0.1645333333333333	M10	1	0	-0.41662308366666667	3	265
cluster_6275	0.0	0.025	0.0688	-0.0438	M06	0	0	-0.41662308366666667	2	256
cluster_634	0.0	0.4	0.0688	0.33120000000000005	M13	1	0	0.18568472110638296	3	73
cluster_6400	0.05	0.1010127103472968	0.096855	0.0041577103472967974	M04	0	0	0.08897375539999999	8	429
cluster_6406	0.0	0.0	0.0688	-0.0688	M02	0	0	0.08897375539999999	2	124
cluster_6410	0.017857142857142856	0.06333333333333332	0.07881964285714285	-0.015486309523809527	M06	0	0	0.08897375539999999	3	647
cluster_643	0.875	0.3742703059652212	0.5597625	-0.18549219403477885	M13	0	0	0.18568472110638296	3	79
cluster_6442	0.0	0.0	0.0688	-0.0688	M02	0	0	0.3996295670000001	2	196
cluster_6495	0.0	0.0568452380952381	0.0688	-0.011954761904761899	M09	1	0	0.19087516559999998	6	499
cluster_6498	1.0	0.028571428571428567	0.6299	-0.6013285714285714	M12	0	1	0.19087516559999998	2	23
cluster_6518	0.5	0.11190476190476192	0.34935000000000005	-0.23744523809523813	M04	0	0	0.19087516559999998	3	212
cluster_652	0.0	0.2	0.0688	0.1312	M00	1	0	0.18568472110638296	3	62
cluster_6532	0.09375	0.08660633484162898	0.121403125	-0.03479679015837102	M09	0	0	0.2810479545000001	5	134
cluster_6604	0.8898809523809523	0.625	0.5681122023809524	0.05688779761904761	M03	0	0	0.2810479545000001	2	87
cluster_6651	0.5178571428571428	0.3557338086749852	0.3593696428571428	-0.0036358341821575713	M01	0	0	0.2759873700588236	3	145
cluster_6655	0.5	0.3432688737124221	0.34935000000000005	-0.006081126287577954	M01	0	0	0.2759873700588236	3	374
cluster_67	0.0	0.0	0.0688	-0.0688	M02	0	0	-0.0317472865	2	52
cluster_6871	0.0	0.03557312252964427	0.0688	-0.03322687747035573	M02	0	0	1.056105408	7	558
cluster_6892	0.0	0.0	0.0688	-0.0688	M05	0	0	1.056105408	2	11
cluster_6960	0.03125	0.2895238095238095	0.086334375	0.2031894345238095	M01	0	0	1.6387179753333332	3	961
cluster_6975	1.0	0.45	0.6299	-0.1799	M03	0	0	1.34243392	2	537
cluster_7000	0.16666666666666666	0.05	0.16231666666666666	-0.11231666666666666	M02	0	0	0.9356224585999998	2	174
cluster_7042	0.125	0.015384615384615384	0.1389375	-0.1235528846153846	M05	0	0	0.9119015956363636	3	592
