cluster_name	module_id	basin_residual_rank	y_morula_observed	x_8cell	y_pred_meth_only	c_diag	u_morula_acc_mean	u_morula_minus_8cell	curvature	is_inverted_u	is_u_shape	signed_residual_dir
cluster_6400	M04	117.0	0.05	0.1022695664759132	0.010171057637472723	0.03982894236252728	0.08897375539999999	-0.6155965654	0.10328227682321	False	True	1.0
cluster_4420	M06	118.0	0.0	0.06653038319704986	0.0742575715165782	-0.0742575715165782	0.3146190316666667	0.17860352	0.08653038319704981	False	True	1.0
cluster_1976	M01	119.0	1.0	0.9277777777777778	0.03396041673568769	0.9660395832643123	0.1024203828695652	0.08905542465217389	-0.7388888888888889	True	False	-1.0
cluster_1406	M07	120.0	0.4705882352941176	0.005555555555555557	0.0842642009842441	0.3863240343098735	0.21649764406666666	-0.15185266959999996	-0.9356209150326796	True	False	1.0
cluster_4899	M00	121.0	0.0	0.057777777777777775	0.03332312883871746	-0.03332312883871746			0.191111111111111	False	True	1.0
cluster_7341	M03	122.0	1.0	0.9666666666666668	0.9220944524368409	0.07790554756315915			-0.3222222222222222	True	False	1.0
cluster_1564	M02	123.0	0.0	0.007407407407407406	0.01835345969274218	-0.01835345969274218	0.08728189229411766	-0.3244548544705882	0.0074074074074074	False	False	-1.0
cluster_3362	M02	124.0	0.011363636363636364	0.05335090133131748	0.014809306922602312	-0.003445670558965948	0.1430032778095238	-0.10056146914285713	0.0460082439886601	False	True	1.0
cluster_5400	M02	125.0	0.0	0.019787940136199597	0.03266748121712022	-0.03266748121712022	-0.337068425	0.34011292200000004	0.035682737163072	False	True	1.0
cluster_3369	M02	126.0	0.0	0.0	0.02180500935844169	-0.02180500935844169	0.089100799173913	-0.1742390286956522	0.0	False	False	1.0
cluster_3978	M06	127.0	0.05555555555555555	0.0069135802469135815	0.000721088386128454	0.054834467169427095	0.3446764003846154	0.2385188691153847	-0.10419753086419747	True	False	-1.0
cluster_6871	M02	128.0	0.0	0.03244875705654088	0.06698070627266009	-0.06698070627266009	1.056105408	1.787382464	0.068021879586185	False	True	1.0
cluster_1922	M04	129.0	0.5	0.1019795657726692	0.015858319358188697	0.4841416806418113	0.17809323477777778	0.13484038894444444	-0.8646871008939975	True	False	1.0
cluster_1851	M02	130.0	0.0	0.008333333333333333	0.0027163068042500346	-0.0027163068042500346	0.6260395571666667	0.57466607225	0.0083333333333333	False	False	-1.0
cluster_2355	M11	131.0	0.05625	0.025448530797368002	0.12782358149732037	-0.07157358149732038	0.384706205	0.6735863295000001	-0.0716668538180167	True	False	1.0
cluster_900	M02	132.0	0.0	0.0	0.05384030572965683	-0.05384030572965683	-0.0903630925	-0.20618667699999998	0.0	False	False	1.0
cluster_3416	M02	133.0	0.3333333333333333	0.07777777777777778	0.027332465811993313	0.30600086752134	0.2683839703666667	-0.09426433256666668	-0.5888888888888889	True	False	1.0
cluster_4028	M02	134.0	0.0	0.0206927575348628	0.057680161711462695	-0.057680161711462695	0.20518743871875	-0.007203762968749989	0.0778356146777199	False	True	1.0
cluster_5966	M02	135.0	0.0	0.011111111111111113	0.006447613292681112	-0.006447613292681112	0.35704966155555545	0.08168042999999993	0.0111111111111111	False	False	-1.0
cluster_5024	M02	136.0	0.0	0.0	0.0	0.0	-0.7308543154285715	-0.7815638429999999	0.04	False	False	-1.0
cluster_123	M11	137.0	0.0	0.004228123342490015	0.061187086710044615	-0.061187086710044615	0.3996210383333333	-0.9858264156666668	0.024917778514903698	False	True	-1.0
cluster_7504	M00	138.0	0.0125	0.08592172025505357	0.05243517599072572	-0.03993517599072571	-0.07645641433333332	0.17687865733333333	0.1723113195730415	False	True	1.0
cluster_5252	M15	139.0	0.0	0.022222222222222227	0.22732097880997595	-0.22732097880997595	0.1751024924736842	-0.17426938115789473	1.022222222222222	False	True	1.0
cluster_6275	M06	140.0	0.0	0.0401058201058201	0.009499069467794347	-0.009499069467794347	-0.41662308366666667	-0.8417891609999999	0.06510582010582011	False	True	-1.0
cluster_883	M02	141.0	0.0	0.03106503632819422	0.025291221004174372	-0.025291221004174372	-0.0903630925	-0.20618667699999998	0.0435650363281942	False	True	1.0
cluster_7000	M02	142.0	0.16666666666666666	0.014387464387464388	0.0070476510084950495	0.1596190156581716	0.9356224585999998	0.7712058274	-0.2689458689458689	True	False	1.0
