iter	morula_rank_lowest_is_1	lowest_stage	morula_weighted_methylation
383	2	4-cell	0.22649012157764026
384	1	Morula	0.2495757592072554
385	1	Morula	0.3989774205170267
386	1	Morula	0.18113058348012848
387	1	Morula	0.3856232226440121
388	3	2-cell	0.3894116913061383
389	1	Morula	-0.4732152925312526
390	7	2-cell	0.5832609983355541
391	1	Morula	0.27136047909638933
392	2	2-cell	0.17544808826160332
393	1	Morula	0.26014596870306467
394	1	Morula	-0.1423985877813203
395	2	2-cell	0.4448303689286811
396	2	4-cell	0.1204482230657786
397	2	4-cell	0.3777913522729913
398	1	Morula	0.02952263388727927
399	3	4-cell	0.37605889963414496
400	2	Epiblast	0.2650421454080815
401	1	Morula	0.3330110566474841
402	1	Morula	0.2714214351244742
403	1	Morula	0.21050969083310433
404	2	2-cell	0.4094569528693983
405	4	2-cell	0.37342579031236156
406	1	Morula	0.19119662360184494
407	3	4-cell	0.10814070095449622
408	7	4-cell	0.4383836327810473
409	1	Morula	-0.4084498212994423
410	2	2-cell	0.27535618125765365
411	6	2-cell	0.6270962456462112
412	4	4-cell	0.43909942081618336
413	4	2-cell	0.1632709927111159
414	4	2-cell	0.3806708720138635
415	1	Morula	0.2478133080518381
416	1	Morula	0.39167056377873555
417	2	4-cell	0.36400034200720555
418	7	Zygote	0.653461853773079
419	3	Zygote	0.33621612413882096
420	2	2-cell	0.2937856028845308
421	1	Morula	0.2671438166050711
422	1	Morula	0.28455714559854767
423	1	Morula	-2.047262907656466
424	3	2-cell	0.48496574739249426
425	1	Morula	0.05368779269737288
426	1	Morula	0.20764818016121248
427	1	Morula	0.08576029071723956
428	5	2-cell	0.550681313355096
429	2	4-cell	0.3687180331691067
430	1	Morula	0.2253160261429529
431	1	Morula	0.23249708543951014
432	1	Morula	0.208141922588726
433	1	Morula	-0.43598120214516956
434	1	Morula	0.22033458734187736
435	2	Zygote	-0.014424831239835234
436	1	Morula	0.04914751584272803
437	2	Zygote	0.35431911944335737
438	2	Zygote	0.48802231813134794
439	2	4-cell	-1.129667822425739
440	4	2-cell	0.4765981170299501
441	4	4-cell	0.35413604435247026
442	1	Morula	0.20770087168147788
443	1	Morula	0.38847851378904996
444	1	Morula	0.2098092541886626
445	3	4-cell	0.5301677256625724
446	3	4-cell	-0.09255234925065148
447	1	Morula	0.15165217479550297
448	2	2-cell	0.3935984983390222
449	3	2-cell	0.5901267774903047
450	3	2-cell	0.30314554137196903
451	2	Zygote	0.34435484799156735
452	1	Morula	0.13674356410522762
453	1	Morula	0.1796670760744698
454	1	Morula	-3.718771045776703
455	1	Morula	0.32187230124579713
456	1	Morula	0.21403573968105175
457	1	Morula	-1.5504894019823392
458	1	Morula	-0.009874462468450348
459	1	Morula	-0.029432468013393845
460	1	Morula	0.3143825336716798
461	4	Zygote	0.541735136188987
462	2	4-cell	0.3269295434159739
463	3	2-cell	0.10981743590099172
464	1	Morula	0.3413652066438007
465	1	Morula	0.3507791092308048
466	1	Morula	-4.840789683378359
467	1	Morula	0.3808682370186853
468	3	4-cell	-0.7742611794331913
469	2	2-cell	0.31721238045005945
470	2	Zygote	0.367537709413281
471	6	Oocyte	0.5013377666451242
472	4	2-cell	0.4974169588926157
473	2	Zygote	0.17800055231620246
474	3	Zygote	0.002828675551583809
475	1	Morula	0.4286836628820837
476	1	Morula	0.38583008957066656
477	3	Zygote	0.14792143304916075
478	3	4-cell	0.2786336040530828
479	1	Morula	-0.4478196410883013
480	2	2-cell	0.47948518521300487
481	1	Morula	0.22796789952412116
482	3	2-cell	0.3505983751062102
483	6	2-cell	0.5924713789282606
484	4	4-cell	0.3182754387569011
485	1	Morula	0.3682820113963549
486	2	Zygote	0.2936342370962958
487	3	2-cell	0.38985495513322754
488	2	2-cell	0.40102301196598644
489	1	Morula	-0.016419189421043062
490	7	Epiblast	0.5194456140350877
491	2	Zygote	0.3169914256984385
492	1	Morula	0.3092248140074975
493	3	4-cell	0.372598850769542
494	1	Morula	-0.5818686503429527
495	2	2-cell	0.38140398727786406
496	2	4-cell	-0.1679703259043069
497	4	4-cell	0.49636593748976876
498	1	Morula	0.08782992387617752
499	4	4-cell	0.3644717311742759
500	1	Morula	0.15004675557824088
501	5	2-cell	0.8383739242227015
502	4	2-cell	0.1279535294198717
503	2	2-cell	0.22141907261671448
504	1	Morula	-0.012070141999138417
505	3	4-cell	0.2635733339663151
506	1	Morula	0.22224189258290894
507	1	Morula	0.08439613118713774
508	1	Morula	0.2590102478355626
509	2	2-cell	0.2936731650945321
510	4	4-cell	0.43398631632385254
511	1	Morula	0.3221249460253899
512	1	Morula	0.17998719644152722
513	3	4-cell	0.30046954198244535
514	1	Morula	0.2345721079426106
515	2	4-cell	-0.06832258160059412
516	5	2-cell	0.48133706631013745
517	1	Morula	0.02782020232753478
518	3	Zygote	0.3316695383497459
519	4	2-cell	0.46213116515569136
520	1	Morula	0.1681858596563088
521	1	Morula	0.12666433731312102
522	3	2-cell	0.2145617020034641
523	1	Morula	-0.3617153710875588
524	1	Morula	0.3922929218633123
525	2	2-cell	0.3162776306027006
526	2	2-cell	0.4953981022982622
527	3	8-cell	0.43684610023870907
528	4	Oocyte	0.4627468596914179
529	1	Morula	0.10048663409400202
530	2	4-cell	0.41689526716301945
531	4	2-cell	0.4989554761771821
532	1	Morula	0.15634476923802562
533	1	Morula	-0.21102809975722614
534	2	2-cell	0.3633580674166905
535	1	Morula	0.35995079224891513
536	1	Morula	-0.12739636767163495
537	2	4-cell	0.40227625186327054
538	1	Morula	0.21710568653323872
539	4	Zygote	0.49517321805619935
540	2	2-cell	0.4029870293757327
541	1	Morula	0.3445864308465878
542	1	Morula	0.23173576154378447
543	1	Morula	0.0758349086372269
544	4	2-cell	0.34875673133350293
545	1	Morula	0.19772573186304496
546	3	4-cell	0.39011821223593385
547	7	2-cell	0.574356385243297
548	1	Morula	0.3092826114063769
549	5	Epiblast	0.4976523546764019
550	5	4-cell	0.4292251358450534
551	2	2-cell	0.4495620965839797
552	1	Morula	0.30492774379913984
553	5	Zygote	0.471705547918162
554	2	2-cell	0.443156492337917
555	1	Morula	-0.20544005128214476
556	5	4-cell	0.5184114035087719
557	2	2-cell	0.33033057455631903
558	1	Morula	0.37294081481196506
559	1	Morula	-0.07003531820530112
560	2	Epiblast	0.484448245614035
561	5	Epiblast	0.3678089361850687
562	1	Morula	0.28847680979439794
563	4	4-cell	0.4368502189320658
564	3	2-cell	0.43948594091250787
565	6	Epiblast	0.6029473586350707
566	2	2-cell	0.2201098130744173
567	4	Zygote	-0.3624122465425348
568	1	Morula	-1.0700806174187778
569	5	Zygote	0.5749428592370126
570	1	Morula	-0.4258823221829511
571	1	Morula	0.2526828923178785
572	3	2-cell	0.44681789724262455
573	1	Morula	0.18771561722581567
574	1	Morula	0.357727288277859
575	2	2-cell	0.2587238256471634
576	1	Morula	0.14153843831889246
577	5	2-cell	0.5104579937597127
578	1	Morula	0.12423647766032056
579	1	Morula	0.21633699716978616
580	1	Morula	-0.03394556971886864
581	2	2-cell	0.02727640333091297
582	3	Zygote	0.44270221298511797
583	1	Morula	0.21089351563044376
584	1	Morula	0.2418808987635619
585	2	2-cell	0.10731811035867705
586	1	Morula	0.3689850837927363
587	1	Morula	0.22703804846455028
588	1	Morula	-0.22911544511012705
589	2	2-cell	0.20811152006441413
590	4	Zygote	0.22077852947901552
591	1	Morula	0.3850647305827368
592	1	Morula	0.09875907840754217
593	1	Morula	0.26420131699655447
594	1	Morula	0.25411142422383115
595	2	4-cell	0.35201089858137635
596	3	4-cell	0.32604431286375546
597	3	Oocyte	0.37321364246135136
598	1	Morula	-0.6027269051771236
599	3	4-cell	0.3372753146077705
