sample_id	stage	stage_order	tau	A	P	Hm	Hr	n_age_regions_used	n_observed_regions	observed_region_fraction
GSM2986333	zygote/PN	1	0.16666666666666666	0.222299347487219	0.2039076035675005	0.1954396258078139	0.9018183215118488	118	118	0.7564102564102564
GSM2986334	zygote/PN	1	0.16666666666666666	0.8576695536617593	0.2039076035675005	0.2952742880925828	0.9018183215118488	94	94	0.6025641025641025
GSM2986335	zygote/PN	1	0.16666666666666666	0.2175580023235335	0.2039076035675005	0.1390295290802385	0.9018183215118488	106	106	0.6794871794871795
GSM2986336	zygote/PN	1	0.16666666666666666	0.627267287664922	0.2039076035675005	0.2622707611167463	0.9018183215118488	84	84	0.5384615384615384
GSM2481532	2-cell	2	0.3333333333333333	0.2302930618472496	0.5757513330074346	0.2515888399444901	0.3464183265704423	80	80	0.5128205128205128
GSM2481533	2-cell	2	0.3333333333333333	0.4259533877793643	0.5757513330074346	0.0950894485996574	0.3464183265704423	46	46	0.2948717948717949
GSM2481534	2-cell	2	0.3333333333333333	0.6531050059253601	0.5757513330074346	0.2631949208538106	0.3464183265704423	94	94	0.6025641025641025
GSM2481535	2-cell	2	0.3333333333333333	0.2839467228537575	0.5757513330074346	0.281294464849146	0.3464183265704423	75	75	0.4807692307692308
GSM2986344	2-cell	2	0.3333333333333333	0.5267822952187665	0.5757513330074346	0.6261361748099998	0.3464183265704423	126	126	0.8076923076923077
GSM2986345	2-cell	2	0.3333333333333333	0.6820494960217952	0.5757513330074346	0.4647787720088332	0.3464183265704423	119	119	0.7628205128205128
GSM2986346	2-cell	2	0.3333333333333333	0.5888945071184205	0.5757513330074346	0.6468624786805637	0.3464183265704423	132	132	0.8461538461538461
GSM2986347	2-cell	2	0.3333333333333333	0.5857047177237847	0.5757513330074346	0.4030710255450775	0.3464183265704423	105	105	0.6730769230769231
GSM2986348	2-cell	2	0.3333333333333333	0.435406117143949	0.5757513330074346	0.710913634253359	0.3464183265704423	114	114	0.7307692307692307
GSM2986349	2-cell	2	0.3333333333333333	0.3689929953463934	0.5757513330074346	0.5354275165010678	0.3464183265704423	118	118	0.7564102564102564
GSM2986350	2-cell	2	0.3333333333333333	0.5664274299472005	0.5757513330074346	0.5661993597721663	0.3464183265704423	125	125	0.8012820512820513
GSM2986351	2-cell	2	0.3333333333333333	0.5606966254352108	0.5757513330074346	0.3894271551371918	0.3464183265704423	109	109	0.6987179487179487
GSM2986352	2-cell	2	0.3333333333333333	0.6140714083240866	0.5757513330074346	0.4488380051567777	0.3464183265704423	101	101	0.6474358974358975
GSM2986353	2-cell	2	0.3333333333333333	0.6927195406083502	0.5757513330074346	0.520461662251789	0.3464183265704423	119	119	0.7628205128205128
GSM2986354	2-cell	2	0.3333333333333333	0.6579791680318304	0.5757513330074346	0.851880107406533	0.3464183265704423	136	136	0.8717948717948718
GSM2986355	2-cell	2	0.3333333333333333	0.345997207186801	0.5757513330074346	0.2952644888723237	0.3464183265704423	84	84	0.5384615384615384
GSM2986356	2-cell	2	0.3333333333333333	0.443804450598513	0.5757513330074346	0.4014368258931446	0.3464183265704423	110	110	0.7051282051282052
GSM2986357	2-cell	2	0.3333333333333333	0.5196712587870028	0.5757513330074346	0.473152390648155	0.3464183265704423	108	108	0.6923076923076923
GSM2986358	2-cell	2	0.3333333333333333	0.4883771766906727	0.5757513330074346	0.6813930236126394	0.3464183265704423	129	129	0.8269230769230769
