feature_set	control_model	alpha	sign_status	branch	control_modality	biological_status	PC1_control	PC2_control	PC3_control	direction_cosine_to_measured_correction	PC3_negative_pull_recovered	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.5	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.061423702632563866	-0.08867359656786393	0.014456599795449068	0.10581227046088934	-0.007539259517064234	1.1928083923234738	0.9300097264756606	0.9610757672964831	0.8487798699346262	0.2452127100629164	0.6255435610851022	0.24573678698322773	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.1550638441643666	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.5	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.061423702632563866	0.08867359656786393	-0.014456599795449068	-0.10581227046088934	0.007539259517064234	1.2060878546083862	0.9402079466453688	1.0541901759011243	0.8487798699346262	0.24524436794672766	0.6244679093665348	0.24576883911773076	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.26666666666666666	0.875	0.875	2.177001568827836	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.55	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.06756607289582026	-0.09754095622465032	0.015902259774993977	0.10581227046088931	-0.008293185468770658	1.1924882385889826	0.9296997399512055	1.0381983185171095	0.8487798699346262	0.24521324617283885	0.6255941509181095	0.24573729692102908	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.1545268139752625	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.55	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.06756607289582026	0.09754095622465032	-0.015902259774993977	-0.10581227046088931	0.008293185468770658	1.2070914864388942	0.9409088124863672	1.0716260707349892	0.8487798699346262	0.24524807803143953	0.6244109319822788	0.24577255429283534	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.26666666666666666	0.875	0.875	2.1786530301174745	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.6	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.07370844315907664	-0.10640831588143672	0.017347919754538883	0.10581227046088931	-0.00904711142047708	1.1922011169920694	0.9294093924327933	1.1697216015697558	0.8487798699346262	0.2452139837502178	0.625644435942803	0.24573800804699883	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.154043456945812	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.6	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.07370844315907664	0.10640831588143672	-0.017347919754538883	-0.10581227046088931	0.00904711142047708	1.2081269660267488	0.9416270072398789	1.1187719919294374	0.8487798699346262	0.24525198967472966	0.624353659107605	0.24577647066418268	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.1803566588454526	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.65	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.07985081342233302	-0.11527567553822311	0.018793579734083788	0.1058122704608893	-0.009801037372183503	1.1919470514035269	0.9291387434751613	1.0490683245291108	0.8487798699346262	0.24521492322242694	0.6256944094706861	0.24573892035822356	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.153613800618455	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.65	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.07985081342233302	0.11527567553822311	-0.018793579734083788	-0.1058122704608893	0.009801037372183503	1.2091942115545693	0.9423623847962999	1.114777301811385	0.8487798699346262	0.2452561028669539	0.6242960911597456	0.24578058822215493	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.1821123470924095	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.7	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.0859931836855894	-0.1241430351950095	0.020239239713628693	0.1058122704608893	-0.010554963323889926	1.191726062965112	0.9288878485081775	0.9298530174694963	0.8487798699346262	0.2452160655141185	0.6257440610123094	0.24574003383700319	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.1532378689140335	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.7	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.0859931836855894	0.1241430351950095	-0.020239239713628693	-0.1058122704608893	0.010554963323889926	1.2102931389880287	0.9431163390283308	1.0918254786888952	0.8487798699346262	0.24526041759797193	0.6242382285568204	0.2457849069566409	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.1839199836872214	1.0224014859114376
