feature_set	module_id	control_value	control_value_z	control_modality	mark	stage	leakage_status	description	n_DMRs	latent_control_PC1	latent_control_PC2	latent_control_PC3	latent_control_norm	ridge_weight
motif_TF_x_H3K27me3_8cell_histone_only	M02	-0.0	0.0	histone_gated_TF	H3K27me3	8cell	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268
motif_TF_x_H3K27me3_8cell_histone_only	M05	0.0	0.0	histone_gated_TF	H3K27me3	8cell	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747
motif_TF_x_H3K27me3_8cell_histone_only	M12	0.0	0.0	histone_gated_TF	H3K27me3	8cell	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
motif_TF_x_H3K27me3_8cell_histone_only	M10	0.0	0.0	histone_gated_TF	H3K27me3	8cell	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564
motif_TF_x_H3K27me3_blastocyst_histone_only	M01	0.0	0.4472135954999579	histone_gated_TF	H3K27me3	blastocyst	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
motif_TF_x_H3K27me3_blastocyst_histone_only	M02	-1.4941293658486945	-1.7888543819998317	histone_gated_TF	H3K27me3	blastocyst	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268
motif_TF_x_H3K27me3_blastocyst_histone_only	M05	0.0	0.4472135954999579	histone_gated_TF	H3K27me3	blastocyst	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747
motif_TF_x_H3K27me3_blastocyst_histone_only	M12	0.0	0.4472135954999579	histone_gated_TF	H3K27me3	blastocyst	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
motif_TF_x_H3K27me3_blastocyst_histone_only	M10	0.0	0.4472135954999579	histone_gated_TF	H3K27me3	blastocyst	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564
motif_TF_x_H3K27me3_morula_histone_only	M01	0.0	0.44721359549995787	histone_gated_TF	H3K27me3	morula	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
motif_TF_x_H3K27me3_morula_histone_only	M02	-0.07258928093192038	-1.7888543819998315	histone_gated_TF	H3K27me3	morula	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268
motif_TF_x_H3K27me3_morula_histone_only	M05	0.0	0.44721359549995787	histone_gated_TF	H3K27me3	morula	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747
motif_TF_x_H3K27me3_morula_histone_only	M12	0.0	0.44721359549995787	histone_gated_TF	H3K27me3	morula	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
motif_TF_x_H3K27me3_morula_histone_only	M10	0.0	0.44721359549995787	histone_gated_TF	H3K27me3	morula	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564
motif_TF_x_H3K4me3_8cell_histone_only	M01	0.0	0.44721359549995787	histone_gated_TF	H3K4me3	8cell	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
motif_TF_x_H3K4me3_8cell_histone_only	M02	-1.5788168602692685	-1.7888543819998315	histone_gated_TF	H3K4me3	8cell	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268
motif_TF_x_H3K4me3_8cell_histone_only	M05	0.0	0.44721359549995787	histone_gated_TF	H3K4me3	8cell	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747
motif_TF_x_H3K4me3_8cell_histone_only	M12	0.0	0.44721359549995787	histone_gated_TF	H3K4me3	8cell	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
motif_TF_x_H3K4me3_8cell_histone_only	M10	0.0	0.44721359549995787	histone_gated_TF	H3K4me3	8cell	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564
motif_TF_x_H3K4me3_blastocyst_histone_only	M01	0.0	0.4472135954999579	histone_gated_TF	H3K4me3	blastocyst	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
motif_TF_x_H3K4me3_blastocyst_histone_only	M02	-0.7319419160635305	-1.7888543819998317	histone_gated_TF	H3K4me3	blastocyst	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268
motif_TF_x_H3K4me3_blastocyst_histone_only	M05	0.0	0.4472135954999579	histone_gated_TF	H3K4me3	blastocyst	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747
motif_TF_x_H3K4me3_blastocyst_histone_only	M12	0.0	0.4472135954999579	histone_gated_TF	H3K4me3	blastocyst	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
motif_TF_x_H3K4me3_blastocyst_histone_only	M10	0.0	0.4472135954999579	histone_gated_TF	H3K4me3	blastocyst	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564
