stage	tau	cluster_name	mean_beta
zygote/PN	0.16666666666666666	cluster_5661	0.5
zygote/PN	0.16666666666666666	cluster_5678	0.9944444444444446
zygote/PN	0.16666666666666666	cluster_5679	0.8125925925925925
zygote/PN	0.16666666666666666	cluster_5760	0.06896435311396948
zygote/PN	0.16666666666666666	cluster_5923	0.052314814814814814
zygote/PN	0.16666666666666666	cluster_5928	0.10555555555555556
zygote/PN	0.16666666666666666	cluster_5966	0.03333333333333333
zygote/PN	0.16666666666666666	cluster_5977	0.07768115942028984
zygote/PN	0.16666666666666666	cluster_6020	0.10555555555555556
zygote/PN	0.16666666666666666	cluster_6087	0.9833333333333333
zygote/PN	0.16666666666666666	cluster_6114	0.6978912005371439
zygote/PN	0.16666666666666666	cluster_6143	0.5
zygote/PN	0.16666666666666666	cluster_6163	0.3765873015873015
zygote/PN	0.16666666666666666	cluster_6171	0.26481481481481484
zygote/PN	0.16666666666666666	cluster_6262	0.9488888888888888
zygote/PN	0.16666666666666666	cluster_6275	0.11601010101010102
zygote/PN	0.16666666666666666	cluster_6400	0.20108251205263
zygote/PN	0.16666666666666666	cluster_6406	0.03333333333333333
zygote/PN	0.16666666666666666	cluster_6410	0.10963415344451341
zygote/PN	0.16666666666666666	cluster_6442	0.03333333333333333
zygote/PN	0.16666666666666666	cluster_6495	0.005555555555555555
zygote/PN	0.16666666666666666	cluster_6498	0.0
zygote/PN	0.16666666666666666	cluster_6518	0.11388888888888889
zygote/PN	0.16666666666666666	cluster_6532	0.10968117131910236
zygote/PN	0.16666666666666666	cluster_6604	0.777777777777778
zygote/PN	0.16666666666666666	cluster_6651	0.9474195011337869
zygote/PN	0.16666666666666666	cluster_6655	0.9286324786324787
zygote/PN	0.16666666666666666	cluster_6871	0.01843180973615756
zygote/PN	0.16666666666666666	cluster_6892	1.0
zygote/PN	0.16666666666666666	cluster_6960	0.8311111111111111
zygote/PN	0.16666666666666666	cluster_6975	1.0
zygote/PN	0.16666666666666666	cluster_7000	0.02222222222222222
zygote/PN	0.16666666666666666	cluster_7042	0.6333333333333333
zygote/PN	0.16666666666666666	cluster_7052	0.4708333333333333
zygote/PN	0.16666666666666666	cluster_7072	0.7843304843304844
zygote/PN	0.16666666666666666	cluster_7095	0.09185064935064934
zygote/PN	0.16666666666666666	cluster_7341	0.95
zygote/PN	0.16666666666666666	cluster_7425	0.6833333333333333
zygote/PN	0.16666666666666666	cluster_7504	0.10557040998217468
zygote/PN	0.16666666666666666	cluster_7612	0.1781555012870656
zygote/PN	0.16666666666666666	cluster_7683	0.1566422411523099
2-cell	0.3333333333333333	cluster_23	0.05129619816726705
2-cell	0.3333333333333333	cluster_67	0.0
