bootstrap	center_PC1	center_PC2	center_PC3
229	-2.7874071177077853	0.19586413598838504	-2.919053651025986
230	-2.9713560029773447	-0.22503449662229885	-2.643988238598513
231	-2.9261014156707095	-0.5629206282888007	-2.9327195061457054
232	-2.9124826287191374	-0.13346437721663382	-2.8754476494028745
233	-3.4453739140802577	0.14512949138271763	-2.659956553855466
234	-3.397664756688776	0.04649967927884883	-2.7817263390898472
235	-3.263003038454164	-0.41936108431257474	-2.8953439785039623
236	-3.159008799758603	-0.24950294538716036	-2.9554167252457106
237	-3.1297183291419737	0.07982166679983477	-3.051720396475697
238	-3.4575125855258633	0.015935298040405322	-2.564776777422287
239	-3.318784473752509	0.21568831776209774	-2.6805008981956875
240	-3.0862032327848037	-0.35506491732177237	-2.7946100621465537
241	-3.3368276342966037	-0.11406865714865744	-2.917287846869986
242	-3.1511385856493113	0.16253824744937537	-2.7017572632470106
243	-3.040018765189048	-0.6152320700934122	-2.915458836687009
244	-3.3616809939645425	0.3408313490976093	-2.8396569178183473
245	-3.05021947006057	-0.06073324750301188	-2.8525406408750538
246	-3.2746103054573172	-0.11723252921555105	-2.5696697657574297
247	-3.1536269695445878	0.48231367244223555	-2.7393287696667032
248	-3.3616809939645425	0.34083134909760926	-2.8396569178183473
249	-3.324859189714977	-0.05906229265576318	-2.62091967599069
250	-3.2840608129344577	0.7253994634959041	-3.1339812257092308
251	-2.949361744614631	-0.47876991299585125	-2.742624413250781
252	-3.232562587249945	0.03154272352766074	-2.6631988987141115
253	-3.1974917068574427	-0.6443662177064703	-2.9110749849600865
254	-3.2456905522506356	0.09348124785129817	-2.649407176168353
255	-2.879055408714125	-0.2130821705444902	-2.9990709622166345
256	-3.2838027419395273	-0.18277118934786574	-2.621631696701792
257	-3.3235795647549806	0.19677675880336357	-2.8434497293080923
258	-3.2461813742015164	-0.39791352754450626	-2.720470755456942
259	-3.3292835633075	0.040636983505648615	-2.800434767922158
260	-2.9965355057654715	-0.027470042558261826	-2.703163692597746
261	-3.0553197314441576	-0.39648959608809436	-2.778449569533255
262	-3.5136551984026827	0.29384978052516	-2.971976080739841
263	-3.2385927289226526	-0.3819326039522839	-2.756990320379049
264	-3.0623729804823805	-0.059800461346595946	-2.824239069192494
265	-3.2745084195216285	0.48924193125495513	-3.0746028876071163
266	-3.250447854660994	0.3485503390509813	-2.5458366831580634
267	-3.0845974647046193	0.15810968631958408	-2.880333732413084
268	-3.0913758268948697	-0.07988194418015143	-2.5211006644472658
269	-3.232518012960185	-0.10718199353442298	-2.8165715425840467
270	-3.177384889120532	-0.4238901052596442	-2.9091180889782517
271	-3.1205812274288527	-0.13622198349917633	-2.8224031536845837
272	-3.2365716691427595	0.1111281177471348	-3.012652895334578
273	-3.0998092823802077	0.09940272620073437	-3.0500697529992005
274	-3.2233363369573036	-0.461950360895518	-2.7406269436628676
275	-3.361680993964542	0.34083134909760926	-2.8396569178183473
276	-3.035583631117195	-0.29462431876141426	-2.759926412732357
277	-3.1734096210381475	0.05555624507637515	-2.430274116464666
278	-3.163810676458721	0.14429086287460652	-2.6984735883654856
279	-3.168235050051244	0.24399013903601827	-2.877988680296954
280	-3.0675010003026864	0.07665779473294115	-2.7041023153631407
281	-2.978224186175384	0.05571548746988941	-3.0144474808196087
282	-3.3110275784865033	-0.157759796897526	-2.93436324429727
283	-2.8249453055413007	-0.25140713693479083	-2.6399512129830067
284	-2.9063971522773393	0.5615932606946368	-2.959011539584688
285	-3.162128497155183	-0.5039078622028781	-2.8927547122620707
286	-2.9328838563578348	-0.2504782517963986	-2.6643473109073215
287	-3.135793045104441	-0.19492894361802612	-2.9921391742707
288	-3.053061573408406	-0.7520902897883269	-2.8956089009864208
289	-3.3779394168411434	-0.2719420708878807	-2.739220514312133
290	-3.1924082613268974	-0.6420997567239237	-2.8778390949195045
291	-3.0219648441656233	0.1348319323107527	-2.702654555989526
292	-3.080128516822336	-0.08031430690391142	-2.8541912843515513
293	-2.955053005810983	0.24901420630110738	-2.897797285974663
294	-2.9938958698404416	0.1558471263550612	-2.860871952846791
295	-3.2776281169182093	0.23483701443923732	-3.011940874623476
296	-3.273619035025394	0.1552516202197633	-2.662486878003009
297	-3.452697971469578	0.506065384373312	-3.019907748412328
298	-3.1393280342007306	-0.42921997849180615	-2.7595382565980615
299	-3.0937918780636675	-0.3710458409139946	-2.7580904972244467
300	-3.3130378777870666	-0.23051349110353506	-2.7026833373185566
301	-3.4847481825521696	-0.3793603370026646	-2.8535256570409486
302	-3.100900461870981	-0.3159390166038221	-2.6265246850369346
303	-3.2249186072019906	0.32910595755120886	-2.87707377548297
304	-3.1033888457662573	0.003836408389038093	-2.664096191456627
305	-3.0766826763055675	0.4314261620940361	-2.7800469142843194
306	-3.247863553505054	0.2502851975329785	-2.5261896315603574
307	-3.042551723374085	-0.1567319280384681	-2.799657699236766
308	-3.0015911928592987	-0.5019511082054281	-2.782445265125882
309	-3.483210755400276	0.6661008982597801	-3.0526345018446905
310	-3.147242822599782	-0.7025364542662581	-2.8598250747268263
311	-3.2219190143463425	0.2107269340912683	-3.0273656285742625
312	-3.1059731469221967	0.10210154990704096	-2.683743243054333
313	-2.836433688651377	-0.23532575352529028	-2.841273136596898
314	-3.0577635410496735	-0.21543888815731788	-2.9693937198228824
315	-3.175301036445634	-0.30324462081715703	-2.7255903458463773
316	-2.9003459341503692	-0.46788705097558564	-2.7964222597030535
317	-2.9475089348218795	0.40371984695541346	-2.7809442070268346
318	-3.0998538566699683	0.23812744326281812	-2.896697109129265
319	-2.97639487421813	-0.3660256746669292	-2.8305967725090304
320	-3.01179189773082	0.05254771438497213	-2.7195270693139273
321	-3.0228156230471224	-0.05486665071178806	-2.781134542435868
322	-2.777865484774286	-0.4606004237459736	-2.835692644947055
323	-3.1943612489815325	0.03034572660265722	-2.9977196659205423
324	-3.1362529110939104	-0.036090344614004635	-2.6688276257117662
325	-3.040756225227261	-0.019441345619793354	-2.4864170150330684
326	-3.1151548229250774	0.45686991726813575	-2.759687841975511
327	-3.081107049898091	0.5311254382554479	-2.959562006215788
328	-3.4180937427641913	0.4017004093637037	-2.52458031810674
329	-3.1161568538363293	-0.23592125966058813	-2.6428880617531156
330	-3.0914649754743913	0.19756748994401607	-2.2143553767073954
331	-3.2093914068855445	0.2248414423588788	-2.546548703869165
332	-2.973799812582861	-0.04398378869152238	-2.8349323888881406
333	-3.2538491208880016	-0.30191484700904997	-2.77335369709523
334	-3.115110248635317	0.3181452002060521	-2.9130604858454463
335	-3.3018459024836226	-0.5125281642586209	-2.858418645376091
