cluster_name	observed_beta	baseline_predicted_beta	baseline_abs_error	baseline_sq_error	DMR_module_ridge_k16_predicted_beta	DMR_module_ridge_k16_abs_error	DMR_module_ridge_k16_sq_error	DMR_module_ridge_k16_abs_error_improvement_vs_baseline	DMR_module_ridge_k16_sq_error_improvement_vs_baseline	latent_PCA_ridge_q3_predicted_beta	latent_PCA_ridge_q3_abs_error	latent_PCA_ridge_q3_sq_error	latent_PCA_ridge_q3_abs_error_improvement_vs_baseline	latent_PCA_ridge_q3_sq_error_improvement_vs_baseline
cluster_1921	0.0	0.0	0.0	0.0	0.015632683890182443	0.015632683890182443	0.0002443808056103697	-0.015632683890182443	-0.0002443808056103697	0.16084907614331642	0.16084907614331642	0.025872425296158404	-0.16084907614331642	-0.025872425296158404
cluster_1922	0.5	0.10197956577266921	0.3980204342273308	0.15842026606251297	0.0844901593983599	0.4155098406016401	0.17264842763680036	-0.01748940637430929	-0.014228161574287385	0.1223758016134527	0.3776241983865473	0.14260003520708245	0.020396235840783483	0.015820230855430523
cluster_1976	1.0	0.9277777777777778	0.07222222222222219	0.005216049382716044	0.7058318531191227	0.29416814688087733	0.08653489863932942	-0.22194592465865515	-0.08131884925661338	0.6026117447023769	0.3973882552976231	0.15791742544848889	-0.32516603307540093	-0.15270137606577283
cluster_2004	0.0	0.0034211134211134197	0.0034211134211134197	1.1704017040122367e-05	0.029507970430761303	0.029507970430761303	0.0008707203189426834	-0.026086857009647885	-0.0008590163019025611	0.03510416273398332	0.03510416273398332	0.0012323022412539832	-0.0316830493128699	-0.0012205982242138608
cluster_2126	0.0	0.003703703703703702	0.003703703703703702	1.371742112482852e-05	0.01783733444560439	0.01783733444560439	0.0003181705001243449	-0.014133630741900688	-0.00030445307899951634	0.010513937857276475	0.010513937857276475	0.00011054288926667144	-0.006810234153572773	-9.682546814184291e-05
cluster_2190	0.0	0.35555555555555557	0.35555555555555557	0.12641975308641976	0.39846407783641635	0.39846407783641635	0.15877362132602568	-0.042908522280860784	-0.032353868239605926	0.17408442419191975	0.17408442419191975	0.030305386746232253	0.18147113136363582	0.0961143663401875
cluster_2324	0.0	0.08692372986490632	0.08692372986490632	0.007555734813627207	0.1440341662971518	0.1440341662971518	0.02074584106091558	-0.057110436432245476	-0.013190106247288372	0.05331027845713959	0.05331027845713959	0.0028419857891777618	0.033613451407766726	0.004713749024449446
cluster_2355	0.05625	0.025448530797368	0.030801469202632003	0.0009487305050406877	0.051297046372983324	0.004952953627016678	2.4531749631377663e-05	0.025848515575615325	0.0009241987554093101	0.04940495871116321	0.006845041288836791	4.6854590245880434e-05	0.023956427913795212	0.0009018759147948073
cluster_2365	0.046875	0.3740033816558312	0.3271283816558312	0.10701297808476315	0.3698280799633918	0.3229530799633918	0.10429869185784094	0.004175301692439404	0.0027142862269222134	0.2188664831642095	0.1719914831642095	0.029581070281024562	0.15513689849162168	0.07743190780373858
cluster_2623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16832686394427637	0.16832686394427637	0.02833393312531493	-0.16832686394427637	-0.02833393312531493
cluster_2637	0.0	0.07381630714964049	0.07381630714964049	0.005448847201210066	0.06697676824379842	0.06697676824379842	0.004485887484383484	0.006839538905842074	0.0009629597168265818	0.08932879344748869	0.08932879344748869	0.007979633338784098	-0.015512486297848196	-0.002530786137574032
cluster_2727	0.0	0.0011111111111111111	0.0011111111111111111	1.234567901234568e-06	0.0152447418530118	0.0152447418530118	0.00023240215416496962	-0.014133630741900688	-0.00023116758626373505	0.01388018803532439	0.01388018803532439	0.00019265961989596233	-0.012769076924213278	-0.00019142505199472776
cluster_2743	0.0	0.05555555555555555	0.05555555555555555	0.0030864197530864196	0.06468585165292606	0.06468585165292606	0.0041842594040643576	-0.00913029609737051	-0.001097839650977938	0.14833619378590893	0.14833619378590893	0.022003626386890726	-0.09278063823035337	-0.018917206633804307
cluster_2776	0.125	0.025054250140062493	0.09994574985993751	0.009989152915065198	0.08264856855829791	0.042351431441702087	0.001793643745161192	0.057594318418235424	0.008195509169904006	0.020856692092559092	0.1041433079074409	0.010845828581904044	-0.004197558047503394	-0.0008566756668388457
cluster_2832	0.0	0.00909884292834549	0.00909884292834549	8.278894263470274e-05	0.023232473670246175	0.023232473670246175	0.0005397478328386817	-0.014133630741900684	-0.000456958890203979	0.022798133875064654	0.022798133875064654	0.0005197549081853705	-0.013699290946719164	-0.0004369659655506678
cluster_2910	0.025	0.10579812330119688	0.08079812330119687	0.006528336728995413	0.09170666304211975	0.06670666304211975	0.004449778894214905	0.014091460259077121	0.0020785578347805077	0.10212308717252003	0.07712308717252003	0.005947970575020124	0.0036750361286768396	0.0005803661539752888
cluster_3123	0.4739130434782608	0.6639058456800906	0.1899928022018298	0.03609726488850362	0.4543098638726863	0.019603179605574506	0.00038428465064841225	0.17038962259625529	0.03571298023785521	0.5203038700032827	0.04639082652502191	0.0021521087856746766	0.14360197567680788	0.033945156102828944
cluster_3133	0.08333333333333333	0.02264374729656059	0.06068958603677274	0.0036832258533148407	0.0800796358505905	0.0032536974827428317	1.058654730920704e-05	0.05743588855402991	0.0036726393060056337	0.01890313259107661	0.06443020074225672	0.004151250767687498	-0.00374061470548398	-0.0004680249143726575
cluster_3227	0.0	0.13499118165784835	0.13499118165784835	0.01822261912538221	0.12136996750470047	0.12136996750470047	0.014730669012092048	0.013621214153147876	0.0034919501132901626	0.1060571406006502	0.1060571406006502	0.011248117072386085	0.028934041057198143	0.006974502052996125
cluster_3275	0.0	0.06666666666666667	0.06666666666666667	0.0044444444444444444	0.030469123927281735	0.030469123927281735	0.0009283675128960523	0.03619754273938493	0.003516076931548392	0.18790308480220025	0.18790308480220025	0.035307569278182856	-0.12123641813553358	-0.03086312483373841
cluster_3303	0.02658371040723981	0.005764608222635006	0.020819102184604806	0.0004334350157730166	0.019898238964535693	0.006685471442704118	4.4695528411212286e-05	0.014133630741900688	0.0003887394873618043	0.014561253709171613	0.012022456698068198	0.00014453946505692486	0.008796645486536608	0.0002888955507160917
cluster_3336	0.0	0.008333333333333333	0.008333333333333333	6.944444444444444e-05	0.02246696407523402	0.02246696407523402	0.0005047644747578561	-0.014133630741900686	-0.0004353200303134116	0.008101555772849748	0.008101555772849748	6.563520594059507e-05	0.0002317775604835856	3.809238503849378e-06
