feature_set	control_model	validation_status	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	PC1_control	PC2_control	PC3_control	direction_cosine_to_measured_correction	PC3_negative_pull_recovered
motif_TF_x_H3K27ac_8cell_histone_only	motif_TF_x_H3K27ac_8cell_histone_only_sign_flip	sign_flip_control	1.4036966865340326	1.04456629152059	1.155660123721853	0.8487798699346262	0.24710463260175614	0.6157402047518348	0.24762546957581724	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.5077219158831423	1.0224014859114376	0.2974302457711897	0.5357902139873271	0.18035519344635398	-0.45224070834758373	-0.0940570139508484
motif_TF_x_H3K27ac_blastocyst_histone_only	motif_TF_x_H3K27ac_blastocyst_histone_only	feature_defined	1.0822298302187543	0.8366324320013621	0.952679934355254	0.8487798699346262	0.24420469066890096	0.6321643395428211	0.24472327354822482	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.4666666666666667	0.875	0.875	1.9676035634648883	1.0224014859114376	-0.2974302457711896	-0.535790213987327	-0.18035519344635395	0.45224070834758373	0.09405701395084838
motif_TF_x_H3K27ac_blastocyst_histone_only	motif_TF_x_H3K27ac_blastocyst_histone_only_sign_flip	sign_flip_control	1.4036966865340323	1.0445662915205898	1.2398352422580468	0.8487798699346262	0.24710463260175616	0.6157402047518348	0.24762546957581724	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.5077219158831423	1.0224014859114376	0.2974302457711896	0.535790213987327	0.18035519344635395	-0.45224070834758373	-0.09405701395084838
motif_TF_x_H3K27me3_8cell_histone_only	motif_TF_x_H3K27me3_8cell_histone_only	feature_defined	1.1978195174977648	0.9341820819670775	1.1110432436893174	0.8487798699346262	0.2452184386000582	0.6250208986295589	0.2457427533106557	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.163377528533326	1.0224014859114376	0.0	0.0	0.0		-0.0
motif_TF_x_H3K27me3_8cell_histone_only	motif_TF_x_H3K27me3_8cell_histone_only_sign_flip	sign_flip_control	1.1978195174977648	0.9341820819670775	1.0383920075780333	0.8487798699346262	0.2452184386000582	0.6250208986295589	0.2457427533106557	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.163377528533326	1.0224014859114376	-0.0	-0.0	-0.0		0.0
motif_TF_x_H3K27me3_blastocyst_histone_only	motif_TF_x_H3K27me3_blastocyst_histone_only	feature_defined	1.0822298302187543	0.8366324320013621	0.8638517768860585	0.8487798699346262	0.24420469066890096	0.6321643395428211	0.24472327354822482	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.4666666666666667	0.875	0.875	1.9676035634648883	1.0224014859114376	-0.2974302457711896	-0.535790213987327	-0.18035519344635395	0.45224070834758373	0.09405701395084838
motif_TF_x_H3K27me3_blastocyst_histone_only	motif_TF_x_H3K27me3_blastocyst_histone_only_sign_flip	sign_flip_control	1.4036966865340323	1.0445662915205898	1.2711862509321619	0.8487798699346262	0.24710463260175616	0.6157402047518348	0.24762546957581724	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.5077219158831423	1.0224014859114376	0.2974302457711896	0.535790213987327	0.18035519344635395	-0.45224070834758373	-0.09405701395084838
motif_TF_x_H3K27me3_morula_histone_only	motif_TF_x_H3K27me3_morula_histone_only	feature_defined	1.0822298302187543	0.8366324320013621	0.9295112233757674	0.8487798699346262	0.24420469066890096	0.6321643395428211	0.24472327354822482	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.4666666666666667	0.875	0.875	1.9676035634648883	1.0224014859114376	-0.2974302457711896	-0.535790213987327	-0.18035519344635395	0.45224070834758373	0.09405701395084838
motif_TF_x_H3K27me3_morula_histone_only	motif_TF_x_H3K27me3_morula_histone_only_sign_flip	sign_flip_control	1.4036966865340323	1.0445662915205898	1.1923818139127509	0.8487798699346262	0.24710463260175616	0.6157402047518348	0.24762546957581724	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.5077219158831423	1.0224014859114376	0.2974302457711896	0.535790213987327	0.18035519344635395	-0.45224070834758373	-0.09405701395084838
motif_TF_x_H3K4me3_8cell_histone_only	motif_TF_x_H3K4me3_8cell_histone_only	feature_defined	1.0822298302187543	0.8366324320013621	0.9325933158711013	0.8487798699346262	0.24420469066890096	0.6321643395428211	0.24472327354822482	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.4666666666666667	0.875	0.875	1.9676035634648883	1.0224014859114376	-0.2974302457711896	-0.535790213987327	-0.18035519344635395	0.45224070834758373	0.09405701395084838
motif_TF_x_H3K4me3_8cell_histone_only	motif_TF_x_H3K4me3_8cell_histone_only_sign_flip	sign_flip_control	1.4036966865340323	1.0445662915205898	1.2327407951723917	0.8487798699346262	0.24710463260175616	0.6157402047518348	0.24762546957581724	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.5077219158831423	1.0224014859114376	0.2974302457711896	0.535790213987327	0.18035519344635395	-0.45224070834758373	-0.09405701395084838
motif_TF_x_H3K4me3_blastocyst_histone_only	motif_TF_x_H3K4me3_blastocyst_histone_only	feature_defined	1.0822298302187543	0.8366324320013621	0.8684070123885114	0.8487798699346262	0.24420469066890096	0.6321643395428211	0.24472327354822482	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.4666666666666667	0.875	0.875	1.9676035634648883	1.0224014859114376	-0.2974302457711896	-0.535790213987327	-0.18035519344635395	0.45224070834758373	0.09405701395084838
motif_TF_x_H3K4me3_blastocyst_histone_only	motif_TF_x_H3K4me3_blastocyst_histone_only_sign_flip	sign_flip_control	1.4036966865340323	1.0445662915205898	1.1309617423429081	0.8487798699346262	0.24710463260175616	0.6157402047518348	0.24762546957581724	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.5077219158831423	1.0224014859114376	0.2974302457711896	0.535790213987327	0.18035519344635395	-0.45224070834758373	-0.09405701395084838
