module_id	TF	motif_database	motif_id	log_odds_ratio	pvalue	motif_hit_count	foreground_nonhit_count	background_hit_count	background_nonhit_count	threshold	n_matched_background_sets	qvalue	motif_score_signed_logq	motif_score_mode	delta_8cell_to_morula	delta_8cell_to_morula_zscore	tf_activity
M05	SOX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0143.5	-0.0501857571682166	0.9999999999999992	0	6	4	56	12.67990096120622	10	1.0	-0.0501857571682166	log_odds_ratio_fallback	1.6536938592658084	1.7994918993514133	-0.09030886348702288
M10	SOX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0143.5	0.1666498694094515	1.0000000000000149	0	3	3	27	10.798786680802989	10	1.0	0.1666498694094515	log_odds_ratio_fallback	1.6536938592658084	1.7994918993514133	0.29988509003027886
M05	ZSCAN4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1155.1	3.190138222331821	0.0614983135144422	2	4	3	57	0.6776730196123821	10	0.9713651102262472	0.01261749969800142	signed_logq	-2.2595489550665873	-2.334943197502581	-0.029461145089339284
M02	ZSCAN4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1155.1	0.6921887056985881	0.4699996755740083	2	28	15	285	3.413838510876729	10	1.0	0.6921887056985881	log_odds_ratio_fallback	-2.2595489550665873	-2.334943197502581	-1.6162213097590343
M12	ZSCAN4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1155.1	0.7749334443652268	0.9999999999999792	0	4	2	38	3.133817560440688	10	1.0	0.7749334443652268	log_odds_ratio_fallback	-2.2595489550665873	-2.334943197502581	-1.8094255744378311
M01	ZSCAN4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1155.1	-1.309581774536765	0.9999999999999892	0	21	11	199	3.928961184173936	10	1.0	-1.309581774536765	log_odds_ratio_fallback	-2.2595489550665873	-2.334943197502581	3.0577990560279784
M10	ZSCAN4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1155.1	0.7036069972197753	1.0000000000000149	0	3	2	28	-5.8547329806786665	10	1.0	0.7036069972197753	log_odds_ratio_fallback	-2.2595489550665873	-2.334943197502581	-1.6428823718735317
M02	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0815.1	1.6451551718550808	0.0817991671769471	4	26	15	285	6.9876626016991965	10	0.9713651102262472	0.01261749969800142	signed_logq	0.2972623276657158	0.3663893813612063	0.004622917908675948
M01	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0815.1	1.7145845365939874	0.1224553953004086	3	18	11	199	7.838628080477621	10	1.0	1.7145845365939874	log_odds_ratio_fallback	0.2972623276657158	0.3663893813612063	0.6282055676541616
M12	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0524.3	2.722466024471091	0.2540018121413407	1	3	2	38	5.511082571171037	10	1.0	2.722466024471091	log_odds_ratio_fallback	0.2972623276657158	0.3663893813612063	0.9974826424828659
M12	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0814.3	2.722466024471091	0.2540018121413407	1	3	2	38	6.059700912607813	10	1.0	2.722466024471091	log_odds_ratio_fallback	0.2972623276657158	0.3663893813612063	0.9974826424828659
M01	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0524.3	1.153208856190447	0.3347175466166598	2	19	11	199	10.525024203695065	10	1.0	1.153208856190447	log_odds_ratio_fallback	0.2972623276657158	0.3663893813612063	0.4225234793998822
M02	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0814.3	0.8003001645236534	0.3488200541785665	3	27	20	280	11.140467198079682	10	1.0	0.8003001645236534	log_odds_ratio_fallback	0.2972623276657158	0.3663893813612063	0.29322148218309296
M02	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0524.3	0.6921887056985881	0.4699996755740083	2	28	15	285	9.45421300775496	10	1.0	0.6921887056985881	log_odds_ratio_fallback	0.2972623276657158	0.3663893813612063	0.2536105916661198
M01	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0814.3	0.3440934762684055	0.6906648465160483	1	20	11	199	11.73169525520713	10	1.0	0.3440934762684055	log_odds_ratio_fallback	0.2972623276657158	0.3663893813612063	0.126072195900408
M12	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0815.1	0.7749334443652268	0.9999999999999792	0	4	2	38	-1.1383116521926735	10	1.0	0.7749334443652268	log_odds_ratio_fallback	0.2972623276657158	0.3663893813612063	0.2839273852770842
M05	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0815.1	0.3376954107456789	1.000000000000008	0	6	3	57	4.468706881897874	10	1.0	0.3376954107456789	log_odds_ratio_fallback	0.2972623276657158	0.3663893813612063	0.12372801263162775
