model	PC1_control	PC2_control	PC3_control	control_norm	direction_cosine_to_measured_correction	PC1_recovery	PC3_recovery	PC1_negative_pull_recovered	PC3_negative_pull_recovered	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	beta_closure	beta_access	source_feature_set
dual_branch_beta_grid	-0.0635836761332422	0.07835313201000325	-0.1798918322650832	0.206259953655776	0.917481895059111	0.08034242461232956	0.09381536652025178	0.08034242461232956	0.09381536652025178	1.0895920336730684	0.8632600413380601	0.9852085998601166	0.8487798699346262	0.24414499949884605	0.6290564574215278	0.2446705466821214	1.5666635350021403	1.9104332695957345	0.08888888888888889	0.4666666666666667	0.875	0.875	1.985932718521615	1.0224014859114376	0.0	0.5	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.06994204374656643	0.08618844521100359	-0.19788101549159154	0.22688594902135362	0.917481895059111	0.08837666707356252	0.10319690317227696	0.08837666707356252	0.10319690317227696	1.0788950997923812	0.8557584366287149	0.9538932817718224	0.8487798699346262	0.24404227526706165	0.6294422763654237	0.24456791856592405	1.5666635350021403	1.9104332695957345	0.08888888888888889	0.4666666666666667	0.875	0.875	1.9684968343289881	1.0224014859114376	0.0	0.55	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.07630041135989064	0.0940237584120039	-0.21587019871809984	0.2475119443869312	0.917481895059111	0.09641090953479546	0.11257843982430214	0.09641090953479546	0.11257843982430214	1.0682238033256077	0.8481689615620092	0.9229926718952204	0.8487798699346262	0.24394041985935727	0.6298246920656216	0.24446612850942123	1.5666635350021403	1.9104332695957345	0.13333333333333333	0.4888888888888889	0.875	0.875	1.951122708710315	1.0224014859114376	0.0	0.6	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.08265877897321486	0.10185907161300424	-0.23385938194460817	0.2681379397525088	0.917481895059111	0.10444515199602841	0.12195997647632732	0.10444515199602841	0.12195997647632732	1.0575789203411978	0.8406732987408437	0.812384076619515	0.8487798699346262	0.2438394267351701	0.6302037343083505	0.2443651768160425	1.5666635350021403	1.9104332695957345	0.15555555555555556	0.4888888888888889	0.875	0.875	1.9338118821297328	1.0224014859114376	0.0	0.65	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.08901714658653907	0.10969438481400455	-0.2518485651711165	0.2887639351180864	0.9174818950591109	0.11247939445726136	0.1313415131283525	0.11247939445726136	0.1313415131283525	1.0469612565094732	0.8331542684625948	0.9026655927597484	0.8487798699346262	0.243739279327352	0.6305794902025595	0.2442650636674878	1.5666635350021403	1.9104332695957345	0.17777777777777778	0.5111111111111111	0.875	0.875	1.916565937275939	1.0224014859114376	0.0	0.7	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.0953755141998633	0.11752969801500487	-0.2698377483976248	0.309389930483664	0.9174818950591112	0.12051363691849433	0.14072304978037767	0.12051363691849433	0.14072304978037767	1.036371648414289	0.8256941214260098	0.9103334000379391	0.8487798699346262	0.24364000549076903	0.6309518318278499	0.2441657898752798	1.5666635350021403	1.9104332695957345	0.17777777777777778	0.5111111111111111	0.875	0.875	1.8993865001145542	1.0224014859114376	0.0	0.75	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.10173388181318753	0.1253650112160052	-0.28782693162413314	0.3300159258492416	0.917481895059111	0.12854787937972728	0.15010458643240285	0.12854787937972728	0.15010458643240285	1.025810964927369	0.8179000859015513	0.8544583540956645	0.8487798699346262	0.24354158544312066	0.631320848881736	0.24406735592802717	1.5666635350021403	1.9104332695957345	0.17777777777777778	0.5111111111111111	0.875	0.875	1.8822752409509902	1.0224014859114376	0.0	0.8	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.10809224942651174	0.13320032441700552	-0.3058161148506414	0.3506419212148192	0.9174818950591109	0.13658212184096025	0.15948612308442803	0.13658212184096025	0.15948612308442803	1.0152801086482013	0.8100517195423199	0.9319484515565852	0.8487798699346262	0.24344400188405135	0.6316866196922901	0.2439697628031164	1.5666635350021403	1.9104332695957345	0.2	0.5111111111111111	0.875	0.875	1.8652338755024693	1.0224014859114376	0.0	0.85	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.11445061703983596	0.14103563761800586	-0.3238052980771498	0.3712679165803968	0.9174818950591112	0.14461636430219318	0.16886765973645324	0.14461636430219318	0.16886765973645324	1.0047800174124681	0.8023440655580829	0.9074863302333249	0.8487798699346262	0.2433472558198703	0.6320491356858	0.24387301150998858	1.5666635350021403	1.9104332695957345	0.24444444444444444	0.5555555555555556	0.875	0.875	1.848264165977726	1.0224014859114376	0.0	0.9	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.12080898465316017	0.14887095081900617	-0.3417944813036581	0.3918939119459744	0.9174818950591109	0.15265060676342615	0.1782491963884784	0.15265060676342615	0.1782491963884784	0.9943116658720803	0.7944058001157095	0.7804317654077003	0.8487798699346262	0.24325137316505435	0.6324082428161957	0.243777102642297	1.5666635350021403	1.9104332695957345	0.24444444444444444	0.6	0.875	0.875	1.8313679221626953	1.0224014859114376	0.0	0.95	ATAC_8cell_3pn_chromatin_only_inverse
