"RelativePath","Bytes","MB","LastWriteTime"
"root_artifacts\GSE207222_A485_access_branch_consistency_report.md","1665","0.002","2026-05-31T16:36:34"
"root_artifacts\GSE207222_A485_access_branch_consistency_summary.json","2086","0.002","2026-05-31T16:36:34"
"root_artifacts\GSE207222_A485_access_branch_model_projection.tsv","1630","0.002","2026-05-31T16:36:33"
"root_artifacts\GSE207222_A485_DMSO_ATAC_peak_stats.tsv","463","0","2026-05-31T16:36:33"
"root_artifacts\GSE207222_A485_DMSO_ATAC_perturbation_overlap.tsv","665","0.001","2026-05-31T16:36:33"
"root_artifacts\GSE228726_geo.html","27614","0.026","2026-05-31T20:21:10"
"root_artifacts\GSE247630_geo.html","29057","0.028","2026-05-31T20:51:39"
"root_artifacts\GSE247631_AKG_A485_all_gene_effects_with_CSB.tsv","1717644","1.638","2026-05-31T21:08:13"
"root_artifacts\GSE247631_AKG_A485_CSB_gene_effects.tsv","7147","0.007","2026-05-31T21:08:13"
"root_artifacts\GSE247631_AKG_A485_CSB_gene_null_summary.tsv","1181","0.001","2026-05-31T21:08:13"
"root_artifacts\GSE247631_AKG_A485_CSB_gene_perturbation_figure.pdf","21178","0.02","2026-05-31T21:08:14"
"root_artifacts\GSE247631_AKG_A485_CSB_gene_perturbation_figure.png","170655","0.163","2026-05-31T21:08:14"
"root_artifacts\GSE247631_AKG_A485_CSB_gene_perturbation_summary.json","5455","0.005","2026-05-31T21:08:13"
"root_artifacts\GSE247631_AKG_A485_CSB_gene_random_null.tsv","11634051","11.095","2026-05-31T21:08:13"
"root_artifacts\GSE247631_geo.html","30478","0.029","2026-05-31T20:51:39"
"root_artifacts\GSE247634_geo.html","33911","0.032","2026-05-31T20:51:39"
"root_artifacts\GSE270907_geo.html","26905","0.026","2026-05-31T20:21:10"
"root_artifacts\GSE284811_geo.html","23442","0.022","2026-05-31T20:21:10"
"root_artifacts\GSE84236_filelist.txt","13498","0.013","2026-05-31T15:29:47"
"root_artifacts\human_embryo_dex_csb_gene_perturbation.py","11406","0.011","2026-05-31T20:47:36"
"root_artifacts\README_5_31_causality_upgrade.md","745","0.001","2026-05-31T15:39:40"
"root_artifacts_manifest.csv","7734","0.007","2026-06-06T14:40:50"
