particle_id	stage	A	Hm	P	Hr	to_stage	vA	vHm	vP	vHr	transition_order
4-cell:0183	4-cell	0.3321319745867889	0.5184875941067217	0.4372693871686492	0.6595697137202162	8-cell	0.13465258122069312	-0.2026742378818941	0.34100180942990804	-0.024729236818285982	3
4-cell:0184	4-cell	0.5369076229189185	0.4306591642661793	0.2600601399062655	0.6713164220285748	8-cell	0.031046502394359465	-0.1358425817213454	0.5038667054251005	-0.03799828046933551	3
4-cell:0185	4-cell	0.5369076229189185	0.4306591642661793	0.2399644296039197	0.6707278271659768	8-cell	0.03123647538359342	-0.13554743883528203	0.5223091445391647	-0.03752428867203195	3
4-cell:0186	4-cell	0.5369076229189185	0.4306591642661793	0.2094708192045694	0.6730288496928858	8-cell	0.03150496804812053	-0.13508262909211705	0.5503069789115163	-0.03997460707868716	3
4-cell:0187	4-cell	0.5369076229189185	0.4306591642661793	0.2665804641325979	0.6637976038592841	8-cell	0.031022308148577094	-0.13593976270165248	0.4978375489836961	-0.03047684634126957	3
4-cell:0188	4-cell	0.5369076229189185	0.4306591642661793	0.4966502763607448	0.6629341362284924	8-cell	0.02878369361782951	-0.13862237588994203	0.28584963309825834	-0.02796676157678013	3
4-cell:0189	4-cell	0.5369076229189185	0.4306591642661793	0.3670670592033799	0.6700234428261309	8-cell	0.030023620669983875	-0.1372636224859785	0.4055223960158767	-0.03602576418783743	3
4-cell:0190	4-cell	0.5369076229189185	0.4306591642661793	0.4771983786167798	0.6715590927510321	8-cell	0.02892360044381559	-0.13843737926374267	0.3039283951257194	-0.036703719269467916	3
4-cell:0191	4-cell	0.5369076229189185	0.4306591642661793	0.4372693871686492	0.6595697137202162	8-cell	0.02939117695128801	-0.1380558571273256	0.34073418326486354	-0.0251047265578086	3
4-cell:0192	4-cell	0.4926117520074385	0.5046344236056396	0.2600601399062655	0.6713164220285748	8-cell	0.03930936058819884	-0.1673312855198763	0.5031998474226977	-0.03779775159824794	3
4-cell:0193	4-cell	0.4926117520074385	0.5046344236056396	0.2399644296039197	0.6707278271659768	8-cell	0.0393969391203956	-0.1669939227868809	0.5216192919299508	-0.03733065028784033	3
4-cell:0194	4-cell	0.4926117520074385	0.5046344236056396	0.2094708192045694	0.6730288496928858	8-cell	0.03952999955147968	-0.1664805580526305	0.5495843118180888	-0.0397917304880665	3
