sample_id	stage	A	P	Hm	Hr	to_stage	vA	vP	vHm	vHr
GSM2986366	4-cell	0.5369076229189185	0.16138034896359035	0.4306591642661793	0.5851144881755997	8-cell	0.021916581663018686	0.8386196510364101	-0.14838332162533846	-0.34843738821565273
GSM2986367	4-cell	0.49261175200743856	0.16138034896359035	0.5046344236056396	0.5851144881755997	8-cell	0.034198988452442736	0.8386196510364099	-0.18342794243364158	-0.34843738821565273
GSM2481618	8-cell	0.2339061941025194	1.0	0.06155121754755327	0.23667709995994704	morula	-0.10733111469158205	-0.10259860069131443	-0.02427752243006779	-0.23667709995994704
GSM2481619	8-cell	0.30381236867057904	1.0	0.09139479535351046	0.23667709995994704	morula	-0.16348396954942832	-0.10259860069131466	-0.05118481955661989	-0.23667709995994704
GSM2481620	8-cell	0.13793853587566254	1.0	0.04642776709946948	0.23667709995994704	morula	-0.024451848488031863	-0.10259860069131455	-0.01034212093969579	-0.23667709995994704
GSM2481621	8-cell	0.2821469426074534	1.0	0.09804913219576622	0.23667709995994704	morula	-0.14609600706591708	-0.10259860069131466	-0.058686136524249095	-0.23667709995994704
GSM2481622	8-cell	0.2994636746746222	1.0	0.06698810022165104	0.23667709995994704	morula	-0.16072390825988092	-0.10259860069131455	-0.027677573287623082	-0.23667709995994704
GSM2481623	8-cell	0.4066401731044553	1.0	0.09338494229096474	0.23667709995994704	morula	-0.240954451530837	-0.10259860069131466	-0.04446572328479273	-0.23667709995994704
GSM2481624	8-cell	0.3199654720486978	1.0	0.11808558858545944	0.23667709995994704	morula	-0.17505620350439996	-0.10259860069131455	-0.07583042278761316	-0.23667709995994704
GSM2481626	8-cell	0.11953337339597632	1.0	0.06568761139407081	0.23667709995994704	morula	-0.008127471031819808	-0.10259860069131466	-0.029679849679671744	-0.23667709995994704
GSM2481627	8-cell	0.6540375558212489	1.0	0.02236880738692553	0.23667709995994704	morula	-0.3968848801707902	-0.10259860069131455	0.06347635810341812	-0.23667709995994704
GSM2481628	8-cell	0.5264216104266164	1.0	0.30192600092774147	0.23667709995994704	morula	-0.22753718658137428	-0.10259860069131455	-0.1439360775386499	-0.23667709995994704
GSM2481629	8-cell	0.4270127114960005	1.0	0.27692414776046004	0.23667709995994704	morula	-0.21533517599953023	-0.10259860069131455	-0.18580845883075733	-0.23667709995994704
GSM2481630	8-cell	0.4824291787778921	1.0	0.33416567309208123	0.23667709995994704	morula	-0.2023298311454116	-0.10259860069131455	-0.18618307593864553	-0.23667709995994704
GSM2481631	8-cell	0.49902877679624347	1.0	0.31906227163438805	0.23667709995994704	morula	-0.21324183809265312	-0.10259860069131443	-0.16873422329355134	-0.23667709995994704
GSM2481632	8-cell	0.397414785973966	1.0	0.27309807601548397	0.23667709995994704	morula	-0.2041568558114635	-0.10259860069131443	-0.19485630081585953	-0.23667709995994704
GSM2481633	8-cell	0.44036342467198253	1.0	0.34114175232070737	0.23667709995994704	morula	-0.19192390779541918	-0.10259860069131455	-0.21613012857816122	-0.23667709995994704
GSM2481634	8-cell	0.5109674187943082	1.0	0.3250427671809312	0.23667709995994704	morula	-0.2115324598865566	-0.10259860069131455	-0.1635078236677692	-0.23667709995994704
GSM2481635	8-cell	0.3990658118100397	1.0	0.22584152153268805	0.23667709995994704	morula	-0.2166224811615789	-0.10259860069131443	-0.15871805566876568	-0.23667709995994704
GSM2481636	8-cell	0.5120748339296367	1.0	0.22900013521558468	0.23667709995994704	morula	-0.2621425532513912	-0.10259860069131455	-0.11703586300861457	-0.23667709995994704
GSM2481637	8-cell	0.5990963211718985	1.0	0.22086023259766824	0.23667709995994704	morula	-0.2907593722665897	-0.10259860069131455	-0.06759303589944593	-0.23667709995994704
GSM2481638	8-cell	0.5431544080084243	1.0	0.28839382773627537	0.23667709995994704	morula	-0.23861376766102588	-0.10259860069131455	-0.1279640793371581	-0.23667709995994704
GSM2481639	8-cell	0.49020128001840696	1.0	0.18784942687457512	0.23667709995994704	morula	-0.2703756101832193	-0.10259860069131443	-0.1013784328214494	-0.23667709995994704
GSM2481640	8-cell	0.5715681216561038	1.0	0.3283024344733004	0.23667709995994704	morula	-0.22096095135918686	-0.10259860069131466	-0.1265195682024318	-0.23667709995994704
GSM2481641	8-cell	0.48875792414211194	1.0	0.34119766383492617	0.23667709995994704	morula	-0.19912906891932286	-0.10259860069131466	-0.18503903484519335	-0.23667709995994704
GSM2481642	8-cell	0.48226275992542084	1.0	0.2967400712973798	0.23667709995994704	morula	-0.22237505341157648	-0.10259860069131443	-0.16874520264979812	-0.23667709995994704
GSM2481643	8-cell	0.5162640619569578	1.0	0.2513916873872341	0.23667709995994704	morula	-0.25274052585762063	-0.10259860069131455	-0.1267024104413318	-0.23667709995994704
GSM2986368	8-cell	0.5293480757974359	1.0	0.3492539065839713	0.23667709995994704	morula	-0.19962522948613876	-0.10259860069131455	-0.16106702744380194	-0.23667709995994704
GSM2986369	8-cell	0.546028947861116	1.0	0.4412613757000745	0.23667709995994704	morula	-0.14922847317748783	-0.10259860069131443	-0.18921971151819528	-0.23667709995994704
GSM2986370	8-cell	0.46880683750926533	1.0	0.38144155535073687	0.23667709995994704	morula	-0.17340462236450033	-0.10259860069131466	-0.21566244260691617	-0.23667709995994704
