sample_name	stage	s_rna	detected_genes	detected_gene_score	marker_score	potency_score	dataset	stage_order	P_raw	Hr_raw	D_raw	M_raw	P	Hr	D	M
Late blastocyst #2 -Cell#5(RPKM)	blastocyst	7.084632106532114	8220	0.0548653215386144	0.3333956885584193	0.1941305050485168	GSE36552	6	0.1941305050485168	7.084632106532114	0.0548653215386144	0.3333956885584193	0.027729813358630853	0.6482179485101112	0.06677150114914715	0.3333956885584193
Late blastocyst #2 -Cell#6(RPKM)	blastocyst	7.246717172420514	9138	0.1461087367060928	0.4396518805669734	0.2928803086365331	GSE36552	6	0.2928803086365331	7.246717172420514	0.1461087367060928	0.4396518805669734	0.20400673219783938	0.6735388397664944	0.17781541066892462	0.4396518805669734
Late blastocyst #2 -Cell#7(RPKM)	blastocyst	7.203901253000643	8976	0.1300069575588907	0.4047184187400087	0.2673626881494497	GSE36552	6	0.2673626881494497	7.203901253000643	0.1300069575588907	0.4047184187400087	0.15845557814858519	0.6668501468031397	0.15821942663602265	0.4047184187400087
Late blastocyst #2 -Cell#8(RPKM)	blastocyst	6.894418907642109	9690	0.2009740582447073	0.413706192408552	0.3073401253266297	GSE36552	6	0.3073401253266297	6.894418907642109	0.2009740582447073	0.413706192408552	0.22981875248037203	0.6185028868650192	0.24458691181807185	0.413706192408552
Late blastocyst #2 -Cell#9(RPKM)	blastocyst	6.952917554993939	8914	0.1238445482556405	0.394153411303373	0.2589989797795068	GSE36552	6	0.2589989797795068	6.952917554993939	0.1238445482556405	0.394153411303373	0.14352563714663522	0.6276415319346462	0.15071972904318362	0.394153411303373
Late blastocyst #3 -Cell#1(RPKM)	blastocyst	6.271609047201327	7723	0.0054666534141735	0.5620389727332443	0.2837528130737089	GSE36552	6	0.2837528130737089	6.271609047201327	0.0054666534141735	0.5620389727332443	0.18771336516243958	0.5212076754697731	0.006652957542034545	0.5620389727332443
Late blastocyst #3 -Cell#2(RPKM)	blastocyst	6.804591627810189	8726	0.105158532949011	0.4666381904501265	0.2858983616995688	GSE36552	6	0.2858983616995688	6.804591627810189	0.105158532949011	0.4666381904501265	0.19154335456235946	0.6044700901232958	0.12797871053586543	0.4666381904501265
Late blastocyst #3 -Cell#3(RPKM)	blastocyst	7.086817169704701	8821	0.1146009343007653	0.3384840356720022	0.2265424849863838	GSE36552	6	0.2265424849863838	7.086817169704701	0.1146009343007653	0.3384840356720022	0.0855879938241036	0.6485592985702056	0.13947018265392522	0.3384840356720022
Late blastocyst #3 -Cell#4(RPKM)	blastocyst	6.6338544839504525	8178	0.0506907862041546	0.783296919698023	0.4169938529510888	GSE36552	6	0.4169938529510888	6.6338544839504525	0.0506907862041546	0.783296919698023	0.42556011643807384	0.5777975732606102	0.06169106084432072	0.783296919698023
Late blastocyst #3 -Cell#5(RPKM)	blastocyst	6.929536040345324	8777	0.1102276115694265	0.8216549396733229	0.4659412756213747	GSE36552	6	0.4659412756213747	6.929536040345324	0.1102276115694265	0.8216549396733229	0.5129354887419586	0.6239888771599321	0.13414781662029757	0.8216549396733229
Late blastocyst #3 -Cell#6(RPKM)	blastocyst	6.625168129375902	7668	0.0	0.3571926928070667	0.1785963464035333	GSE36552	6	0.1785963464035333	6.625168129375902	0.0	0.3571926928070667	0.0	0.5764405929713342	0.0	0.3571926928070667
Late blastocyst #3 -Cell#7(RPKM)	blastocyst	6.9031131803209895	8512	0.0838882814829539	0.3453948695983694	0.2146415755406616	GSE36552	6	0.2146415755406616	6.9031131803209895	0.0838882814829539	0.3453948695983694	0.06434384373719725	0.6198611041187102	0.10209265755413077	0.3453948695983694
Late blastocyst #3 -Cell#8(RPKM)	blastocyst	6.7566635975066704	8497	0.0823973760063612	0.4162774421075742	0.2493374090569677	GSE36552	6	0.2493374090569677	6.7566635975066704	0.0823973760063612	0.4162774421075742	0.12627889987491692	0.5969827843879012	0.10027821458812144	0.4162774421075742
