source	target	weight	same_chr	same_gene	entropy_similarity	age_weight_similarity	genomic_similarity	same_context_score	source_gene	target_gene
cluster_3967	cluster_5400	0.7835272790270237	False	False	0.9113340903212448	0.9410674687880963	0.0	1.0	IFI30	SLC49A3
cluster_2832	cluster_3369	0.7834686121157324	False	False	0.9796594655351283	0.9779330634526597	0.0	0.0	NPW	KCNH4
cluster_6020	cluster_2727	0.7834436265345879	False	False	0.9322944073114064	0.8496817452144907	0.0	1.0	NKX2-5	MAN2A2
cluster_2727	cluster_3303	0.7834324939916016	False	False	0.9468054163310639	0.9533931558427338	0.0	0.5	MAN2A2	PYY2
cluster_4899	cluster_1007	0.7832717511075663	False	False	0.9356588015371258	0.8339568673895633	0.0	1.0	LINC00320	ABLIM1
cluster_293	cluster_5966	0.7832166263814444	False	False	0.8975536263081393	0.9987117952076918	0.0	1.0	LINC01389	PCDHGA1
cluster_6406	cluster_3362	0.7826815899873164	False	False	0.9349326524712795	0.9998357725398977	0.0	0.5	LRFN2	KRT19
cluster_7683	cluster_3978	0.7826206974749998	False	False	0.9024240566480927	0.9736337376915976	0.0	1.0	ARID3C	COMP
cluster_2190	cluster_5659	0.7821697243273733	False	False	0.973050867775088	0.9979110684904411	0.0	0.0	PCDH17	LOC101928551
cluster_6087	cluster_4373	0.7821148251724311	False	False	0.936175880974007	0.9906700169288433	0.0	0.5	GMDS-DT	FSHR
cluster_293	cluster_2727	0.7820570557984927	False	False	0.9169256479041907	0.9070358977384584	0.0	1.0	LINC01389	MAN2A2
cluster_5679	cluster_3519	0.7819809894752933	False	False	0.9399729056351646	0.9733240054162414	0.0	0.5	PDLIM3	DNAH17-AS1
cluster_5760	cluster_5020	0.7812761687889967	False	False	0.9333776830659816	0.997204498640725	0.0	0.5	LINC02116	INPP5J
cluster_4064	cluster_5400	0.7806096798156724	False	False	0.9324204441278267	0.9969092742172337	0.0	0.5	GIPR	SLC49A3
cluster_6020	cluster_126	0.7804650228762768	False	False	0.9136882580274119	0.9104510343897266	0.0	1.0	NKX2-5	PLEKHG5
cluster_3133	cluster_3766	0.7802388413566406	False	False	0.8980647047097601	0.9766452219686432	0.0	1.0	CYBA	ABCA7
cluster_3336	cluster_5024	0.7796906685515917	False	False	0.9439064114284594	0.9410100074872871	0.0	0.5	NEUROD2	RFPL2
cluster_6020	cluster_5307	0.7796217845071428	False	False	0.945157409377612	0.9351297894113001	0.0	0.5	NKX2-5	ZIC4
cluster_3766	cluster_3978	0.779434259159267	True	False	0.89895688979763	0.967415193320251	1.792769702738792e-08	1.0	ABCA7	COMP
cluster_1851	cluster_5024	0.7794151567079827	False	False	0.9349362304506301	0.9780440461004875	0.0	0.5	GDF11	RFPL2
cluster_6892	cluster_5240	0.7791993525986723	False	False	0.9299954502655784	0.9980153995069757	0.0	0.5	SFRP4	TMEM30CP
