sample_id	stage	A_raw	n_age_regions_used	Hm_raw	rna_stage	Hr_raw	P_raw	A	P	Hm	Hr	stage_order
GSM2986332	zygote/PN	0.2887505520925844	104	0.0224823386811828	zygote	7.392979727889196	0.4146694741359402	0.7429232514356782	0.2039076035675005	0.2865827764785796	0.9018183215118489	1
GSM2986333	zygote/PN	0.08640066008529443	118	0.0161607166612435	zygote	7.392979727889196	0.4146694741359402	0.22229934748721902	0.2039076035675005	0.19543962580781396	0.9018183215118489	1
GSM2986334	zygote/PN	0.3333487768140947	94	0.0230851755460627	zygote	7.392979727889196	0.4146694741359402	0.8576695536617593	0.2039076035675005	0.2952742880925828	0.9018183215118489	1
GSM2986335	zygote/PN	0.08455785057431195	106	0.0122481537643551	zygote	7.392979727889196	0.4146694741359402	0.2175580023235335	0.2039076035675005	0.13902952908023855	0.9018183215118489	1
GSM2986336	zygote/PN	0.2437987709670516	84	0.0207960751437762	zygote	7.392979727889196	0.4146694741359402	0.627267287664922	0.2039076035675005	0.2622707611167463	0.9018183215118489	1
GSM2481532	2-cell	0.08950756168013449	80	0.0200551849331479	2-cell	7.071783589662608	0.5177727655355593	0.23029306184724968	0.5757513330074346	0.2515888399444901	0.34641832657044236	2
GSM2481533	2-cell	0.1655544844629848	46	0.0092005020397912	2-cell	7.071783589662608	0.5177727655355593	0.4259533877793643	0.5757513330074346	0.09508944859965748	0.34641832657044236	2
GSM2481534	2-cell	0.2538410672582185	94	0.020860174184689	2-cell	7.071783589662608	0.5177727655355593	0.6531050059253601	0.5757513330074346	0.2631949208538106	0.34641832657044236	2
GSM2481535	2-cell	0.11036102697076666	75	0.022115545268854	2-cell	7.071783589662608	0.5177727655355593	0.28394672285375755	0.5757513330074346	0.28129446484914605	0.34641832657044236	2
GSM2986344	2-cell	0.20474346210469505	126	0.0460335131143663	2-cell	7.071783589662608	0.5177727655355593	0.5267822952187665	0.5757513330074346	0.6261361748099998	0.34641832657044236	2
GSM2986345	2-cell	0.2650908665870628	119	0.0348418821127923	2-cell	7.071783589662608	0.5177727655355593	0.6820494960217952	0.5757513330074346	0.4647787720088332	0.34641832657044236	2
GSM2986346	2-cell	0.22888449611198708	132	0.0474710743351036	2-cell	7.071783589662608	0.5177727655355593	0.5888945071184205	0.5757513330074346	0.6468624786805637	0.34641832657044236	2
GSM2986347	2-cell	0.22764472679936937	105	0.0305618781193465	2-cell	7.071783589662608	0.5177727655355593	0.5857047177237847	0.5757513330074346	0.4030710255450775	0.34641832657044236	2
GSM2986348	2-cell	0.16922845861513441	114	0.0519136154639941	2-cell	7.071783589662608	0.5177727655355593	0.43540611714394906	0.5757513330074346	0.710913634253359	0.34641832657044236	2
