module_id	TF	motif_database	motif_id	motif_name	log_odds_ratio	pvalue	motif_hit_count	foreground_nonhit_count	background_hit_count	background_nonhit_count	threshold	n_matched_background_sets	qvalue
M10	ZSCAN4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1155.1	ZSCAN4	0.7036069972197753	1.0000000000000149	0	3	2	28	-5.8547329806786665	10	1.0
M10	DUXA	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0884.2	DUXA	0.7036069972197753	1.0000000000000149	0	3	2	28	11.375373485478333	10	1.0
M10	CDX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0465.3	CDX2	0.7036069972197753	1.0000000000000149	0	3	2	28	11.024160705301476	10	1.0
M10	SOX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0143.5	SOX2	0.16664986940945156	1.0000000000000149	0	3	3	27	10.798786680802987	10	1.0
M10	NR3C2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0727.2	NR3C2	0.7036069972197753	1.0000000000000149	0	3	2	28	-6.733510970387511	10	1.0
M10	OTX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0712.3	OTX2	0.7036069972197753	1.0000000000000149	0	3	2	28	7.702620177180685	10	1.0
M10	POU5F1	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1115.2	POU5F1	0.7036069972197753	1.0000000000000149	0	3	2	28	11.667651457573147	10	1.0
M10	TEAD4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0809.3	TEAD4	0.7036069972197753	1.0000000000000149	0	3	2	28	6.144426747984486	10	1.0
M10	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0524.3	TFAP2C	0.7036069972197753	1.0000000000000149	0	3	2	28	6.052541786761395	10	1.0
M10	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0814.3	TFAP2C	0.7036069972197753	1.0000000000000149	0	3	2	28	7.133118319552742	10	1.0
M10	NANOG	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA2339.1	Nanog	0.7036069972197753	1.0000000000000149	0	3	2	28	7.668378138160023	10	1.0
M10	GATA3	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0037.5	Gata3	0.7036069972197753	1.0000000000000149	0	3	2	28	9.698009597767356	10	1.0
M05	OTX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0712.3	OTX2	-0.8658633273484637	1.000000000000034	0	6	7	53	12.480226982473884	10	1.0
M01	OTX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0712.3	OTX2	-2.2101695718268597	1.0000000000000406	0	21	20	190	12.480226982473884	10	1.0
M02	CDX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0465.3	CDX2	-1.822846614614758	1.000000000000054	0	30	16	284	11.626002368082036	10	1.0
M02	GATA3	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0037.5	Gata3	-1.822846614614758	1.000000000000054	0	30	16	284	10.988642742317468	10	1.0
M01	PRDM14	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1998.2	Prdm14	-1.4371257473338648	1.000000000000059	0	21	12	198	10.778219250852283	10	1.0
M05	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0814.3	TFAP2C	-0.632695111505258	1.0000000000000837	0	6	6	54	11.140467198079682	10	1.0
M02	POU5F1	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0142.1	Pou5f1::Sox2	-1.7275867125869186	1.0000000000001814	0	30	15	285	11.350131255281728	10	1.0
M02	DUX4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0468.1	DUX4	-1.7275867125869186	1.0000000000001814	0	30	15	285	11.37128476579391	10	1.0
M02	NR3C2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0727.2	NR3C2	-1.7275867125869186	1.0000000000001814	0	30	15	285	1.1318683728762438	10	1.0
M02	PRDM14	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1998.2	Prdm14	-1.7275867125869186	1.0000000000001814	0	30	15	285	10.612221476588799	10	1.0
M02	TEAD4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0809.3	TEAD4	-1.9128154295656237	1.000000000000212	0	30	17	283	12.214599584454348	10	1.0
M02	NANOG	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA2339.1	Nanog	-1.9128154295656237	1.000000000000212	0	30	17	283	9.825502574619618	10	1.0
