stage	cluster_name	age_weight_5yr	met_reads	total_reads	beta	n_cpg_observed	filename
2-cell	cluster_5020	-0.027558478	2.0	2.0	1.0	1	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_2355	-0.01669596	0.0	6.0	0.0	1	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_23	-0.023801903	0.0	100.0	0.0	10	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_6410	-0.021018304	0.0	23.0	0.0	2	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_6655	0.116026458	45.0	84.0	0.5357142857142857	10	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_5002	0.073881417	558.0	791.0	0.7054361567635904	28	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_2832	-0.020554218	6.0	138.0	0.043478260869565216	16	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_5400	-0.013997351	0.0	2.0	0.0	2	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_6275	-0.032421038	0.0	1.0	0.0	1	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_950	0.033547863	19.0	38.0	0.5	4	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
4-cell	cluster_3123	0.029691182	29.0	49.0	0.5918367346938775	6	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_3519	0.033654647	289.0	428.0	0.6752336448598131	15	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_3133	-0.018315712	40.0	248.0	0.16129032258064516	7	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_3762	-0.027459185	22.0	147.0	0.14965986394557823	3	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_6262	-0.037492605	19.0	19.0	1.0	2	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_643	0.045617076	27.0	89.0	0.30337078651685395	16	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_126	-0.021650446	0.0	63.0	0.0	4	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_5760	-0.024623956	0.0	10.0	0.0	1	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_7000	-0.023266685	6.0	6.0	1.0	2	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_6400	0.057841086	52.0	834.0	0.06235011990407674	14	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_5307	-0.024274621	0.0	116.0	0.0	5	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_6871	-0.011480476	2.0	2.0	1.0	1	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_1257	-0.042734524	0.0	48.0	0.0	3	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_6518	0.059909335	66.0	314.0	0.21019108280254778	8	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_5064	-0.024982701	0.0	5.0	0.0	3	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_4532	0.015502877	2.0	2.0	1.0	2	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_2324	-0.070097421	7.0	115.0	0.06086956521739131	12	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_3303	-0.028370305	13.0	222.0	0.05855855855855856	12	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_7095	-0.064702969	4.0	872.0	0.0045871559633027525	6	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_2355	-0.01669596	0.0	22.0	0.0	1	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_1333	-0.042831806	1.0	3.0	0.3333333333333333	2	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_23	-0.023801903	2.0	527.0	0.003795066413662239	10	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_6020	-0.038638364	3.0	3.0	1.0	1	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_6410	-0.021018304	10.0	159.0	0.06289308176100629	3	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_6655	0.116026458	97.0	429.0	0.2261072261072261	14	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_3967	-0.027666536	0.0	7.0	0.0	2	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_5002	0.073881417	1047.0	1614.0	0.6486988847583643	28	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_2832	-0.020554218	76.0	471.0	0.1613588110403397	17	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_5400	-0.013997351	0.0	7.0	0.0	4	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_6275	-0.032421038	0.0	17.0	0.0	1	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_7612	0.043674447	3.0	10.0	0.3	5	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_950	0.033547863	51.0	131.0	0.3893129770992366	4	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_5679	0.024534686	30.0	31.0	0.967741935483871	1	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_4889	-0.019214397	5.0	9.0	0.5555555555555556	4	GSE49828_RRBS_4-cell1_methylation_calling.bed.txt.gz
4-cell	cluster_3123	0.029691182	15.0	23.0	0.6521739130434783	3	GSE49828_RRBS_4-cell2_methylation_calling.bed.txt.gz
4-cell	cluster_3519	0.033654647	55.0	88.0	0.625	12	GSE49828_RRBS_4-cell2_methylation_calling.bed.txt.gz
4-cell	cluster_3133	-0.018315712	6.0	86.0	0.06976744186046512	6	GSE49828_RRBS_4-cell2_methylation_calling.bed.txt.gz
4-cell	cluster_3762	-0.027459185	12.0	102.0	0.11764705882352941	3	GSE49828_RRBS_4-cell2_methylation_calling.bed.txt.gz
4-cell	cluster_643	0.045617076	0.0	31.0	0.0	19	GSE49828_RRBS_4-cell2_methylation_calling.bed.txt.gz
