stage	sample	cluster_name	age_weight_5yr	met_reads	total_reads	beta	n_cpg_observed
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_5307	-0.024274621	4.0	141.0	0.028368794326241134	9
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_6871	-0.011480476	2.0	4.0	0.5	2
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_1257	-0.042734524	15.0	75.0	0.2	5
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_832	0.093944091	89.0	151.0	0.5894039735099338	21
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_1718	0.013745268	34.0	34.0	1.0	10
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_1715	-0.061309439	3.0	4.0	0.75	4
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_6163	0.016966375	2.0	2.0	1.0	2
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_6518	0.059909335	50.0	88.0	0.5681818181818182	8
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_5064	-0.024982701	32.0	68.0	0.47058823529411764	10
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_4532	0.015502877	20.0	21.0	0.9523809523809523	4
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_2324	-0.070097421	75.0	143.0	0.5244755244755245	11
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_3303	-0.028370305	15.0	211.0	0.07109004739336493	12
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_3928	-0.036694162	1.0	1.0	1.0	1
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_7095	-0.064702969	60.0	129.0	0.46511627906976744	7
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_1851	-0.015637944	1.0	1.0	1.0	1
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_5020	-0.027558478	1.0	1.0	1.0	1
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_2355	-0.01669596	12.0	43.0	0.27906976744186046	5
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_1333	-0.042831806	7.0	9.0	0.7777777777777778	3
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_23	-0.023801903	118.0	344.0	0.3430232558139535	13
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_2727	-0.016253451	0.0	6.0	0.0	3
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_6410	-0.021018304	15.0	73.0	0.2054794520547945	5
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_1742	0.010894564	5.0	6.0	0.8333333333333334	3
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_6655	0.116026458	192.0	492.0	0.3902439024390244	24
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_3967	-0.027666536	2.0	14.0	0.14285714285714285	5
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_3362	-0.039116552	1.0	1.0	1.0	1
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_5002	0.073881417	313.0	622.0	0.5032154340836013	29
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_2832	-0.020554218	93.0	344.0	0.2703488372093023	24
