sample_name	stage	POU5F1	NANOG	SOX2	KLF4	DPPA3	ZSCAN4	KLF17	TFAP2C	GDF3
Morulae #2 -Cell#6(RPKM)	morula	5.01960164264775	4.919258036869624	4.377667145896429	3.379019936717452	9.317758319668446	4.328111485173442	5.304448532478276	4.828361736150338	2.663122567747075
Morulae #2 -Cell#7(RPKM)	morula	5.407521486087583	4.656252958217407	4.632435097136104	4.70325832187881	8.87528880572476	5.778509540845942	5.570441540083868	4.893007246428613	3.3868279676948534
Morulae #2 -Cell#8(RPKM)	morula	5.218397151371988	4.15939857547078	4.186087781920742	5.265706361069605	8.996063643940676	5.10398597958736	5.284902792126175	4.906377873508993	2.053225894861424
Average epiblast(RPKM)	blastocyst	6.769191818140991	5.380348864497271	3.514079538718828	5.012713133891221	6.793917824273928	0.0	3.697095608885277	3.5200465155005367	5.300514950091524
FC(epiblast/Primitive endoderm)	blastocyst	0.80692219481879	1.1502555218199482	1.7995622812910759	2.133219247360307	0.6237971024251521	0.0	1.4781896258241463	0.9798287526781426	0.8046885552928528
FC(epiblast/Trophectoderm)	blastocyst	1.4897530694881207	4.854199783808498	4.354616896538947	1.7594084390103955	0.3199072197465178	0.16211884947643518	4.492818623141411	0.5270925962298626	4.116611470942579
FC(epiblast/hESC passage#0)	blastocyst	0.6507614640635074	1.2944531574543106	0.24294617861038947	0.9508853766386541	3.3936019425403243	0.0	10.579762468589928	1.6886187103085415	1.9979602998119528
FC[Trophectoderm/(epiblast+Primitive endoderm)]	blastocyst	0.2836740510542421	0.010939940038334364	0.023716526617316044	0.35065687161316933	1.233143181625716	1.8991179875485542	0.01882175424058776	1.0570956084651761	0.01882175424058776
Late blastocyst #1 -Cell#1(RPKM)	blastocyst	6.153462215772931	0.20782684720231648	0.8649974374866045	1.6096378924367667	7.268160257683704	0.0	0.0	3.139659442360634	0.0
Late blastocyst #1 -Cell#10(RPKM)	blastocyst	5.652285650786001	0.09621885774054292	0.0	4.153242203469586	7.2397381678303425	0.0	0.0	3.155424712287584	0.0
Late blastocyst #1 -Cell#11(RPKM)	blastocyst	5.843184932134551	0.0	0.0	4.234280402519618	7.331981295515149	0.0	0.0	2.921601224210916	0.0
Late blastocyst #1 -Cell#12(RPKM)	blastocyst	4.904719068504707	2.1014476219424507	0.0	3.2815125387161754	7.81852801467905	0.0	0.0	4.461276720613482	1.6917549549233142
Late blastocyst #1 -Cell#2(RPKM)	blastocyst	5.5460715758749215	0.15357908792830063	0.18979357163265562	3.3319544789199944	7.649832137788497	0.0	0.0	3.9054212617935837	2.8128305484949707
