cluster_name	acc_2-cell_mean	acc_2-cell_max	acc_4-cell_mean	acc_4-cell_max	acc_8-cell_mean	acc_8-cell_max	acc_morula_mean	acc_morula_max	n_overlapping_peaks	meth_2_cell	meth_4_cell	meth_8_cell	meth_morula	meth_blastocyst	basin_residual_rank	observed_minus_strict_pred_delta_beta	latent_residual_delta_beta	module_id	curvature	is_inverted_u	is_u_shape
cluster_1718	-0.4391275144	0.963623697	0.5002590464	0.896494875	0.11171229820000002	1.051298717	0.5087951024	1.368367221	5	0.1248967650566488	0.02735128947752537	0.1469208776971304	0.7	0.1214035087719298	40	0.5260137442757669	0.04482086841341994	M00	-1.1316756135309396	True	False
cluster_1742	-0.6120045551249998	0.963623697	0.266834293625	0.896494875	0.0983085115	1.051298717	0.83768634775	1.962699209	8	0.0625	0.57	0.5159041394335511	0.25	0.16666666666666666	13	-0.13317505724734113	0.1109335240179164	M08	0.1825708061002176	False	False
cluster_1758	-0.6846945283999999	0.963623697	0.1398096753	0.896494875	0.185332836	1.275241121	0.7568651953999999	1.962699209	10	0.44940476190476186	0.02	0.9762962962962964	0.5	0.13333333333333333	43	-0.07335387384340786	0.04146978517954862	M01	0.10962962962962974	False	False
cluster_1764	-0.7293692982727272	0.963623697	0.061721320636363645	0.896494875	0.2118068876363636	1.275241121	0.7542013409999999	1.962699209	11	0.11049783549783547	0.045	0.047058823529411764	0.5	0.5	34	0.35044523581868364	-0.056940770422262976	M15	-0.4529411764705883	False	False
cluster_1806	-0.5509145432999999	0.963623697	-0.3946436653	0.436441953	0.0766677488	1.275241121	0.5955772658	1.962699209	10	0.07280844155844153	0.021333333333333333	0.10163817663817663	0.5	0.021052631578947368	66	0.38848233320117936	0.022568391044334942	M06	-0.8773091917828759	True	False
cluster_1851	-0.7407980271666665	0.963623697	-0.14226765100000002	1.302218175	0.05137348491666666	1.275241121	0.6260395571666667	1.962699209	12	0.06875	0.01	0.008333333333333333	0.0	0.0	130	-0.021159251775404942	-0.0059938138733272965	M02	0.0083333333333333	False	False
cluster_1921	-0.5463635674444444	0.590651075	-0.07345473683333334	1.302218175	0.04325284583333336	1.76000099	0.17809323477777778	1.962699209	18	0.05	0.5	0.0	0.0	0.2	149	-0.13613689876403773	-0.0020292941244891513	M08	0.2	False	False
cluster_1922	-0.5463635674444444	0.590651075	-0.07345473683333334	1.302218175	0.04325284583333336	1.76000099	0.17809323477777778	1.962699209	18	0.17444258639910815	0.05893267651888341	0.1019795657726692	0.5	0.03333333333333333	129	0.36010347288971	0.006386715826850186	M04	-0.8646871008939975	True	False
cluster_1976	-0.4704508533913043	0.590651075	-0.07472862173913045	1.429351179	0.013364958217391316	1.76000099	0.1024203828695652	1.479341098	23	0.4821428571428571	0.22666666666666666	0.9277777777777778	1.0	0.3333333333333333	119	0.3402798751128342	-0.007731686270878672	M01	-0.7388888888888889	True	False
cluster_2004	-0.3982025765555555	0.773792866	-0.11271878437037035	1.429351179	0.02541026992592594	1.804147694	0.10176552803703703	1.479341098	27	0.07974553224553224	0.038210678210678216	0.003421113421113421	0.0	0.0	82	-0.04248924404315595	0.016083742427707402	M11	0.0034211134211134	False	False
cluster_2126									0	0.004347826086956522	0.0	0.003703703703703704	0.0	0.0	72	-0.014718125637377278	0.020437472066274085	M02	0.0037037037037037	False	False
cluster_2190	-0.03039247599999999	0.991771034	-0.4829792454	-0.119936421	0.5750771024	1.836759325	0.47729418700000004	2.287455994	5	0.05	0.04	0.3555555555555556	0.0	0.0	25	-0.17727269337569376	0.07108962890199759	M12	0.3555555555555555	False	False
cluster_2324	-0.091372097	0.991771034	-0.03624714699999998	1.395974749	0.3390750034285714	1.836759325	0.42622273714285713	2.287455994	7	0.01986979133554575	0.02047502903600464	0.08692372986490632	0.0	0.1120401337792642	71	-0.07125681657217904	0.020674366566264403	M14	0.1989638636441705	False	True
cluster_2355	0.1711061415	0.44914701	0.6696945755	0.894034089	-0.2888801245	0.165312822	0.38470620499999997	1.136797144	2	0.12547698759722106	0.08986996336996336	0.025448530797368002	0.05625	0.015384615384615384	131	-0.013934419036747712	0.00582188590766739	M11	-0.0716668538180167	True	False
