cluster_name	x_morula	x_blast_observed	x_blast_predicted	c_diag_blast	abs_c_diag_blast	module_id	basin_residual_rank	blast_residual_rank
cluster_6518	0.5	0.11190476190476192	0.34940110081320347	-0.23749633890844155	0.23749633890844155	M04	59	27.0
cluster_652	0.0	0.2	0.06883064650807093	0.1311693534919291	0.1311693534919291	M00	151	43.0
cluster_6532	0.09375	0.08660633484162898	0.12143760669028328	-0.0348312718486543	0.0348312718486543	M09	41	123.0
cluster_6604	0.8898809523809523	0.625	0.5681792526820866	0.05682074731791342	0.05682074731791342	M03	44	98.0
cluster_6651	0.5178571428571428	0.3557338086749852	0.35942147418124387	-0.0036876655062586527	0.0036876655062586527	M01	19	152.0
cluster_6655	0.5	0.3432688737124221	0.34940110081320347	-0.006132227100781373	0.006132227100781373	M01	14	150.0
cluster_67	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M02	150	75.0
cluster_6871	0.0	0.03557312252964427	0.06883064650807093	-0.033257523978426656	0.033257523978426656	M02	128	124.0
cluster_6892	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M05	3	75.0
cluster_6960	0.03125	0.2895238095238095	0.08636629990214172	0.2031575096216678	0.2031575096216678	M01	12	32.0
cluster_6975	1.0	0.45	0.629971555118336	-0.179971555118336	0.179971555118336	M03	36	37.0
cluster_7000	0.16666666666666666	0.05	0.16235413127644843	-0.11235413127644843	0.11235413127644843	M02	142	50.0
cluster_7042	0.125	0.015384615384615384	0.13897326008435407	-0.12358864469973868	0.12358864469973868	M05	8	47.0
cluster_7052	0.3333333333333333	0.125	0.25587761604482595	-0.13087761604482595	0.13087761604482595	M08	104	45.0
cluster_7072	0.0	0.3344129554655871	0.06883064650807093	0.26558230895751617	0.26558230895751617	M01	24	23.0
cluster_7095	0.27884615384615385	0.0	0.22530263063977946	-0.22530263063977946	0.22530263063977946	M06	101	28.0
cluster_7341	1.0	0.7111111111111109	0.629971555118336	0.08113955599277489	0.08113955599277489	M03	122	57.0
cluster_7425	0.7247474747474747	0.3864864864864865	0.47551610300086405	-0.08902961651437757	0.08902961651437757	M01	61	54.0
cluster_7504	0.0125	0.11138959931798806	0.07584490786569924	0.03554469145228882	0.03554469145228882	M00	138	122.0
cluster_7612	0.01619644723092999	0.1498267478042759	0.0779191356234932	0.0719076121807827	0.0719076121807827	M04	146	59.0
cluster_7683	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M06	99	75.0
cluster_832	0.6666666666666666	0.461244019138756	0.442924585581581	0.018319433557175024	0.018319433557175024	M01	30	141.0
cluster_840	0.0	0.25	0.06883064650807093	0.18116935349192909	0.18116935349192909	M13	67	36.0
