sample_id	stage	genome_met_reads	genome_total_reads	genome_cpg_rows	genome_beta	sample_mean_cpg_entropy	sample_global_beta_entropy
GSM2481605	ICM	1246884.0	6110481.0	2525979	0.2040566037272679	0.0076503371120105	0.5059749032378832
GSM2481606	ICM	3658271.0	18727803.0	9523167	0.1953390368320298	0.0242794941065269	0.4938726666763395
GSM2481607	ICM	4961058.0	27403268.0	12569998	0.1810389184238901	0.0320017559066292	0.4729651972876661
GSM2481608	TE	5642490.0	23558856.0	14728485	0.2395061118417634	0.0540466672178652	0.5505099643571135
GSM2481609	TE	5183238.0	25366015.0	12139151	0.2043378906777434	0.0339189674698441	0.5063575280333307
GSM2481610	TE	3839812.0	17389566.0	7907502	0.2208112611896122	0.0161603879914405	0.5279328314568407
GSM2481611	TE	3847207.0	19327664.0	8970239	0.1990518357521115	0.0217625740079261	0.4990851760263538
GSM2481612	TE	3025421.0	13672577.0	7696771	0.2212765742697956	0.0179968680240715	0.5285189367566766
GSM2481613	TE	3311016.0	15350213.0	7243770	0.2156983749997475	0.0150623332981097	0.5214093682377658
GSM2481614	MII oocyte	1748388.0	4419101.0	2186804	0.3956433672821689	0.0063507391498206	0.6712056138051319
GSM2481615	MII oocyte	2562082.0	6203272.0	3590076	0.4130210637224999	0.0097618637405862	0.6779392584602213
GSM2481618	8-cell	1418787.0	4072422.0	2509746	0.3483889930856871	0.0068743149553151	0.646443654484092
GSM2481619	8-cell	1984456.0	5326329.0	3362139	0.372574807151417	0.0089442436029806	0.6603118292934949
GSM2481620	8-cell	1234245.0	3463721.0	2007711	0.356334993493991	0.0058253635347589	0.6512802879026826
GSM2481621	8-cell	1517576.0	4686068.0	2837296	0.3238484802183835	0.0094057835212357	0.6297363728890248
GSM2481622	8-cell	1322946.0	3607581.0	2235921	0.3667127640377305	0.0072514131462319	0.6571829511501672
GSM2481623	8-cell	1773581.0	5074773.0	3221370	0.3494897210180632	0.0090822787335432	0.6471301839351427
GSM2481624	8-cell	2062094.0	6075289.0	3775356	0.3394231945179892	0.010795497427135	0.6406521446165154
GSM2481625	8-cell	36659.0	303750.0	48882	0.1206880658436214	0.0046559987676842	0.3682936764631054
GSM2481626	8-cell	1156448.0	4350647.0	2559551	0.2658105794379549	0.007161212195874	0.5790472776639561
GSM2481627	8-cell	741833.0	2460529.0	1355791	0.3014932967666709	0.0041566517514122	0.6121242648580478
GSM2481628	8-cell	8670375.0	25820586.0	9245050	0.3357931148425523	0.0235465334651119	0.6382055618823218
GSM2481629	8-cell	8456416.0	26035921.0	9135999	0.3247980357599026	0.0218124232839475	0.6304333222681202
GSM2481630	8-cell	9059535.0	29144907.0	10419264	0.3108445328029353	0.0257826534584389	0.6197747250355203
GSM2481631	8-cell	7717546.0	25085223.0	9744142	0.3076530752786212	0.0247350926211377	0.6172099513677399
GSM2481632	8-cell	7414234.0	23522142.0	8986248	0.3152023314883483	0.0215470497565359	0.6232000791383776
GSM2481633	8-cell	8719000.0	28340871.0	10557979	0.3076475666538265	0.0262665091924131	0.6172054831716289
GSM2481634	8-cell	8430344.0	27101258.0	10132788	0.3110683644279539	0.0251498954018068	0.6199528170328114
GSM2481635	8-cell	5832108.0	18565967.0	6913669	0.3141289651112705	0.0182693698298892	0.6223645744371166
GSM2481636	8-cell	4345202.0	15742581.0	7257649	0.2760158578825162	0.0184884489561135	0.5891509645193893
GSM2481637	8-cell	6039194.0	19915263.0	7453319	0.3032445014660364	0.0179238712862515	0.613588348684549
GSM2481638	8-cell	8094043.0	23911309.0	8108563	0.3385027143432423	0.0226079518668762	0.6400373381544586
GSM2481639	8-cell	6003704.0	16468063.0	5737256	0.3645664945537311	0.0156342660353988	0.6560004212011591
GSM2481640	8-cell	8672056.0	27489441.0	9938902	0.3154686193873495	0.025375983532198	0.6234065299956763
GSM2481641	8-cell	8420121.0	26387251.0	10256076	0.3190980750514708	0.0262703871739932	0.626187741863407
GSM2481642	8-cell	7186713.0	23643569.0	9253980	0.3039605822623479	0.0231868411930774	0.6141828399124031
GSM2481643	8-cell	7872636.0	24611824.0	8474588	0.3198721070002776	0.0200415105765115	0.626773017848719
GSM2481644	morula	609409.0	1749221.0	1128131	0.3483887970702387	0.0046017126059753	0.6464435317532238
GSM2481645	morula	667723.0	1836180.0	1201101	0.3636478994434097	0.0049876824665311	0.655488229233607
GSM2481646	morula	860806.0	2390638.0	1569016	0.3600737543701723	0.0059059664523438	0.6534606186092615
GSM2481647	morula	401753.0	2118580.0	1577902	0.1896331505064713	0.005089834122174	0.4856905917204217
GSM2481648	morula	418525.0	2202246.0	1597805	0.1900446180853546	0.005209464545319	0.4862876548722054
GSM2481649	morula	365365.0	1785250.0	1334474	0.2046576109788545	0.0048733942954508	0.5067918414594972
GSM2481650	morula	3112050.0	11279667.0	6749421	0.2758991023405212	0.026173951537801	0.5890383417347989
GSM2481651	morula	3445743.0	11662395.0	6931902	0.2954575796823894	0.0273753429104814	0.6069662483449914
GSM2986307	MII oocyte	53603388.0	88785064.0	26582366	0.6037433052928812	0.0719644335662738	0.6714646642734263
GSM2986308	MII oocyte	3023454.0	8001887.0	4884437	0.3778426263705048	0.0056775440370381	0.6629981033922139
GSM2986309	MII oocyte	6415188.0	17008680.0	8131567	0.3771714207098963	0.0083744534853353	0.662662404408453
GSM2986310	MII oocyte	6803596.0	16746546.0	7326384	0.406268612046926	0.0097237057602662	0.6754716448114928
GSM2986311	MII oocyte	6601751.0	17726810.0	8489978	0.3724161876840785	0.0088375723267129	0.6602291051328709
GSM2986312	MII oocyte	6985774.0	18165156.0	8621387	0.3845699976372347	0.0092044020694609	0.6662571060184579
GSM2986313	MII oocyte	7593238.0	20059618.0	9066945	0.3785335294022049	0.0090668828724851	0.6633416522482991
GSM2986314	MII oocyte	8297641.0	21819460.0	9126519	0.3802862673961684	0.0097139945023406	0.66420409436118
GSM2986315	MII oocyte	15452734.0	31771758.0	13929939	0.4863669803855361	0.039763547988109	0.6927754160404251
GSM2986316	MII oocyte	4386292.0	11107060.0	6286684	0.3949102642823573	0.0082591287485949	0.6708939097215676
GSM2986317	MII oocyte	2656739.0	6656313.0	3856612	0.3991307199646411	0.0060538376509582	0.6726576296384379
GSM2986318	MII oocyte	2161208.0	5487871.0	3318968	0.3938153794066952	0.0056361863398787	0.6704241932457378
GSM2986319	MII oocyte	2857989.0	7046709.0	4207913	0.4055778378247207	0.0065711648820044	0.6752085671890168
GSM2986320	MII oocyte	3257355.0	8002912.0	4422519	0.4070212192761834	0.0065483199292851	0.6757560195054895
GSM2986321	MII oocyte	2732479.0	6133012.0	3968915	0.4455362226586219	0.0084987773559052	0.6872027864997081
GSM2986322	MII oocyte	2734866.0	6773056.0	3907757	0.4037861195891485	0.0057398903002698	0.6745169734985329
GSM2986323	MII oocyte	3575304.0	9185554.0	4724617	0.3892311775642492	0.0066310642910271	0.668402940584399
GSM2986324	MII oocyte	3214960.0	8270110.0	4747332	0.3887445269772712	0.0070850493049971	0.6681831843801233
GSM2986325	MII oocyte	2427682.0	5898066.0	3698279	0.4116064486223111	0.0071702832850381	0.6774379063465863
GSM2986326	MII oocyte	2502685.0	6346210.0	3808546	0.3943589953688894	0.005944931852957	0.6706580372490625
GSM2986327	zygote/PN	9033330.0	29120392.0	7813402	0.3102063323872838	0.0131321862101733	0.6192656554467897
GSM2986328	zygote/PN	4707297.0	14416199.0	5388152	0.3265283033343255	0.0165651772866183	0.6316927269564736
GSM2986329	zygote/PN	7472669.0	20465886.0	5803444	0.3651280477180416	0.0080580878479996	0.6563117388198445
GSM2986330	zygote/PN	4722356.0	11713331.0	4086754	0.4031608088254315	0.0078495700395087	0.674272468823883
GSM2986331	zygote/PN	9812148.0	29803786.0	9131525	0.3292248843821385	0.0118111561600503	0.6336283512019285
GSM2986332	zygote/PN	7351715.0	22382757.0	8185907	0.328454399071571	0.0224823386811828	0.63307865766788
GSM2986333	zygote/PN	13986692.0	42648939.0	13017938	0.3279493541445427	0.0161607166612435	0.6327168793088476
GSM2986334	zygote/PN	5098648.0	12291767.0	7102023	0.4148018751087618	0.0230851755460627	0.6785586587306327
GSM2986335	zygote/PN	12739215.0	39168372.0	11412914	0.3252423919993407	0.0122481537643551	0.6307580557757761
GSM2986336	zygote/PN	5395545.0	15749783.0	7402435	0.3425790056916974	0.0207960751437762	0.6427313153838998
GSM2986344	2-cell	11223254.0	46140382.0	16879091	0.2432414625435914	0.0460335131143663	0.5547875812817893
GSM2986345	2-cell	7403047.0	25564935.0	11887744	0.2895781663438612	0.0348418821127923	0.6017735472306216
GSM2986346	2-cell	12277151.0	47639779.0	16649956	0.2577079755134884	0.0474710743351036	0.5706458532066188
GSM2986347	2-cell	6740872.0	22182593.0	10395893	0.3038811558233972	0.0305618781193465	0.6141170195415993
GSM2986348	2-cell	8386316.0	35096024.0	14085220	0.2389534495417486	0.0519136154639941	0.5498705854451923
GSM2986349	2-cell	9422527.0	32131893.0	14032597	0.2932453123754645	0.0397420271656715	0.6050319639054427
GSM2986350	2-cell	8917703.0	30513964.0	13906718	0.2922499023725662	0.0418763396245351	0.6041539354742038
GSM2986351	2-cell	6345175.0	21978709.0	10313277	0.2886964379936965	0.0296155492841798	0.6009803638455002
GSM2986352	2-cell	6863060.0	24765267.0	10621803	0.2771244097630767	0.0337362422264701	0.590216881204994
GSM2986353	2-cell	8369958.0	27216362.0	11747164	0.3075340488196034	0.0387040065017689	0.6171133740346555
GSM2986354	2-cell	8202716.0	42814883.0	17889103	0.1915856222239355	0.0616909465547013	0.4885139820520416
GSM2986355	2-cell	4334931.0	14972776.0	6755402	0.2895208610614357	0.0230844958793394	0.6017221115595819
GSM2986356	2-cell	6686374.0	25930901.0	10799957	0.2578535161581929	0.0304485312311974	0.5707997675760818
GSM2986357	2-cell	7934544.0	33054374.0	11663265	0.2400452055150099	0.0354226701543219	0.5511320299562962
GSM2986358	2-cell	13002381.0	48179858.0	17144845	0.2698717169320009	0.0498660875818108	0.5831312051422981
GSM2986359	2-cell	9598807.0	36823502.0	14702803	0.2606706716813626	0.0423652103564883	0.5737572503516918
GSM2986360	4-cell	8842226.0	31480086.0	13295662	0.2808831589596038	0.0415853887492942	0.593785493971006
GSM2986361	4-cell	6461604.0	28784569.0	11463038	0.2244815268903279	0.0290110167316225	0.5325218413574859
GSM2986362	4-cell	5993381.0	29565728.0	11369999	0.2027137975428848	0.0261464229075921	0.5041416085928586
GSM2986363	4-cell	2750010.0	11844013.0	4953425	0.2321856620724749	0.01280589363667	0.5419038442070989
GSM2986364	4-cell	10888771.0	44541470.0	15232519	0.2444636649845638	0.0420073988640743	0.5561707154211563
GSM2986365	4-cell	9495719.0	41588670.0	14105916	0.2283246615003557	0.0385670865844424	0.5372440734444128
GSM2986366	4-cell	8571076.0	33913169.0	12311987	0.2527359209633284	0.0324753711678636	0.5653209485422926
GSM2986367	4-cell	9271042.0	39064802.0	13816700	0.2373246893712657	0.0376062408484643	0.5479764823861584
GSM2986368	8-cell	7032966.0	23732647.0	9209975	0.2963414068392792	0.0268291622567672	0.6077324394952937
GSM2986369	8-cell	9321811.0	35576449.0	12564982	0.2620219629002321	0.0332107327695562	0.5751612199588076
GSM2986370	8-cell	9833912.0	35956969.0	12335330	0.2734911276865411	0.0290616739454302	0.5867003596077123
GSM2986371	8-cell	10892343.0	36500502.0	13513575	0.2984162519189462	0.0342155813866214	0.6095164176253851
GSM2986372	8-cell	11877170.0	39538453.0	14130567	0.3003954150659359	0.03365712315838	0.6111989642183807
