particle_id	stage	rna_stage	dna_sample_id	rna_sample_name	A	Hm	P	Hr	A_raw	Hm_raw	P_raw	Hr_raw	stage_order
MII_oocyte:0011	MII oocyte	oocyte	GSM2146954	Oocyte #3(RPKM)	0.419110358115165	0.0656262186839929	0.3606560991269658	0.7099377008908028	0.1628948172770338	0.007156954042573	0.3806348162504794	7.479714966370953	0
MII_oocyte:0012	MII oocyte	oocyte	GSM2481556	Oocyte #1(RPKM)	0.2488915916915912	0.0310000490311295	0.3163801439601027	0.694639604700115	0.0967362165247446	0.0047553083354326	0.3558315583696919	7.381788202896162	0
MII_oocyte:0013	MII oocyte	oocyte	GSM2481556	Oocyte #2(RPKM)	0.2488915916915912	0.0310000490311295	0.3301224893014873	0.7095020837447127	0.0967362165247446	0.0047553083354326	0.363529979196631	7.476926477091045	0
MII_oocyte:0014	MII oocyte	oocyte	GSM2481556	Oocyte #3(RPKM)	0.2488915916915912	0.0310000490311295	0.3606560991269658	0.7099377008908028	0.0967362165247446	0.0047553083354326	0.3806348162504794	7.479714966370953	0
MII_oocyte:0015	MII oocyte	oocyte	GSM2481557	Oocyte #1(RPKM)	0.3227076238375879	0.0154001253131198	0.3163801439601027	0.694639604700115	0.1254261518501648	0.0036733090786659	0.3558315583696919	7.381788202896162	0
MII_oocyte:0016	MII oocyte	oocyte	GSM2481557	Oocyte #2(RPKM)	0.3227076238375879	0.0154001253131198	0.3301224893014873	0.7095020837447127	0.1254261518501648	0.0036733090786659	0.363529979196631	7.476926477091045	0
MII_oocyte:0017	MII oocyte	oocyte	GSM2481557	Oocyte #3(RPKM)	0.3227076238375879	0.0154001253131198	0.3606560991269658	0.7099377008908028	0.1254261518501648	0.0036733090786659	0.3806348162504794	7.479714966370953	0
MII_oocyte:0018	MII oocyte	oocyte	GSM2481570	Oocyte #1(RPKM)	0.3270583674120103	0.0406376984755404	0.3163801439601027	0.694639604700115	0.1271171469922606	0.0054237686256449	0.3558315583696919	7.381788202896162	0
MII_oocyte:0019	MII oocyte	oocyte	GSM2481570	Oocyte #2(RPKM)	0.3270583674120103	0.0406376984755404	0.3301224893014873	0.7095020837447127	0.1271171469922606	0.0054237686256449	0.363529979196631	7.476926477091045	0
MII_oocyte:0020	MII oocyte	oocyte	GSM2481570	Oocyte #3(RPKM)	0.3270583674120103	0.0406376984755404	0.3606560991269658	0.7099377008908028	0.1271171469922606	0.0054237686256449	0.3806348162504794	7.479714966370953	0
MII_oocyte:0021	MII oocyte	oocyte	GSM2481581	Oocyte #1(RPKM)	0.4024506682410885	0.073851373055464	0.3163801439601027	0.694639604700115	0.1564197276368392	0.007727444711476	0.3558315583696919	7.381788202896162	0
MII_oocyte:0022	MII oocyte	oocyte	GSM2481581	Oocyte #2(RPKM)	0.4024506682410885	0.073851373055464	0.3301224893014873	0.7095020837447127	0.1564197276368392	0.007727444711476	0.363529979196631	7.476926477091045	0
MII_oocyte:0023	MII oocyte	oocyte	GSM2481581	Oocyte #3(RPKM)	0.4024506682410885	0.073851373055464	0.3606560991269658	0.7099377008908028	0.1564197276368392	0.007727444711476	0.3806348162504794	7.479714966370953	0
MII_oocyte:0024	MII oocyte	oocyte	GSM2481586	Oocyte #1(RPKM)	0.2704870936679761	0.0525436233586519	0.3163801439601027	0.694639604700115	0.1051296987671529	0.0062495548350848	0.3558315583696919	7.381788202896162	0
MII_oocyte:0025	MII oocyte	oocyte	GSM2481586	Oocyte #2(RPKM)	0.2704870936679761	0.0525436233586519	0.3301224893014873	0.7095020837447127	0.1051296987671529	0.0062495548350848	0.363529979196631	7.476926477091045	0
MII_oocyte:0026	MII oocyte	oocyte	GSM2481586	Oocyte #3(RPKM)	0.2704870936679761	0.0525436233586519	0.3606560991269658	0.7099377008908028	0.1051296987671529	0.0062495548350848	0.3806348162504794	7.479714966370953	0
MII_oocyte:0027	MII oocyte	oocyte	GSM2481587	Oocyte #1(RPKM)	0.4468610848211706	0.0560322118343553	0.3163801439601027	0.694639604700115	0.1736806388835652	0.006491520770695	0.3558315583696919	7.381788202896162	0
MII_oocyte:0028	MII oocyte	oocyte	GSM2481587	Oocyte #2(RPKM)	0.4468610848211706	0.0560322118343553	0.3301224893014873	0.7095020837447127	0.1736806388835652	0.006491520770695	0.363529979196631	7.476926477091045	0
MII_oocyte:0029	MII oocyte	oocyte	GSM2481587	Oocyte #3(RPKM)	0.4468610848211706	0.0560322118343553	0.3606560991269658	0.7099377008908028	0.1736806388835652	0.006491520770695	0.3806348162504794	7.479714966370953	0
MII_oocyte:0030	MII oocyte	oocyte	GSM2481588	Oocyte #1(RPKM)	0.2820558854671346	0.0691986646553003	0.3163801439601027	0.694639604700115	0.1096261188382649	0.0074047362725163	0.3558315583696919	7.381788202896162	0
MII_oocyte:0031	MII oocyte	oocyte	GSM2481588	Oocyte #2(RPKM)	0.2820558854671346	0.0691986646553003	0.3301224893014873	0.7095020837447127	0.1096261188382649	0.0074047362725163	0.363529979196631	7.476926477091045	0
MII_oocyte:0032	MII oocyte	oocyte	GSM2481588	Oocyte #3(RPKM)	0.2820558854671346	0.0691986646553003	0.3606560991269658	0.7099377008908028	0.1096261188382649	0.0074047362725163	0.3806348162504794	7.479714966370953	0
MII_oocyte:0033	MII oocyte	oocyte	GSM2481589	Oocyte #1(RPKM)	0.3350114344962799	0.0267864859382672	0.3163801439601027	0.694639604700115	0.1302082502885626	0.0044630586925992	0.3558315583696919	7.381788202896162	0
