region_type	control_set	stage	n_samples	n_regions_valid	mean_region_total_reads	mean_region_cpg_rows	mean_width	mean_n_cpg_target	s_epi	s_matched_weighted
matched_non_age_window	matched_non_age_0066	morula	8	12	15.916666666666666	12.5	368.25	3.4166666666666665	0.4037953263312843	0.35361451106962
matched_non_age_window	matched_non_age_0066	blastocyst	5	85	26.705882352941178	15.329411764705883	369.16470588235296	3.176470588235294	0.4237322606078658	0.39924544401842765
matched_non_age_window	matched_non_age_0066	ICM	19	70	103.15714285714286	45.91428571428571	356.8285714285714	2.9714285714285715	0.5302262406296708	0.5253103043802227
matched_non_age_window	matched_non_age_0066	TE	13	70	62.58571428571429	28.542857142857144	364.7142857142857	3.0142857142857142	0.4756358664180969	0.4808390633794792
matched_non_age_window	matched_non_age_0067	MII oocyte	36	33	226.9090909090909	96.36363636363636	461.3939393939394	3.4242424242424243	0.3700642993626825	0.3543860650438442
matched_non_age_window	matched_non_age_0067	zygote/PN	30	35	238.85714285714286	87.0	461.6	3.257142857142857	0.518252254669397	0.5278641987552384
matched_non_age_window	matched_non_age_0067	2-cell	20	62	186.46774193548387	71.66129032258064	421.0483870967742	3.370967741935484	0.5480997398205685	0.5549238618407293
matched_non_age_window	matched_non_age_0067	4-cell	25	49	220.57142857142858	84.38775510204081	433.40816326530614	3.4081632653061225	0.5304347059365848	0.5465844636705535
matched_non_age_window	matched_non_age_0067	8-cell	48	35	398.3142857142857	145.42857142857142	470.48571428571427	3.1142857142857143	0.503806328834271	0.5069810014266535
matched_non_age_window	matched_non_age_0067	morula	8	16	26.375	20.125	571.1875	3.125	0.4161186437209377	0.34695648302997817
matched_non_age_window	matched_non_age_0067	blastocyst	5	69	53.289855072463766	26.18840579710145	395.7826086956522	3.3333333333333335	0.3778123786091559	0.3797936417729284
matched_non_age_window	matched_non_age_0067	ICM	19	68	169.22058823529412	67.94117647058823	403.5735294117647	3.3676470588235294	0.5093870359752238	0.5225839426647149
matched_non_age_window	matched_non_age_0067	TE	13	62	120.20967741935483	46.17741935483871	406.9193548387097	3.2580645161290325	0.49297339270927454	0.5081557177541521
matched_non_age_window	matched_non_age_0068	MII oocyte	36	42	191.6904761904762	87.52380952380952	488.7142857142857	3.4523809523809526	0.4119360368454375	0.370800009920224
