transition_tested	A_drop_rank_largest_is_1	reset_entry_rank_largest_is_1	destination_reset_rank_lowest_is_1	mean_transport_A	mean_transport_P	reset_entry_score	p_min	p_min_definition	iteration
8-cell -> morula	1	1	1	-0.19775459564033937	-0.07077945902326158	0.19775459564033937	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	109
8-cell -> morula	1	1	1	-0.19156694683867492	-0.05012317583683439	0.19156694683867492	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	110
8-cell -> morula	1	1	1	-0.19030505958520086	-0.02753378705240826	0.19862360455767172	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	111
8-cell -> morula	1	1	1	-0.2144903242795077	-0.034980143592180615	0.24041317498993126	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	112
8-cell -> morula	1	1	1	-0.1972151929655794	-0.054511061354938016	0.207187455757158	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	113
8-cell -> morula	1	1	1	-0.18900854977911924	-0.04308529081275299	0.212347068646852	0.7011783531407819	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	114
8-cell -> morula	1	1	1	-0.2045292811043864	-0.03619635393775459	0.23018500446578838	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	115
8-cell -> morula	1	1	1	-0.20207964126348033	-0.037842220479988024	0.2125557370565011	0.7219415713099067	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	116
8-cell -> morula	1	1	1	-0.21029552759819897	-0.06433876816900233	0.21181059188735124	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	117
8-cell -> morula	1	1	1	-0.2184082374352675	-0.028960868190680444	0.2503972871592569	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	118
8-cell -> morula	1	1	1	-0.20949169009828178	-0.033861433935020085	0.2103265848550771	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	119
8-cell -> morula	1	1	1	-0.20631841075566418	-0.03374933478105139	0.23253878839342293	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	120
8-cell -> morula	1	1	1	-0.19678241804420782	-0.04772339833570824	0.21721973081536616	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	121
8-cell -> morula	1	1	1	-0.21293417084009036	-0.046831718705722856	0.21293417084009036	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	122
8-cell -> morula	1	1	1	-0.19407282925045913	-0.060046383372994915	0.19803210791704165	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	123
8-cell -> morula	1	1	1	-0.17858637403874003	-0.05302815377033148	0.19318871552422426	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	124
8-cell -> morula	1	1	1	-0.18877648649619688	-0.041418353570227974	0.21117116344024595	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	125
8-cell -> morula	1	1	1	-0.20047640371346345	-0.04184684251419043	0.20047640371346345	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	126
8-cell -> morula	1	1	1	-0.1701876551155682	-0.04679665286949429	0.1701876551155682	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	127
8-cell -> morula	1	1	1	-0.1793700667371643	-0.03437198093690279	0.1793700667371643	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	128
8-cell -> morula	1	1	1	-0.17499257946756813	-0.031102288924477882	0.20767317853949446	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	129
8-cell -> morula	1	1	1	-0.20109719916490013	-0.03074316711211404	0.2041735386287247	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	130
8-cell -> morula	1	1	1	-0.19047334266871538	-0.05790691166141328	0.19047334266871538	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	131
8-cell -> morula	1	1	1	-0.23771188022895096	-0.049381418415900886	0.23771188022895096	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	132
8-cell -> morula	1	1	1	-0.20349563655186736	-0.06771098725936317	0.20349563655186736	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	133
8-cell -> morula	1	1	1	-0.1770635098672239	-0.023058705382887415	0.2196576078617482	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	134
8-cell -> morula	1	1	1	-0.22810076770957774	-0.049197095661119475	0.22810076770957774	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	135
8-cell -> morula	1	1	1	-0.21310558523322015	-0.025984160572729915	0.220280006414666	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	136
8-cell -> morula	1	1	1	-0.1903601401707416	-0.022508361993872586	0.21590754168497078	0.7219415713099067	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	137
8-cell -> morula	1	1	1	-0.20260911537649817	-0.047986859785154864	0.2171372872562244	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	138
8-cell -> morula	1	1	1	-0.20974770325618888	-0.05137472410459821	0.22170653322960024	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	139
8-cell -> morula	1	1	1	-0.20404284202467746	-0.04518772548899298	0.20404284202467746	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	140
8-cell -> morula	1	1	1	-0.19365045376291695	-0.03698140136740458	0.19365045376291695	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	141
8-cell -> morula	1	1	1	-0.19663769610226092	-0.05099686075406062	0.19663769610226092	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	142
8-cell -> morula	1	1	1	-0.23356787845743746	-0.032402041865046256	0.23443325323871647	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	143
8-cell -> morula	1	1	1	-0.22782280050455542	-0.04231924614581729	0.252510775371391	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	144
8-cell -> morula	1	1	1	-0.17210824860564666	-0.038656011185783136	0.1957279546594819	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	145
8-cell -> morula	1	1	1	-0.22165909552414462	-0.024908831091273214	0.22632823474280547	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	146
8-cell -> morula	1	1	1	-0.17117379454362816	-0.0738438171350158	0.17117379454362816	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	147
8-cell -> morula	1	1	1	-0.1786337288317999	-0.018299446253605002	0.2077612269887636	0.7219415713099067	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	148
8-cell -> morula	1	1	1	-0.18868311409921168	-0.03932941520440322	0.2190610979518447	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	149
8-cell -> morula	1	1	1	-0.17237459252857942	-0.053281783079651895	0.19143805162965397	0.7011783531407819	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	150
8-cell -> morula	1	1	1	-0.2153308759238849	-0.02460375850390706	0.2510774637380988	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	151
8-cell -> morula	1	1	1	-0.19854345393084066	-0.04432683131002468	0.21823952790105677	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	152
8-cell -> morula	1	1	1	-0.17925485561510834	-0.02138194455662509	0.21964188024271303	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	153
