gene	mural_dex_minus_control_logcpm	mural_abs_effect	mural_p	mural_ctrl_n	mural_dex_n	mural_mean_logcpm	polar_dex_minus_control_logcpm	polar_abs_effect	polar_p	polar_ctrl_n	polar_dex_n	polar_mean_logcpm	max_abs_effect	mean_abs_effect	min_p	mean_logcpm	gene_key	n_human_dmr	age_weight_5yr	contribution_8cell_to_morula	weight_norm_matched	is_csb
CYBA	0.0749757120962884	0.0749757120962884	0.8227645271637395	93	224	2.8172756709569544	-0.10024176346690306	0.10024176346690306	0.8041692910104927	62	90	4.024216886342182	0.10024176346690306	0.09181974634336483	0.8041692910104927	3.420746278649568	CYBA	1.0	-0.0183157119999999	0.0051763326979825	-0.0194463234010807	True
DAPL1	-0.023250777135598623	0.023250777135598623	0.4406390868846406	93	224	0.013241630333444832	0.0	0.0		62	90	0.0	0.023250777135598623	0.015500518090399082	0.4406390868846406	0.006620815166722416	DAPL1	1.0	0.015502877	0.0074951585914214	0.0164598547841971	True
DCTN1	-0.10314523044103652	0.10314523044103652	0.7554988575452407	93	224	4.105855873078311	0.30550094280769624	0.30550094280769624	0.4378465040589159	62	90	4.598692783993274	0.30550094280769624	0.23804903868547633	0.4378465040589159	4.352274328535792	DCTN1	1.0	-0.034161596	0.0002848618207722	-0.0362703586796443	True
DENND2A	-0.0864230601997476	0.0864230601997476	0.5822525354757915	93	224	0.38485880052995025	-0.16050413445606226	0.16050413445606226	0.4586544574627903	62	90	0.557484620785741	0.16050413445606226	0.1358104430372907	0.4586544574627903	0.47117171065784563	DENND2A	1.0	-0.064702969	0.0295083057291086	-0.0686970214526249	True
DLGAP2	-0.1512197740179439	0.1512197740179439	0.28329430226186086	93	224	0.2949685257848283	-0.11827701067593818	0.11827701067593818	0.4979360783092077	62	90	0.2874790821745602	0.1512197740179439	0.14023885290394197	0.28329430226186086	0.2912238039796943	DLGAP2	1.0	0.071478852	0.0	0.0758911732358526	True
DSC1	0.0834633508759001	0.0834633508759001	0.41006318844766054	93	224	0.2703744313521713	0.2823440145138076	0.2823440145138076	0.12067974594744121	62	90	0.4881993747138405	0.2823440145138076	0.21605045996783842	0.12067974594744121	0.37928690303300594	DSC1	1.0	0.042266849	0.0238384628020409	0.0448759412027578	True
DSCAML1	-0.5275376598371304	0.5275376598371304	0.005106264429140029	93	224	0.3010125481335894	-0.06594276974109672	0.06594276974109672	0.5817336087351236	62	90	0.15617430385336623	0.5275376598371304	0.37367269647178586	0.005106264429140029	0.22859342599347782	DSCAML1	1.0	-0.025152623	0.0020498279882697	-0.0267052703844361	True
ESPN	0.1914341544011099	0.1914341544011099	0.2899126608362261	93	224	0.710436727502427	0.12039424295366949	0.12039424295366949	0.4022120174252247	62	90	0.2539808383044074	0.1914341544011099	0.16775418391862976	0.2899126608362261	0.4822087829034172	ESPN	1.0	-0.0324969929999999	0.0036153996264251	-0.0345030013269839	True
ETFB	-0.3656576219396612	0.3656576219396612	0.27620428877195935	93	224	3.1120199663467547	-0.05693156056724158	0.05693156056724158	0.8919147767714574	62	90	3.08296254205543	0.3656576219396612	0.26274893481552136	0.27620428877195935	3.0974912542010924	ETFB	1.0	-0.0448357459999999	0.0	-0.0476034137599844	True
EXPH5	-0.4201545971217837	0.4201545971217837	0.19091805092072217	93	224	3.1736298748889746	0.7945952175618705	0.7945952175618705	0.05504938737011525	62	90	3.7986066887960375	0.7945952175618705	0.6697816774151749	0.05504938737011525	3.486118281842506	EXPH5	1.0	0.027292831	0.0	0.0289775913793054	True
FGF5	-0.027995901642219725	0.027995901642219725	0.7167546705518688	93	224	0.11052366144137155	0.02743823468991996	0.02743823468991996	0.6887145312036331	62	90	0.08352242251717737	0.027995901642219725	0.027810012658119804	0.6887145312036331	0.09702304197927446	FGF5	1.0	-0.018584757	0.0	-0.0197319762918579	True
FGFR3	0.14877148834468468	0.14877148834468468	0.6447305696494865	93	224	4.486512878677787	1.2383163464165285	1.2383163464165285	0.0023648362517035087	62	90	3.8995650467790828	1.2383163464165285	0.8751347270592472	0.0023648362517035087	4.193038962728435	FGFR3	1.0	-0.034925917	0.0018971462596229	-0.0370818604846649	True
FSHR	-0.03575396685109275	0.03575396685109275	0.6690325492572322	93	224	0.12331714166977568	-0.09312969016470593	0.09312969016470593	0.27240029282366207	62	90	0.05670307289473112	0.09312969016470593	0.0740044490601682	0.27240029282366207	0.09001010728225341	FSHR	1.0	0.049797989	0.0344767488687223	0.0528719712789467	True
GDF11	-0.3041923890537377	0.3041923890537377	0.27985981759096973	93	224	2.231099108747839	0.51523617334635	0.51523617334635	0.1669199268500064	62	90	2.9467996466212525	0.51523617334635	0.44488824524881254	0.1669199268500064	2.588949377684546	GDF11	1.0	-0.0156379439999999	0.0030294398309823	-0.0166032593410504	True
GIPR	-0.14755673128250824	0.14755673128250824	0.24391173824169549	93	224	0.20035655079094697	-0.019923441817569276	0.019923441817569276	0.8898731967355227	62	90	0.25291321351955603	0.14755673128250824	0.10501230146086192	0.24391173824169549	0.22663488215525152	GIPR	1.0	-0.017083166	0.0039219589859591	-0.0181376935141995	True
