sample_name	stage	POU5F1	NANOG	SOX2	KLF4	DPPA3	ZSCAN4	KLF17	TFAP2C	GDF3
Late blastocyst #2 -Cell#9(RPKM)	blastocyst	-0.04553046121800318	-0.4029028703471195	-0.9311396631130351	-0.5638549137688753	0.139533032938583	-0.9008480628258438	-0.8082609859559262	0.8858724470089588	-0.6659175900871939
Late blastocyst #3 -Cell#1(RPKM)	blastocyst	1.81140840253075	1.673493956219039	-0.9311396631130351	0.9025360471255032	-0.7986719319018342	-0.9008480628258438	-0.7567179438656867	-1.4412761584347709	1.7229056587802818
Late blastocyst #3 -Cell#2(RPKM)	blastocyst	1.4377806230983137	-0.17006233704625814	0.19894312018355087	0.366726573135484	-0.28935452832307085	-0.9008480628258438	-0.8009029772913793	-0.6717684127239942	-0.46953057726722175
Late blastocyst #3 -Cell#3(RPKM)	blastocyst	0.08908554317851936	-0.17204639720089904	-0.9311396631130351	-0.7446785321481137	-0.2017364064811879	-0.9008480628258438	-0.8911738317844432	-0.27710263724102385	-0.6224048929607534
Late blastocyst #3 -Cell#4(RPKM)	blastocyst	1.9873724376779554	1.8404099357831503	0.9662761936910266	0.3306422529807925	-0.8118267952652997	-0.9008480628258438	0.4283986403427135	0.11319180858016284	2.7391171750448304
Late blastocyst #3 -Cell#5(RPKM)	blastocyst	2.102280174368463	2.123476920600422	0.5121516748859645	0.5466347040942293	-0.3234301281677246	-0.9008480628258438	0.5477561418354622	-0.30299605136557856	3.244551912856249
Late blastocyst #3 -Cell#6(RPKM)	blastocyst	0.20840138894067972	-0.6347456233657036	-0.9311396631130351	-1.2912359082104519	-0.1265021887962484	-0.9008480628258438	-0.8497287048593639	0.6344817438294462	-0.2078353801863297
Late blastocyst #3 -Cell#7(RPKM)	blastocyst	0.5251042670865919	-0.8645163515401001	-0.8196463911828107	-1.4013497329029219	-0.15362260378982112	-0.9008480628258438	-0.8911738317844432	0.6419092502345374	-0.5152289314897548
Late blastocyst #3 -Cell#8(RPKM)	blastocyst	0.85971488603927	-0.8897250271398449	-0.8021033665172494	0.579241998472466	-0.2535321169576657	-0.9008480628258438	-0.8911738317844432	0.24944929290263348	-0.5492949565107306
P-value(epiblast/Primitive endoderm)	blastocyst	-2.018230446159634	-0.9472518779368196	-0.9049554267120379	-1.4013497329029219	-3.3586595004232676	-0.9008480628258438	-0.8560976281422948	-1.3411289564036262	-0.5526828875158895
P-value(epiblast/Trophectoderm)	blastocyst	-2.1853149399272613	-1.0267811295219516	-0.9311396631130351	-1.4013497329029219	-3.4914460224837476	-0.7981797556843468	-0.8908024501490143	-1.3593762069783615	-0.7595129997587606
