experiment_accession	run_accession	sample_accession	study_accession	library_strategy	library_source	library_selection	experiment_title
ERX5142541	ERR5354506	SAMEA8136122	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142546	ERR5354511	SAMEA8136127	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142549	ERR5354514	SAMEA8136130	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142550	ERR5354515	SAMEA8136131	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142557	ERR5354522	SAMEA8136138	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142558	ERR5354523	SAMEA8136139	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142561	ERR5354526	SAMEA8136142	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142563	ERR5354528	SAMEA8136144	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142565	ERR5354530	SAMEA8136146	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142566	ERR5354531	SAMEA8136147	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142568	ERR5354533	SAMEA8136149	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
