sample	run	condition	lineage	individual	sex	read_count	total_fastq_bytes	fastq_1	fastq_2
C7_23	ERR5354360	control	mural	C7	male	6946922	435105699	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354360/ERR5354360_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354360/ERR5354360_2.fastq.gz
D10_35	ERR5354445	dex		D10	female	6525130	399683862	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/005/ERR5354445/ERR5354445_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/005/ERR5354445/ERR5354445_2.fastq.gz
C9_3	ERR5354410	control		C9	male	6607516	435077165	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354410/ERR5354410_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354410/ERR5354410_2.fastq.gz
D10_27	ERR5354436	dex	mural	D10	female	6160876	388873326	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/006/ERR5354436/ERR5354436_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/006/ERR5354436/ERR5354436_2.fastq.gz
C8_4	ERR5354387	control	pe	C8	male	6484354	432420249	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/007/ERR5354387/ERR5354387_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/007/ERR5354387/ERR5354387_2.fastq.gz
D11_20	ERR5354492	dex		D11	not available	6081836	388601064	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/002/ERR5354492/ERR5354492_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/002/ERR5354492/ERR5354492_2.fastq.gz
C8_8	ERR5354391	control	mural	C8	male	7300438	407258294	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/001/ERR5354391/ERR5354391_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/001/ERR5354391/ERR5354391_2.fastq.gz
D12_6	ERR5354540	dex	mural	D12	male	6110566	381667695	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354540/ERR5354540_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354540/ERR5354540_2.fastq.gz
C6_13	ERR5354333	control		C6	not available	6866230	406832327	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/003/ERR5354333/ERR5354333_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/003/ERR5354333/ERR5354333_2.fastq.gz
D10_29	ERR5354438	dex	mural	D10	female	5928838	373807052	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354438/ERR5354438_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354438/ERR5354438_2.fastq.gz
C5_4	ERR5354324	control	mural	C5	male	6073766	391033167	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/004/ERR5354324/ERR5354324_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/004/ERR5354324/ERR5354324_2.fastq.gz
D8_7	ERR5354573	dex		D8	female	7003948	370306256	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/003/ERR5354573/ERR5354573_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/003/ERR5354573/ERR5354573_2.fastq.gz
