sample_id,stage,z1,z2
GSM2986373,8-cell,-1.7373486391361397,-0.9440687726040088
GSM2986374,8-cell,-3.000939259025442,-0.8507675450440727
GSM2986375,8-cell,-1.3372924188820303,0.30578321654088986
GSM2986376,8-cell,-1.382939099975505,-1.5915229247982263
GSM2986377,8-cell,-2.4316516923630487,0.2382205918309187
GSM2986378,8-cell,-2.536341728206075,-1.3987779188657163
GSM2986379,8-cell,-1.0789567687443011,-0.16730463690696812
GSM2986381,8-cell,-0.3897492319173838,-1.1060877756033534
GSM2986382,8-cell,-1.9623733328509736,2.5418822302845427
GSM2986383,8-cell,-2.6623680924432964,0.8335642259701034
GSM2986384,8-cell,-2.3402841188079773,-2.057716480656753
GSM2986385,8-cell,-2.478073844952996,-0.7440529179434311
GSM2986386,8-cell,-2.1390498562093043,-1.4569113758912609
GSM2986388,8-cell,-2.208611155915891,-1.7847375787831352
GSM2986389,8-cell,-1.632810692668162,-1.6481668746387934
GSM2986409,blastocyst,-4.597683937624208,-0.25394905089030834
