sample_id	observed_region_fraction	n_observed_regions	n_regions
GSM2986359	0.8012820512820513	125	156
GSM2986360	0.7564102564102564	118	156
GSM2986361	0.75	117	156
GSM2986362	0.6923076923076923	108	156
GSM2986363	0.48717948717948717	76	156
GSM2986364	0.7884615384615384	123	156
GSM2986365	0.8012820512820513	125	156
GSM2986366	0.7692307692307693	120	156
GSM2986367	0.7564102564102564	118	156
GSM2986368	0.5641025641025641	88	156
GSM2986369	0.6602564102564102	103	156
GSM2986370	0.7884615384615384	123	156
GSM2986371	0.7115384615384616	111	156
GSM2986372	0.8012820512820513	125	156
GSM2986373	0.5448717948717948	85	156
GSM2986374	0.6282051282051282	98	156
GSM2986375	0.5641025641025641	88	156
GSM2986376	0.16025641025641027	25	156
GSM2986377	0.2692307692307692	42	156
GSM2986378	0.19230769230769232	30	156
GSM2986379	0.26282051282051283	41	156
GSM2986381	0.14102564102564102	22	156
GSM2986382	0.6666666666666666	104	156
GSM2986383	0.6538461538461539	102	156
GSM2986384	0.019230769230769232	3	156
GSM2986385	0.05128205128205128	8	156
GSM2986386	0.019230769230769232	3	156
GSM2986388	0.019230769230769232	3	156
GSM2986389	0.02564102564102564	4	156
GSM2986409	0.7948717948717948	124	156
