geo_accession	sample	population	individual	cluster_name	basin_residual_rank	latent_residual_delta_beta	module_id	meth	total	beta
GSM2948422	SP1_RRBS	SP	1	cluster_1976	119	-0.0077316862708786	M01	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_1406	120	0.0074696948770885	M07	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_4899	121	0.0073274438649349	M00	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_7341	122	0.0072423769026625	M03	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_1564	123	-0.0071050622888113	M02	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_3362	124	0.0069950097435394	M02	0.0	3.0	0.0
GSM2948422	SP1_RRBS	SP	1	cluster_5400	125	0.0069035186180976	M02	2.0	18.0	0.1111111111111111
GSM2948422	SP1_RRBS	SP	1	cluster_3369	126	0.0067836463293485	M02	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_3978	127	-0.0066719968616041	M06	9.0	27.0	0.3333333333333333
GSM2948422	SP1_RRBS	SP	1	cluster_6871	128	0.0064412208159518	M02	11.0	24.0	0.4583333333333333
GSM2948422	SP1_RRBS	SP	1	cluster_1922	129	0.0063867158268501	M04	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_1851	130	-0.0059938138733272	M02	1.0	7.0	0.14285714285714285
GSM2948422	SP1_RRBS	SP	1	cluster_2355	131	0.0058218859076673	M11	4.0	62.0	0.06451612903225806
GSM2948422	SP1_RRBS	SP	1	cluster_900	132	0.0054206039368366	M02	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_3416	133	0.0051703497683711	M02	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_4028	134	0.0049639717947311	M02	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_5966	135	-0.0047669051413519	M02	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_5024	136	-0.0045462418781285	M02	6.0	52.0	0.11538461538461539
GSM2948422	SP1_RRBS	SP	1	cluster_123	137	-0.0044926365869018	M11	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_7504	138	0.0044878001320038	M00	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_5252	139	0.0044561738151872	M15	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_6275	140	-0.0043033178568181	M06	0.0	0.0	
